0	Index      	 *	Score 	Summary	Detail	
1	21411 21256	 * 	284.98	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aASPD
2	11111 13315	 * 	281.55	ACR|3VULN|2TLV|3DUR	1LEGI|29aDUR|3SPLREG|469VULN|5RCR|79TLV|8DMSP|9BPWR
3	11111 13415	   	281.55	ACR|3VULN|2TLV|3DUR	1LEGI|29aDUR|3SPLREG|469VULN|5RCR|79TLV|8RCVC|9BPWR
4	25311 21256	 * 	275.19	DCR|DCR|1VULN|1DMG|1AEBURN|1ASPD|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aASPD
5	11111 13312	   	273.06	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8DMSP|9BPWR|aMLV
6	11111 13313	   	273.06	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8DMSP|9BPWR|aFRZFST
7	11111 13412	   	273.06	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8RCVC|9BPWR|aMLV
8	11111 13413	   	273.06	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8RCVC|9BPWR|aFRZFST
9	11111 13311	   	272.96	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8DMSP|9BPWR|aBASICY
10	11111 13314	   	272.96	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8DMSP|9BPWR|aERES
11	11111 13316	   	272.96	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8DMSP|9BPWR|aSNIHEL
12	11111 13411	   	272.96	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8RCVC|9BPWR|aBASICY
13	11111 13414	   	272.96	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8RCVC|9BPWR|aERES
14	11111 13416	   	272.96	ACR|3VULN|2TLV|2DUR	1LEGI|29DUR|3SPLREG|469VULN|5RCR|79TLV|8RCVC|9BPWR|aSNIHEL
15	11111 13563	 * 	272.31	ACR|4VULN|1TLV|1ASPD|1DUR	1LEGI|2DUR|3SPLREG|469aVULN|5RCR|7TLV|8ASPD
16	21412 53251	 * 	271.52	DCR|3VULN|1TLV|1AEPOI|1CDMG|1DUR	1FEWX|236VULN|4DUR|5CDMG|7AEPOI|8CGEN|9RCR|aTLV
17	21411 21252	   	271.33	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aRPLT
18	21411 21253	   	271.33	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aBEXP
19	21411 21254	   	271.33	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aRCVC
20	21411 22452	   	271.33	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7CDMG|8DMG|aRPLT
21	21411 22453	   	271.33	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7CDMG|8DMG|aBEXP
22	21411 21251	   	271.23	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aERES
23	21411 21255	   	271.23	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aCANTOX
24	21411 22451	   	271.23	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7CDMG|8DMG|aERES
25	61112 15262	 * 	268.60	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1DUST|25aVULN|3MULARM|4AEFBLL|6CDMG|7RAT|8RCR|9TLV
26	25133 22483	 * 	268.18	DCR|3VULN|1TLV|1DMG|1AEBURN	1FEWX|2AEBURN|3TLV|479VULN|5RPLT|6DMG|8MBVNT|aRCR
27	21121 13216	   	265.36	ACR|3VULN|2TLV|1AART	189FEWX|269VULN|3MULARM|4DUST|5RCR|79TLV|9BPWR|aAART
