0	Index      	 *	Score 	Summary	Detail	
1	31332 56611	 * 	309.44	ACR|ACR|1TLV|1VULN|2DMG|2ASPD	1DMSP|2RPLT|34RCR|58LWND|68ASPD|78DMG|8BPWR|9TLV|aVULN
2	31333 44335	 * 	301.75	ACR|ACR|2TLV|2VULN	1DMSP|25RPLT|34RCR|6aTLV|7AME|8aLIT|9aVULN|aBPWR
3	31325 14136	 * 	301.55	ACR|DCR|2VULN|1TLV|2ASPD	1DMSP|2RPLT|3aRCR|48VULN|5ERES|68ASPD|78LHND|8BPWR|9TLV
4	31323 21456	   	295.41	ACR|DCR|2VULN|1TLV|1DMG	1DMSP|2RPLT|3aRCR|47VULN|5BEXP|6TLV|8DMG|9CGEN
5	31321 61436	   	295.41	ACR|DCR|2VULN|1TLV|1DMG	1DMSP|2RPLT|3aRCR|47VULN|5LHND|6CGEN|8DMG|9TLV
6	31333 55511	   	295.31	ACR|ACR|2VULN|1TLV|1AEFBLL	1DMSP|25RPLT|34RCR|6LEGI|78VULN|9TLV|aAEFBLL
7	31321 51436	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1DMSP|2RPLT|3aRCR|47VULN|5LHND|6ERES|8DMG|9TLV
8	31334 41217	   	295.18	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|7TLV|8VULN|9DMG|aAEBURN
9	31334 41233	   	294.91	ACR|ACR|2TLV|1VULN|1CDMG	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|79TLV|8VULN|aCDMG
10	31334 41236	   	292.26	ACR|ACR|2TLV|1VULN|1AART	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|79TLV|8VULN|aAART
11	31333 45251	   	291.76	ACR|ACR|2TLV|1VULN|1AEFBLL	1DMSP|25RPLT|34RCR|69TLV|7LHND|8VULN|aAEFBLL
12	31331 61335	 * 	291.56	ACR|ACR|2TLV|2DMG|1AEFBLL	1DMSP|2RPLT|34RCR|5MDPS|6AEFBLL|78TLV|9aDMG
13	31331 61354	 * 	287.62	ACR|ACR|3TLV|1AEFBLL|1DMG	1DMSP|2RPLT|34RCR|5MDPS|6AEFBLL|789TLV|aDMG
14	31322 52451	 * 	286.91	ACR|3VULN|2TLV|2DUR|1ASPD	1DMSP|2RPLT|3RCR|48aVULN|5LIT|68DUR|78TLV|8BPWR|9ASPD
15	31333 43543	   	286.14	ACR|ACR|1TLV|1VULN|1DMG|1ASPD	1DMSP|25RPLT|34RCR|6TLV|7FLTARM|8ASPD|9VULN|aDMG
16	54113 83113	   	286.05	ACR|DCR|2VULN|1TLV|1AART	1AEFRZ|2CGEN|3MBVNT|46RCR|58VULN|7AART|9ERES|aTLV
17	54113 83131	   	286.05	ACR|DCR|2VULN|1TLV|1AART	1AEFRZ|2CGEN|3MBVNT|46RCR|58VULN|7AART|9MDPS|aTLV
18	64113 83113	   	286.05	ACR|DCR|2VULN|1TLV|1AART	1AEWIND|2CGEN|3MBVNT|46RCR|58VULN|7AART|9ERES|aTLV
19	64113 83131	   	286.05	ACR|DCR|2VULN|1TLV|1AART	1AEWIND|2CGEN|3MBVNT|46RCR|58VULN|7AART|9MDPS|aTLV
20	31333 45234	   	285.62	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1DMSP|25RPLT|34RCR|6TLV|7LHND|8VULN|9DMG|aAEBURN
21	31332 62255	   	285.62	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1DMSP|2RPLT|34RCR|5LWND|6AME|7AEBURN|8VULN|9TLV|aDMG
22	31335 12255	   	285.62	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1DMSP|2RPLT|34RCR|5AAC|6FEWX|7AEBURN|8VULN|9TLV|aDMG
23	31335 32255	   	285.62	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1DMSP|2RPLT|34RCR|5AAC|6LHND|7AEBURN|8VULN|9TLV|aDMG
24	31334 21217	   	285.52	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1DMSP|2RPLT|34RCR|5MBVNT|6LHND|7TLV|8VULN|9DMG|aAEBURN
25	31334 81217	   	285.52	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1DMSP|2RPLT|34RCR|5MBVNT|6LWND|7TLV|8VULN|9DMG|aAEBURN
26	31334 12166	   	285.52	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1DMSP|2RPLT|34RCR|5MBVNT|6CGEN|7AEBURN|8VULN|9TLV|aDMG
27	31333 45314	   	285.34	ACR|ACR|2TLV|1VULN|1ASPD	1DMSP|25RPLT|34RCR|69TLV|7LHND|8ASPD|aVULN
28	31331 61411	   	285.27	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1SELL	1DMSP|2RPLT|34RCR|5MDPS|6AEFBLL|7TLV|8DMG|9SELL|aVULN
29	31334 21233	   	285.24	ACR|ACR|2TLV|1VULN|1CDMG	1DMSP|2RPLT|34RCR|5MBVNT|6LHND|79TLV|8VULN|aCDMG
30	31334 81233	   	285.24	ACR|ACR|2TLV|1VULN|1CDMG	1DMSP|2RPLT|34RCR|5MBVNT|6LWND|79TLV|8VULN|aCDMG
31	31331 61336	   	284.97	ACR|ACR|2TLV|1AEFBLL|1DMG|1AART	1DMSP|2RPLT|34RCR|5MDPS|6AEFBLL|78TLV|9DMG|aAART
32	31333 55513	   	284.91	ACR|ACR|2VULN|1TLV	1DMSP|25RPLT|34RCR|6LEGI|78VULN|9TLV|aDUR
33	31334 13233	   	284.91	ACR|ACR|2VULN|1TLV	1DMSP|2RPLT|34RCR|5MBVNT|6CGEN|7DUR|8aVULN|9TLV
34	31333 45235	   	283.14	ACR|ACR|1TLV|1VULN|2DMG	1DMSP|25RPLT|34RCR|6TLV|7LHND|8VULN|9aDMG
35	51143 41311	 * 	282.81	DCR|4VULN|1TLV|1AEBURN|1CDMG	1AEFRZ|2345VULN|6BELT|7TLV|8AEBURN|9RCR|aCDMG
36	61143 41311	   	282.81	DCR|4VULN|1TLV|1AEBURN|1CDMG	1AEWIND|2345VULN|6BELT|7TLV|8AEBURN|9RCR|aCDMG
37	31334 21236	   	282.60	ACR|ACR|2TLV|1VULN|1AART	1DMSP|2RPLT|34RCR|5MBVNT|6LHND|79TLV|8VULN|aAART
38	31334 81236	   	282.60	ACR|ACR|2TLV|1VULN|1AART	1DMSP|2RPLT|34RCR|5MBVNT|6LWND|79TLV|8VULN|aAART
39	31333 23643	   	282.29	ACR|ACR|2VULN|1TLV	1DMSP|25RPLT|34RCR|6MLV|7FLTARM|8TLV|9aVULN
40	31334 38454	   	282.09	ACR|ACR|2VULN|1TLV	1DMSP|2RPLT|34RCR|5MBVNT|6RAT|79VULN|8BLASTR|aTLV
41	31331 32622	   	282.09	ACR|ACR|2VULN|1TLV	1DMSP|2RPLT|34RCR|5MDPS|6BLAICY|7DUST|8TLV|9aVULN
42	31334 41286	   	282.05	ACR|ACR|1TLV|1VULN|1AEFBLL	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|7TLV|8VULN|9RAT|aAEFBLL
43	31334 41571	   	282.05	ACR|ACR|1TLV|1VULN|1DMG	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|7TLV|8DMG|9RAT|aVULN
44	31333 45253	   	281.35	ACR|ACR|2TLV|1VULN	1DMSP|25RPLT|34RCR|69TLV|7LHND|8VULN|aDUR
45	31334 41161	   	281.25	ACR|ACR|2TLV|1VULN	1DMSP|28RPLT|34RCR|5MBVNT|6DUR|79TLV|aVULN
46	31334 41234	   	281.25	ACR|ACR|2TLV|1VULN	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|79TLV|8VULN|aLIT
47	31334 41235	   	281.25	ACR|ACR|2TLV|1VULN	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|79TLV|8VULN|aBEXP
48	31334 41237	   	281.25	ACR|ACR|2TLV|1VULN	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|79TLV|8VULN|aFEWX
49	31334 41238	   	281.25	ACR|ACR|2TLV|1VULN	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|79TLV|8VULN|aAAC
50	31331 61356	   	281.21	ACR|ACR|3TLV|1AEFBLL|1ASPD	1DMSP|2RPLT|34RCR|5MDPS|6AEFBLL|789TLV|aASPD
51	24163 25213	 * 	281.15	DCR|DCR|1TLV|1VULN|2ASPD	12ASPD|3RPLT|4TLV|5BELT|6aRCR|7DUR|8MDPS|9VULN
52	24163 25323	   	281.15	DCR|DCR|1TLV|1VULN|2ASPD	12ASPD|3RPLT|4TLV|5BELT|6aRCR|7DUR|8VULN|9MDPS
53	31334 41231	   	281.15	ACR|ACR|2TLV|1VULN|1MSE	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|79TLV|8VULN|aMSE
54	31334 41232	   	281.15	ACR|ACR|2TLV|1VULN|1SELL	1DMSP|2RPLT|34RCR|5MBVNT|6DUR|79TLV|8VULN|aSELL
55	31331 61315	   	280.91	ACR|ACR|2TLV|1AEFBLL|1DMG	1DMSP|2RPLT|34RCR|5MDPS|6AEFBLL|78TLV|9ZMB|aDMG
