0	Index      	 *	Score 	Summary	Detail	
1	13315 14326	 * 	316.20	ACR|DCR|2VULN|1TLV|3DUR|1CDMG	1CDMG|2TLV|358DUR|47RCR|6FEWX|9aVULN
2	31163 52242	   	313.35	ACR|DCR|2VULN|1TLV|1DMG|1AART	19VULN|2DMG|38RCR|45AAC|6AART|7RAT|aTLV
3	31121 54135	 * 	311.72	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN	1VULN|2DMG|39RCR|4LIT|5ERES|6AEBURN|7TSLARM|8aTLV
4	13315 42431	   	311.46	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG|1ASPD	1CDMG|2TLV|35DUR|49RCR|6DMG|7ERES|8ASPD|aVULN
5	13315 64231	   	310.99	ACR|DCR|2TLV|1VULN|2DUR|1CDMG	1CDMG|29TLV|35DUR|47RCR|6LHND|8ZMB|aVULN
6	13611 63352	   	309.66	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1CDMG|2TLV|3LWND|48RCR|5AART|6AME|7DUR|9aVULN
7	13611 53362	   	309.56	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1CDMG|2TLV|3LWND|48RCR|5AART|6ERES|7DUR|9aVULN
8	13312 55631	   	308.83	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3DUR|49RCR|5AAC|6ERES|7DMG|8AEFBLL|aVULN
9	24113 35423	 * 	308.13	DCR|3VULN|2TLV|1AEFBLL|3RAT|1ASPD	189RAT|239VULN|4FLTFST|5AEFBLL|69TLV|7RCR|9BPWR|aASPD
10	32413 35423	   	308.13	DCR|3VULN|2TLV|1AEFBLL|3RAT|1ASPD	129VULN|29BPWR|389RAT|4FLTFST|5AEFBLL|69TLV|7RCR|aASPD
11	36113 35423	   	308.13	DCR|3VULN|2TLV|1AEFBLL|3RAT|1ASPD	139VULN|289RAT|4FLTFST|5AEFBLL|69TLV|7RCR|9BPWR|aASPD
12	24113 35422	   	305.48	DCR|3VULN|2TLV|1AEFBLL|3RAT|1AART	189RAT|239VULN|4FLTFST|5AEFBLL|69TLV|7RCR|9BPWR|aAART
13	32413 35422	   	305.48	DCR|3VULN|2TLV|1AEFBLL|3RAT|1AART	129VULN|29BPWR|389RAT|4FLTFST|5AEFBLL|69TLV|7RCR|aAART
14	36113 35422	   	305.48	DCR|3VULN|2TLV|1AEFBLL|3RAT|1AART	139VULN|289RAT|4FLTFST|5AEFBLL|69TLV|7RCR|9BPWR|aAART
15	13315 14251	   	304.05	ACR|DCR|2TLV|1VULN|2DUR|1CDMG	1CDMG|29TLV|35DUR|47RCR|6FEWX|8CGEN|aVULN
16	13315 64331	   	304.05	ACR|DCR|2TLV|1VULN|2DUR|1CDMG	1CDMG|29TLV|35DUR|47RCR|6LHND|8RMIN|aVULN
17	31141 22553	 * 	303.11	ACR|3VULN|2TLV|2DMG|1AART	19aVULN|29DMG|3RCR|4MDPS|5AART|6MLV|7TSLARM|89TLV|9BPWR
