0	Index      	 *	Score 	Summary	Detail	
1	11224 53511	 * 	295.01	DCR|DCR|2TLV|1VULN|1CDMG|1DUR	1FEWX|2LHND|3RMIN|46TLV|5DUR|7VULN|89RCR|aCDMG
2	23235 31112	 * 	293.75	DCR|3VULN|2TLV|2DUR|1ASPD	1ERES|259VULN|3ASPD|4LIT|69DUR|7RAT|89TLV|9BPWR|aRCR
3	16312 32563	 * 	291.86	DCR|DCR|2TLV|1VULN|2AEFBLL	18FEWX|2RCVC|3LWND|4BELT|58TLV|68AEFBLL|7aRCR|8BPWR|9VULN
4	12552 33511	   	285.44	DCR|DCR|2TLV|1VULN|1CDMG	1FEWX|24LWND|34TLV|4BPWR|5LHND|6MLV|7VULN|89RCR|aCDMG
5	11512 53511	   	285.34	DCR|DCR|2TLV|1VULN|1CDMG	1FEWX|2LHND|36TLV|4LWND|5RMIN|7VULN|89RCR|aCDMG
6	11551 33511	   	285.34	DCR|DCR|2TLV|1VULN|1CDMG	1FEWX|24LHND|34TLV|4BPWR|5DUST|6MLV|7VULN|89RCR|aCDMG
7	12551 33511	   	285.34	DCR|DCR|2TLV|1VULN|1CDMG	1FEWX|24LWND|34TLV|4BPWR|5DUST|6MLV|7VULN|89RCR|aCDMG
8	11221 53511	   	285.24	DCR|DCR|2TLV|1VULN|1CDMG	1FEWX|2LHND|3RMIN|46TLV|5AETHUN|7VULN|89RCR|aCDMG
9	61223 53511	   	285.24	DCR|DCR|2TLV|1VULN|1CDMG	1DUST|2LHND|3RMIN|46TLV|5BEXP|7VULN|89RCR|aCDMG
10	61221 53511	   	285.14	DCR|DCR|2TLV|1VULN|1CDMG	1DUST|2LHND|3RMIN|46TLV|5AETHUN|7VULN|89RCR|aCDMG
11	11224 23516	 * 	285.01	DCR|DCR|2VULN|1TLV|1DUR	16FEWX|2LHND|3RMIN|4TLV|5DUR|7aVULN|89RCR
12	11224 33516	   	285.01	DCR|DCR|2VULN|1TLV|1DUR	1FEWX|2LHND|3RMIN|4TLV|5DUR|6RCVC|7aVULN|89RCR
13	12552 33513	   	282.80	DCR|DCR|2TLV|1VULN|1AART	1FEWX|24LWND|34TLV|4BPWR|5LHND|6MLV|7VULN|89RCR|aAART
14	11512 53513	   	282.70	DCR|DCR|2TLV|1VULN|1AART	1FEWX|2LHND|36TLV|4LWND|5RMIN|7VULN|89RCR|aAART
15	11551 33513	   	282.70	DCR|DCR|2TLV|1VULN|1AART	1FEWX|24LHND|34TLV|4BPWR|5DUST|6MLV|7VULN|89RCR|aAART
16	12551 33513	   	282.70	DCR|DCR|2TLV|1VULN|1AART	1FEWX|24LWND|34TLV|4BPWR|5DUST|6MLV|7VULN|89RCR|aAART
17	11221 53513	   	282.60	DCR|DCR|2TLV|1VULN|1AART	1FEWX|2LHND|3RMIN|46TLV|5AETHUN|7VULN|89RCR|aAART
18	23532 22336	 * 	282.24	DCR|4VULN|2TLV	1aERES|247aVULN|3AME|5AETHUN|6RAT|8aTLV|9RCR|aBPWR
19	23234 14612	   	281.65	DCR|3VULN|2TLV|1ASPD|2RAT	1ERES|289VULN|3ASPD|4LIT|59RAT|6BEXP|79TLV|9BPWR|aRCR
20	11224 53512	   	281.35	DCR|DCR|2TLV|1VULN|1DUR	1aFEWX|2LHND|3RMIN|46TLV|5DUR|7VULN|89RCR
21	11224 53513	   	281.35	DCR|DCR|2TLV|1VULN|1DUR	1FEWX|2LHND|3RMIN|46TLV|5DUR|7VULN|89RCR|aDMSP
22	11221 53514	   	281.25	DCR|DCR|2TLV|1VULN|1DUR	1FEWX|2LHND|3RMIN|46TLV|5AETHUN|7VULN|89RCR|aDUR
23	23462 32314	 * 	279.87	DCR|2TLV|2VULN|1AEBURN|1CDMG|1DUR	1ERES|27VULN|3RAT|45TLV|6DUR|8AEBURN|9RCR|aCDMG
24	61223 53513	   	278.53	DCR|DCR|2TLV|1VULN	1DUST|2LHND|3RMIN|46TLV|5BEXP|7VULN|89RCR|aZMB
25	61221 53513	   	278.43	DCR|DCR|2TLV|1VULN	1DUST|2LHND|3RMIN|46TLV|5AETHUN|7VULN|89RCR|aZMB
26	23221 34422	 * 	276.79	DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG|1ASPD|1DUR	1ERES|2VULN|3ASPD|4DUR|5AEBURN|6DMG|78TLV|9CDMG|aRCR
27	13143 23311	 * 	276.03	DCR|2TLV|2VULN|2ASPD|1DMG	1aFEWX|2RPLT|3CGEN|4aASPD|58VULN|6DMG|7aTLV|9RCR|aBPWR
28	63143 23311	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	1aDUST|2RPLT|3CGEN|4aASPD|58VULN|6DMG|7aTLV|9RCR|aBPWR
29	23235 41112	   	275.04	DCR|3VULN|2TLV|1ASPD	1ERES|259VULN|3ASPD|4LIT|69BEXP|7RAT|89TLV|9BPWR|aRCR
30	23462 32315	   	273.16	DCR|2TLV|2VULN|1AEBURN|1DUR	1ERES|27VULN|3RAT|45TLV|6DUR|8AEBURN|9RCR|aZMB
31	23133 34425	   	272.94	DCR|2TLV|2VULN|1DMG|1CDMG|1DUR	1ERES|24VULN|3CGEN|5DUR|6DMG|78TLV|9CDMG|aRCR
32	12552 33512	   	271.79	DCR|DCR|2TLV|1VULN	1aFEWX|24LWND|34TLV|4BPWR|5LHND|6MLV|7VULN|89RCR
33	11512 53512	   	271.69	DCR|DCR|2TLV|1VULN	1aFEWX|2LHND|36TLV|4LWND|5RMIN|7VULN|89RCR
34	11551 33512	   	271.69	DCR|DCR|2TLV|1VULN	1aFEWX|24LHND|34TLV|4BPWR|5DUST|6MLV|7VULN|89RCR
35	12551 33512	   	271.69	DCR|DCR|2TLV|1VULN	1aFEWX|24LWND|34TLV|4BPWR|5DUST|6MLV|7VULN|89RCR
36	11221 53512	   	271.59	DCR|DCR|2TLV|1VULN	1aFEWX|2LHND|3RMIN|46TLV|5AETHUN|7VULN|89RCR
37	61223 53512	   	271.59	DCR|DCR|2TLV|1VULN	1DUST|2LHND|3RMIN|46TLV|5BEXP|7VULN|89RCR|aFEWX
38	11221 53516	   	271.49	DCR|DCR|2TLV|1VULN|1MSE	1FEWX|2LHND|3RMIN|46TLV|5AETHUN|7VULN|89RCR|aMSE
39	61221 53512	   	271.49	DCR|DCR|2TLV|1VULN	1DUST|2LHND|3RMIN|46TLV|5AETHUN|7VULN|89RCR|aFEWX
