0	Index      	 *	Score 	Summary	Detail	
1	23255 13141	 * 	335.58	ACR|3VULN|2TLV|2ASPD|2AART|1DMG|1CDMG	18AART|23aVULN|4RCR|5aTLV|6CDMG|7DMG|9aASPD|aBPWR
2	23315 13141	   	330.95	ACR|2TLV|2VULN|2ASPD|2AART|1AEFBLL|1DMG|1CDMG	18AART|2aVULN|3RCR|4AEFBLL|5aTLV|6CDMG|7DMG|9aASPD|aBPWR
3	63326 31352	 * 	327.19	ACR|DCR|2TLV|2VULN|2DUR	13DUR|2aRCR|4BLAICY|57TLV|68VULN|9MLV
4	42312 11312	 * 	326.14	DCR|DCR|3VULN|2TLV	1SNIFST|23TLV|457VULN|6aRCR|8RMIN|9LWND
5	42312 11332	   	326.14	DCR|DCR|3VULN|2TLV	1SNIFST|23TLV|457VULN|6aRCR|8RMIN|9LHND
6	42312 11322	   	326.04	DCR|DCR|3VULN|2TLV	1SNIFST|23TLV|457VULN|6aRCR|8RMIN|9DUST
7	42312 11412	   	326.04	DCR|DCR|3VULN|2TLV	1SNIFST|23TLV|457VULN|6aRCR|8ERES|9LWND
8	42312 11432	   	326.04	DCR|DCR|3VULN|2TLV	1SNIFST|23TLV|457VULN|6aRCR|8ERES|9LHND
9	42312 11422	   	325.94	DCR|DCR|3VULN|2TLV	1SNIFST|23TLV|457VULN|6aRCR|8ERES|9DUST
10	11261 61344	   	322.11	ACR|DCR|2TLV|2VULN|1AART	17DUST|2LHND|37VULN|47TLV|5aRCR|6MBVNT|7BPWR|8DUR|9AART
11	13123 32462	   	321.51	ACR|DCR|2TLV|2VULN|1AEPOI	1DUST|2aRCR|34TLV|58VULN|6FRZFST|7CGEN|9AEPOI
12	13123 36452	   	321.41	ACR|DCR|2TLV|2VULN|1AEPOI	1DUST|2aRCR|34TLV|58VULN|6FRZFST|7ERES|9AEPOI
13	63323 31452	   	321.05	ACR|DCR|2VULN|1TLV|1AEPOI|2DUR	13DUR|2aRCR|4BLAICY|5RMIN|68VULN|7TLV|9AEPOI
14	52132 15332	 * 	320.89	DCR|DCR|4VULN|1TLV	1358VULN|2CANHEL|4ERES|6aRCR|7LHND|9TLV
15	52132 15232	   	319.90	DCR|DCR|3VULN|1TLV|1AEBURN	135VULN|2CANHEL|4ERES|6aRCR|7LHND|8AEBURN|9TLV
16	63326 31252	   	317.40	ACR|DCR|2TLV|1VULN|1AEPOI|2DUR	13DUR|2aRCR|4BLAICY|57TLV|6VULN|8AEPOI|9MLV
17	63323 31552	   	317.40	ACR|DCR|2TLV|1VULN|1AEPOI|2DUR	13DUR|2aRCR|4BLAICY|5RMIN|6VULN|78TLV|9AEPOI
18	23256 21251	   	313.55	ACR|DCR|2VULN|1TLV|2RAT|1CDMG|1AART	1AART|23VULN|48RCR|59RAT|6TLV|7CDMG|aLIT
19	23256 21252	   	313.55	ACR|DCR|2VULN|1TLV|1CDMG|2RAT|1AART	1AART|23VULN|48RCR|59RAT|6TLV|7CDMG|aAAC
20	23256 21253	   	313.45	ACR|DCR|2VULN|1TLV|1CDMG|2RAT|1AART|1SELL	1AART|23VULN|48RCR|59RAT|6TLV|7CDMG|aSELL
21	51261 61244	   	312.55	ACR|DCR|2TLV|2VULN|1AART	17VULN|2LEGI|37BEXP|47TLV|5aRCR|6MBVNT|7BPWR|8LHND|9AART
22	23361 62224	   	312.35	ACR|DCR|2TLV|2VULN|1AART	1AART|28VULN|3aRCR|46TLV|5ERES|7LHND|9MBVNT
23	51161 61244	   	312.35	ACR|DCR|2TLV|2VULN|1AART	17VULN|2LEGI|37DUST|47TLV|5aRCR|6MBVNT|7BPWR|8LHND|9AART
24	42312 13311	   	312.35	DCR|DCR|2TLV|2VULN|1AART	1SNIFST|23TLV|45VULN|6aRCR|7BELT|8AART|9VENFST
25	42312 13341	   	312.35	DCR|DCR|2TLV|2VULN|1AART	1SNIFST|23TLV|45VULN|6aRCR|7BELT|8AART|9LSRREG
26	63151 31352	   	311.11	ACR|DCR|2TLV|2VULN	1DUR|2aRCR|37TLV|4BASFIG|5RCVC|68VULN|9MLV
27	23255 22224	 * 	310.84	ACR|DCR|3VULN|1TLV|1AART	1AART|238VULN|4aRCR|5TLV|6ERES|7LHND|9MBVNT
28	42312 11362	   	310.84	DCR|DCR|3VULN|2TLV|1MSE	1SNIFST|23TLV|457VULN|6aRCR|8RMIN|9MSE
29	23256 21261	   	306.94	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9RCVC|aLIT
30	23256 21262	   	306.94	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9RCVC|aAAC
31	23256 21211	   	306.84	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9ERES|aLWND
32	23256 21212	   	306.84	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9ERES|aFEWX
33	23256 21221	   	306.84	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9AEFRZ|aLIT
34	23256 21222	   	306.84	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9AEFRZ|aAAC
35	23256 21226	   	306.84	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9AEFRZ|aCGEN
36	23256 21242	   	306.84	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9LSRHEA|aDMSP
37	23256 21243	   	306.84	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9LSRHEA|aLHND
38	23256 21263	   	306.84	ACR|DCR|2VULN|1TLV|1CDMG|1AART|1SELL	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9RCVC|aSELL
39	23256 21213	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9aERES
40	23256 21215	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART|1SELL	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9ERES|aSELL
41	23256 21216	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9ERES|aDUST
42	23256 21223	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART|1SELL	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9AEFRZ|aSELL
43	23256 21224	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9AEFRZ|aMDPS
44	23256 21225	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9AEFRZ|aSPLARM
45	23256 21231	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9DUST|aAIRARM
46	23256 21232	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9aDUST
47	23256 21233	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9DUST|aMDPS
48	23256 21235	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART|1SELL	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9DUST|aSELL
49	23256 21236	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART|1MSE	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9DUST|aMSE
50	23256 21241	   	306.74	ACR|DCR|2VULN|1TLV|1CDMG|1AART	1AART|23VULN|48RCR|5RAT|6TLV|7CDMG|9LSRHEA|aDUST
51	23333 31345	   	306.71	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1AART	1AART|2VULN|3aRCR|4DMG|5ASPD|6DUR|7ERES|8RAT|9TLV
52	23334 23612	 * 	306.47	ACR|4VULN|2TLV|1DMG|1AART	1AART|279aVULN|3RCR|4DMG|5BELT|6aDUST|8aTLV|aBPWR
53	13342 32551	 * 	306.25	ACR|DCR|1TLV|1VULN|2DMG|2RAT	189DUST|2aRCR|3DUR|48RAT|5VULN|6TLV|78DMG|8BPWR
54	23315 22224	   	306.21	ACR|DCR|2VULN|1TLV|1AEFBLL|1AART	1AART|28VULN|3aRCR|4AEFBLL|5TLV|6ERES|7LHND|9MBVNT
55	23315 24274	   	306.21	ACR|DCR|2VULN|1TLV|1AEFBLL|1AART	1AART|28VULN|3aRCR|4AEFBLL|5TLV|6ERES|7MBVNT|9LHND
56	23255 22524	   	306.21	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1AART|23VULN|4aRCR|5TLV|6ERES|7LHND|8AEBURN|9MBVNT
57	23255 22624	   	306.21	ACR|DCR|2VULN|1TLV|1AEFBLL|1AART	1AART|23VULN|4aRCR|5TLV|6ERES|7LHND|8AEFBLL|9MBVNT
