0	Index      	 *	Score 	Summary	Detail	
1	62453 23323	 * 	265.88	橙橙2易伤2等级	19易伤2平台39随机技能4基地爆炸57等级69雷电8a核9序列升级
2	41414 31141	   	256.14	橙橙1易伤1等级1时间1全技能	1全技能2头目3等级4技能点5加一6时间7a核8易伤9散射对喷气
3	62413 21323	   	255.54	橙橙2易伤1等级	19易伤2平台39随机技能4最后敌人5等级69雷电7双倍矿8a核9序列升级
4	62413 24323	   	255.34	橙橙2易伤1等级	19易伤2平台3随机技能49最后敌人5等级6雷电79毒气减费8a核9序列升级
5	62661 33133	 * 	254.53	橙5易伤2等级1矿等	13459易伤2平台69基地爆炸79等级8核9序列升级a矿等
6	62662 33133	   	254.53	橙5易伤2等级1矿等	13459易伤2平台59序列升级69基地爆炸79等级8核a矿等
7	33631 62315	 * 	249.56	橙2易伤2伤害2时间1等级1矿等	1赏金邻近2金币生成3a伤害4矿等5技能点6a时间7核8等级9a易伤a序列升级
8	51441 16723	 * 	249.10	橙橙2易伤2暴击	1加一2头目39暴击49易伤5掉矿6最后敌人79随机技能8a核9序列升级
9	51443 14723	   	249.10	橙橙2易伤2暴击	1加一2头目39暴击49易伤5挖尘6金币生成79随机技能8a核9序列升级
10	55414 48414	   	244.54	橙橙2易伤1矿等	1加一24低血量敌人3火球减费59易伤6策反78核a矿等
11	42113 23527	 * 	244.31	橙橙1等级1伤害1全技能1暴击	1全技能2暴击3毒液对毒4平台5加一6随机技能7等级8伤害9a核
12	51441 16543	   	242.59	橙橙2易伤1暴击	1加一2头目3暴击48易伤5掉矿6最后敌人7随机技能9a核
13	55414 48412	   	242.59	橙橙2易伤1时间	1加一24低血量敌人3火球减费59易伤6策反78核a时间
14	41414 11141	   	242.49	橙橙1易伤1等级1全技能	1全技能2头目3等级4技能点5加一6敌人爆炸7a核8易伤9散射对喷气
15	41462 41141	   	242.49	橙橙1易伤1等级1全技能	1全技能2头目3等级4挖尘5加一6金币生成7a核8易伤9散射对喷气
16	41462 31141	   	242.39	橙橙1易伤1等级1全技能	1全技能2头目3等级4挖尘5加一6技能点7a核8易伤9散射对喷气
17	42336 23122	   	242.35	橙橙1易伤1等级1全技能1暴击1卖塔	1全技能2暴击3火球减费4等级5立即金币6雷电79核8卖塔a易伤
18	41534 23122	   	242.25	橙橙1易伤1等级1全技能1暴击1卖塔	1全技能2头目3暴击4风暴减费5火球减费6等级79核8卖塔a易伤
19	42331 13152	   	239.85	橙橙1等级1矿等1全技能1暴击	1全技能2暴击3火球减费4等级5基地爆炸6矿等7立即金币8a核9额外掉落
20	42331 15152	   	239.85	橙橙1等级1矿等1全技能1暴击	1全技能2暴击3火球减费4等级57基地爆炸6矿等8a核9额外掉落
21	42333 13152	   	239.85	橙橙1等级1矿等1全技能1暴击	1全技能2暴击3火球减费4等级5敌人爆炸6矿等7立即金币8a核9额外掉落
22	42333 14152	   	239.85	橙橙1等级1矿等1全技能1暴击	1全技能2暴击3火球减费4等级57敌人爆炸6矿等8a核9额外掉落
23	62132 21136	 * 	239.50	橙4易伤2矿等2时间	149a易伤26平台39矿等59时间7立即金币8核9序列升级
24	62453 23313	   	239.47	橙橙2等级1易伤	1易伤2平台39随机技能4基地爆炸57等级6雷电8a核
25	62453 23333	   	239.37	橙橙2等级1易伤	1易伤2平台3随机技能4基地爆炸57等级6雷电8a核9风暴减费
26	62136 11136	   	239.30	橙4易伤2矿等2时间	149a易伤2平台39矿等5暴雪减费6风暴减费79时间8核9序列升级
27	62661 33131	   	238.93	橙5易伤2等级	13459易伤2平台69基地爆炸79等级8核9序列升级a最后敌人
28	62662 33131	   	238.93	橙5易伤2等级	13459易伤2平台59序列升级69基地爆炸79等级8核a最后敌人
29	62361 33136	   	238.93	橙5易伤2等级	1459a易伤2平台3立即金币69基地爆炸79等级8核9序列升级
30	62362 33136	   	238.93	橙5易伤2等级	1459a易伤2平台3立即金币59序列升级69基地爆炸79等级8核
31	62642 13122	   	238.83	橙5易伤2等级	1356a易伤2平台456烈焰减费56a序列升级7a等级8核9a金币生成
32	62661 33132	   	238.83	橙5易伤2等级	13459易伤2平台69基地爆炸79等级8核9序列升级a赏金邻近
33	62662 33132	   	238.83	橙5易伤2等级	13459易伤2平台59序列升级69基地爆炸79等级8核a赏金邻近
34	62342 13162	   	238.73	橙5易伤2等级	1569a易伤2平台3立即金币456烈焰减费569序列升级79等级8核
35	62121 13162	 * 	237.79	橙2易伤3矿等2等级1伤害	19易伤2平台359矿等45金币生成59序列升级6毒气减费79等级8核a伤害
36	62661 23122	 * 	237.71	橙4易伤1喷火对甲1等级	1345易伤2平台6最后敌人7等级8核9金币生成a喷火对甲
37	62662 23122	   	237.71	橙4易伤1喷火对甲1等级	1345易伤2平台5序列升级6最后敌人7等级8核9金币生成a喷火对甲
38	62161 13162	   	237.59	橙2易伤3矿等2等级1伤害	19易伤2平台359矿等45技能点59序列升级6毒气减费79等级8核a伤害
