0	Index      	 *	Score 	Summary	Detail	
1	22426 23435	 * 	284.89	橙橙3易伤1伤害1全技能	1全技能2雷电3低血量敌人467易伤5加一89核a伤害
2	22426 33435	 * 	275.21	橙橙2易伤2全技能1伤害	16全技能2雷电3低血量敌人47易伤5加一89核a伤害
3	21351 23322	 * 	266.09	橙2易伤3时间2伤害1等级1全技能	1全技能239时间39序列升级4赏金邻近5攻速69易伤7核89伤害a等级
4	22426 23431	   	264.83	橙橙3易伤1全技能	1全技能2雷电3低血量敌人467易伤5加一89核a头目
5	22426 23432	   	264.83	橙橙3易伤1全技能	1全技能2雷电3低血量敌人467易伤5加一89核a金币生成
6	22426 23436	   	264.83	橙橙3易伤1全技能	1全技能2雷电3a低血量敌人467易伤5加一89核
7	22426 23433	   	264.73	橙橙3易伤1全技能	1全技能2雷电3低血量敌人467易伤5加一89核a赏金邻近
8	22426 23434	   	264.73	橙橙3易伤1全技能	1全技能2雷电3低血量敌人467易伤5加一89核a挖尘
9	22426 23437	   	264.73	橙橙3易伤1全技能	1全技能2雷电3低血量敌人467易伤5加一89核a暴雪减费
10	22426 23438	   	264.73	橙橙3易伤1全技能	1全技能2雷电3低血量敌人467易伤5加一89核a烈焰减费
11	22426 24435	   	262.75	橙橙2易伤1伤害1全技能	1全技能2雷电3低血量敌人46易伤5加一7双倍矿89核a伤害
12	21351 23324	 * 	262.03	橙3易伤3时间2伤害1全技能	1全技能239时间39序列升级4赏金邻近5攻速69a易伤7核89伤害
13	21352 23322	   	259.15	橙2易伤3时间2伤害1等级1全技能1技能	1全技能239时间39序列升级4赏金邻近5技能69易伤7核89伤害a等级
14	61123 56233	 * 	257.96	橙橙1等级1伤害1暴击1时间1全技能	1时间2雷电3掉矿4低血量敌人5伤害68核7全技能9等级a暴击
15	63123 56233	   	257.96	橙橙1等级1伤害1时间1全技能1暴击	1时间2头目3掉矿4低血量敌人5伤害68核7全技能9等级a暴击
16	61123 56231	 * 	256.76	橙橙2时间1等级1伤害1全技能	1a时间2雷电3掉矿4低血量敌人5伤害68核7全技能9等级
17	63123 56231	   	256.76	橙橙2时间1等级1伤害1全技能	1a时间2头目3掉矿4低血量敌人5伤害68核7全技能9等级
18	22426 33431	   	255.14	橙橙2易伤2全技能	16全技能2雷电3低血量敌人47易伤5加一89核a头目
19	22426 33432	   	255.14	橙橙2易伤2全技能	16全技能2雷电3低血量敌人47易伤5加一89核a金币生成
20	22426 33436	   	255.14	橙橙2易伤2全技能	16全技能2雷电3a低血量敌人47易伤5加一89核
21	21352 23324	   	255.09	橙3易伤3时间2伤害1全技能1技能	1全技能239时间39序列升级4赏金邻近5技能69a易伤7核89伤害
22	22426 33433	   	255.04	橙橙2易伤2全技能	16全技能2雷电3低血量敌人47易伤5加一89核a赏金邻近
23	22426 33434	   	255.04	橙橙2易伤2全技能	16全技能2雷电3低血量敌人47易伤5加一89核a挖尘
24	22426 33437	   	255.04	橙橙2易伤2全技能	16全技能2雷电3低血量敌人47易伤5加一89核a暴雪减费
25	22426 33438	   	255.04	橙橙2易伤2全技能	16全技能2雷电3低血量敌人47易伤5加一89核a烈焰减费
