0	Index      	 *	Score 	Summary	Detail	
1	23134 26633	 * 	262.46	紫2易伤1基础对甲2伤害2全技能1暴击	1立即金币2核35全技能47易伤67伤害7序列升级8金币生成9基础对甲a暴击
2	23516 53112	 * 	258.89	紫3伤害1基础对甲2易伤2基地爆炸	1立即金币2核3双倍矿468伤害58基地爆炸78易伤8序列升级9掉矿a基础对甲
3	23134 26632	   	254.88	紫2易伤1基础对甲2伤害2全技能	1立即金币2核35全技能47易伤67伤害7序列升级8金币生成9基础对甲a技能
4	23431 14363	 * 	251.19	紫2易伤3攻速2基地爆炸1伤害1全技能	1立即金币2核38易伤4雷电58基地爆炸68a攻速7全技能8序列升级9伤害
5	23136 26633	   	246.70	紫2易伤1基础对甲2伤害1暴击1全技能	1立即金币2核3全技能47易伤5双倍矿67伤害7序列升级8金币生成9基础对甲a暴击
6	23134 26631	   	246.57	紫2易伤1基础对甲2伤害2全技能	1立即金币2核35全技能47易伤67伤害7序列升级8金币生成9基础对甲a低血量敌人
7	23516 53233	   	245.26	紫3伤害1基础对甲2基地爆炸1易伤	1立即金币2核3双倍矿469伤害5a基地爆炸7易伤8基础对甲
8	23516 53311	 * 	244.61	紫3伤害2易伤2基地爆炸2全技能	1立即金币2核3双倍矿46a伤害5a基地爆炸7a易伤89全技能a序列升级
9	23136 26632	   	239.05	紫2易伤1基础对甲2伤害1全技能	1立即金币2核3全技能47易伤5双倍矿67伤害7序列升级8金币生成9基础对甲a技能
10	23431 14352	 * 	235.38	紫3易伤3基地爆炸2攻速1全技能	1立即金币2核389易伤4雷电58a基地爆炸68攻速7全技能8序列升级
11	23134 26116	 * 	234.09	紫2易伤2伤害3全技能1攻速	1立即金币2核359全技能47易伤67伤害7序列升级8时间a攻速
12	23134 26316	   	233.99	紫2易伤2伤害3全技能1攻速	1立即金币2核359全技能47易伤67伤害7序列升级8挖尘a攻速
13	23431 14361	   	233.26	紫2易伤2攻速2基地爆炸1伤害1全技能	1立即金币2核38易伤4雷电58基地爆炸68攻速7全技能8序列升级9伤害a随机矿
14	23431 14362	   	233.26	紫2易伤2攻速2基地爆炸1伤害1全技能	1立即金币2核38易伤4雷电58基地爆炸68攻速7全技能8序列升级9伤害a最后敌人
15	23363 34363	   	233.26	紫2易伤2攻速2基地爆炸1伤害1全技能	1立即金币2核38雷电4a攻速58基地爆炸68易伤7全技能8序列升级9伤害
16	23526 43231	 * 	232.74	紫1基础对甲2基地爆炸1易伤1攻速1伤害	16立即金币2核3双倍矿4攻速5a基地爆炸7易伤8基础对甲9伤害
17	23134 26161	 * 	232.60	紫3易伤3伤害2全技能	19立即金币2核35全技能47a易伤67a伤害7a序列升级8a时间
