0	Index      	 *	Score 	Summary	Detail	
1	12364 51223	 * 	230.80	紫1基础对甲2伤害1易伤2基地爆炸1全技能	13伤害2易伤4双倍秒伤5核69基地爆炸7雷电8全技能a基础对甲
2	21555 32222	 * 	216.75	紫3攻速1基础对甲1全技能1暴击	1暴击2随机矿3磁铁减费4核578攻速6双倍秒伤9全技能a基础对甲
3	14227 41323	 * 	215.65	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67矿等7序列升级8攻速9最后敌人a基础对甲
4	14227 41333	   	215.65	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67矿等7序列升级8攻速9敌人爆炸a基础对甲
5	14227 61323	   	215.65	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67金币生成7序列升级8攻速9最后敌人a基础对甲
6	14227 61333	   	215.65	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67金币生成7序列升级8攻速9敌人爆炸a基础对甲
7	14227 41383	   	215.55	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67矿等7序列升级8攻速9挖尘a基础对甲
8	14227 21323	   	215.45	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67掉矿7序列升级8攻速9最后敌人a基础对甲
9	14227 21333	   	215.45	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67掉矿7序列升级8攻速9敌人爆炸a基础对甲
10	14227 11223	   	212.21	紫1基础对甲2基地爆炸1易伤1伤害1全技能	1伤害2雷电3加一49基地爆炸5核6易伤7敌人爆炸8全技能a基础对甲
11	12364 61331	 * 	206.54	紫2伤害1易伤2全技能1攻速1基地爆炸	13伤害2易伤4双倍秒伤5核6立即金币7攻速8a全技能9基地爆炸
12	23164 41223	   	205.55	紫1基础对甲2基地爆炸1易伤1全技能1暴击1卖塔	1暴击2卖塔39基地爆炸4双倍秒伤5核6易伤7雷电8全技能a基础对甲
13	13364 22362	 * 	204.36	紫1基础对甲2伤害1攻速1全技能1卖塔	13伤害2低血量敌人4双倍秒伤5核6卖塔7全技能8敌人爆炸9攻速a基础对甲
14	13364 22262	 * 	204.26	紫1基础对甲2伤害1攻速1全技能1卖塔	13伤害2低血量敌人4双倍秒伤5核6卖塔7全技能8挖尘9攻速a基础对甲
15	12364 41331	   	203.93	紫2伤害1易伤2全技能1攻速1基地爆炸	13伤害2易伤4双倍秒伤5核6火球减费7攻速8a全技能9基地爆炸
16	14227 13231	 * 	202.15	紫2易伤2攻速2伤害1基地爆炸	1a伤害2雷电3加一4基地爆炸5核68易伤79攻速
17	23536 26223	 * 	201.83	紫2易伤2基地爆炸1攻速1伤害2暴击1卖塔	1a暴击2卖塔3双倍矿4a基地爆炸5核6平台7伤害8攻速9a易伤a序列升级
