0	Index      	 *	Score 	Summary	Detail	
1	64621 22231	 * 	244.16	紫3伤害2攻速2基地爆炸2易伤1全技能	1随机矿279伤害3核4全技能5a易伤69基地爆炸89攻速9序列升级
2	64621 22233	 * 	242.40	紫3伤害3基地爆炸2攻速1全技能	1随机矿279伤害3核4全技能5易伤69a基地爆炸89攻速9序列升级
3	15453 22333	 * 	237.88	紫1基础对甲2伤害2基地爆炸1全技能1暴击	1低血量敌人2核35伤害45基地爆炸5序列升级6敌人爆炸7矿等8基础对甲9暴击a全技能
4	64621 22232	   	231.13	紫3伤害2攻速2基地爆炸1全技能	1随机矿279伤害3核4全技能5易伤69基地爆炸89攻速9序列升级a时间
5	15453 22321	 * 	230.65	紫1基础对甲2伤害2基地爆炸1攻速	1a低血量敌人2核35伤害45基地爆炸5序列升级6敌人爆炸7矿等8基础对甲9攻速
6	15453 22322	   	230.65	紫1基础对甲2伤害2基地爆炸1攻速	1低血量敌人2核35伤害45基地爆炸5序列升级6敌人爆炸7矿等8基础对甲9攻速a最后敌人
7	15453 32321	   	230.65	紫1基础对甲2伤害2基地爆炸1攻速	1a低血量敌人2核35伤害45基地爆炸5序列升级6时间7矿等8基础对甲9攻速
8	15453 32322	   	230.65	紫1基础对甲2伤害2基地爆炸1攻速	1低血量敌人2核35伤害45基地爆炸5序列升级6时间7矿等8基础对甲9攻速a最后敌人
9	35563 21222	 * 	230.20	紫1基础对甲2攻速2基地爆炸1伤害1卖塔	1时间2核3双倍物品4伤害56基地爆炸78攻速9卖塔a基础对甲
10	64621 23233	   	229.13	紫2攻速2伤害2基地爆炸1暴击1全技能	1随机矿29伤害3核4全技能5易伤69基地爆炸7立即金币89攻速9序列升级a暴击
11	64621 21233	   	227.22	紫2攻速2伤害2易伤1全技能1基地爆炸1暴击	1随机矿29伤害3核4全技能59易伤6基地爆炸7磁铁减费89攻速9序列升级a暴击
12	15411 13352	   	226.63	紫1基础对甲2伤害2基地爆炸2技能	1低血量敌人2核37伤害4额外掉落5基础对甲6a技能89基地爆炸
13	35411 23342	   	226.61	紫1基础对甲2基地爆炸1攻速1伤害1暴击	1时间2核3伤害4额外掉落5基础对甲6最后敌人7攻速8a基地爆炸9暴击
14	35411 13631	 * 	225.05	紫2基础对甲2伤害2易伤1技能	1a时间2核37伤害4额外掉落5a基础对甲6技能8随机矿9a易伤a序列升级
15	15453 22313	   	224.23	紫1基础对甲2伤害2基地爆炸1全技能	1低血量敌人2核35伤害45基地爆炸5序列升级6敌人爆炸7矿等8基础对甲9全技能a平台
16	15453 22331	   	224.23	紫1基础对甲2伤害2基地爆炸1暴击	1低血量敌人2核35伤害45基地爆炸5序列升级6a敌人爆炸7矿等8基础对甲9暴击
17	15453 32313	   	224.23	紫1基础对甲2伤害2基地爆炸1全技能	1低血量敌人2核35伤害45基地爆炸5序列升级6时间7矿等8基础对甲9全技能a平台
18	15453 32331	   	224.23	紫1基础对甲2伤害2基地爆炸1暴击	1低血量敌人2核35伤害45基地爆炸5序列升级6时间7矿等8基础对甲9暴击a敌人爆炸
19	15453 32333	   	224.23	紫1基础对甲2伤害2基地爆炸1暴击	1低血量敌人2核35伤害45基地爆炸5序列升级6时间7矿等8基础对甲9暴击a雷电
20	15453 22311	   	224.13	紫1基础对甲2伤害2基地爆炸1全技能	1低血量敌人2核35伤害45基地爆炸5序列升级6敌人爆炸7矿等8基础对甲9全技能a技能点
21	15453 22312	   	224.13	紫1基础对甲2伤害2基地爆炸1全技能	1低血量敌人2核35伤害45基地爆炸5序列升级6敌人爆炸7矿等8基础对甲9全技能a挖尘
22	15453 22332	   	224.13	紫1基础对甲2伤害2基地爆炸1暴击	1低血量敌人2核35伤害45基地爆炸5序列升级6敌人爆炸7矿等8基础对甲9暴击a火球减费
23	15453 32311	   	224.13	紫1基础对甲2伤害2基地爆炸1全技能	1低血量敌人2核35伤害45基地爆炸5序列升级6时间7矿等8基础对甲9全技能a技能点
24	15453 32312	   	224.13	紫1基础对甲2伤害2基地爆炸1全技能	1低血量敌人2核35伤害45基地爆炸5序列升级6时间7矿等8基础对甲9全技能a挖尘
25	15453 32332	   	224.13	紫1基础对甲2伤害2基地爆炸1暴击	1低血量敌人2核35伤害45基地爆炸5序列升级6时间7矿等8基础对甲9暴击a加一
26	15411 13212	   	224.01	紫1基础对甲2伤害1攻速1全技能1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8平台9全技能a攻速
27	15411 13333	   	224.01	紫1基础对甲2伤害1攻速1基地爆炸1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8基地爆炸9雷电a攻速
28	44125 33112	   	224.01	紫1基础对甲2伤害1攻速1全技能1技能	1平台2核3低血量敌人46伤害5全技能7攻速8最后敌人9技能a基础对甲
29	25411 13212	   	223.91	紫1基础对甲2伤害1攻速1全技能1技能	1挖尘2核37伤害4额外掉落5基础对甲6技能8平台9全技能a攻速
30	25426 22332	   	223.81	紫1基础对甲2伤害1攻速1全技能1技能	1挖尘2核34伤害5技能6策反7技能点8基础对甲9攻速a全技能
31	25411 12331	   	223.67	紫1基础对甲2伤害2易伤1暴击1技能1卖塔	1a挖尘2核3a伤害4额外掉落5基础对甲6技能7卖塔8暴击9a易伤a序列升级
32	52633 42411	 * 	222.82	紫1基础对甲2基地爆炸1攻速1伤害1基础对冰	1掉矿26基地爆炸3时间4核5加一7基础对冰8基础对甲9攻速a伤害
33	52633 42431	 * 	220.35	紫1基础对甲2伤害2基地爆炸1基础对冰	1掉矿26基地爆炸3时间4核5加一7基础对冰8基础对甲9a伤害
34	35411 12212	   	219.83	紫1基础对甲1攻速1伤害1全技能1基地爆炸1技能1卖塔	1时间2核3伤害4额外掉落5基础对甲6技能7卖塔8基地爆炸9全技能a攻速
