0	Index      	 *	Score 	Summary	Detail	
1	15415 11333	 * 	232.96	紫3易伤2攻速2基地爆炸1伤害1全技能	19基地爆炸2狙击对直升379易伤4核5伤害6掉矿89攻速9序列升级a全技能
2	15411 63331	 * 	224.21	紫3易伤3基地爆炸2攻速1伤害	169基地爆炸2狙击对直升39a易伤4核5技能点7伤害89攻速9序列升级
3	15415 12333	   	220.50	紫2易伤2攻速2基地爆炸1伤害1全技能	19基地爆炸2狙击对直升39易伤4核5伤害6掉矿7立即金币89攻速9序列升级a全技能
4	22653 33533	 * 	219.07	紫3易伤3攻速2伤害	1技能24a易伤38a攻速5核6a伤害7双倍秒伤9随机矿a序列升级
5	22653 33523	   	218.97	紫3易伤3攻速2伤害	1技能24a易伤389攻速5核6a伤害7双倍秒伤a序列升级
6	22653 34333	   	217.16	紫3易伤2攻速2伤害1暴击	1技能248易伤38攻速5核68伤害7额外掉落8序列升级9随机矿a暴击
7	23553 33623	 * 	215.90	紫3攻速3伤害2基地爆炸	1技能279攻速3a挖尘47磁铁减费5核67a伤害7a序列升级8a基地爆炸
8	23553 33633	   	215.90	紫3攻速3伤害2基地爆炸	1技能27a攻速3挖尘47磁铁减费5核67a伤害7a序列升级8a基地爆炸9双倍秒伤
9	15415 11332	   	212.95	紫3易伤2攻速2基地爆炸1伤害	19基地爆炸2狙击对直升379易伤4核5伤害6掉矿89攻速9序列升级a敌人爆炸
10	15415 11331	   	212.85	紫3易伤2攻速2基地爆炸1伤害	19基地爆炸2狙击对直升379易伤4核5伤害6a掉矿89攻速9序列升级
11	15411 63333	   	211.86	紫2易伤3基地爆炸2攻速1伤害	169基地爆炸2狙击对直升39易伤4核5技能点7伤害89攻速9序列升级a敌人爆炸
12	54523 33123	 * 	209.01	橙3易伤3攻速2伤害1全技能	1全技能236攻速48矿等58伤害789易伤8序列升级a核
13	15412 26232	 * 	208.90	紫2易伤1基础对甲2基地爆炸2暴击	17基地爆炸2狙击对直升37易伤4核5额外掉落67暴击7序列升级8金币生成9掉矿a基础对甲
14	16412 26232	   	208.90	紫2易伤1基础对甲2基地爆炸2暴击	17基地爆炸2狙击对毒37易伤4核5额外掉落67暴击7序列升级8金币生成9掉矿a基础对甲
15	22653 33343	   	207.95	紫3易伤2攻速2基地爆炸1伤害	1技能24a易伤3a攻速5核6伤害7双倍秒伤8敌人爆炸9a基地爆炸a序列升级
16	22653 33253	   	207.85	紫3易伤2攻速2基地爆炸1伤害	1技能24a易伤3a攻速5核6伤害7双倍秒伤8挖尘9a基地爆炸a序列升级
17	12642 36313	 * 	203.96	紫3伤害3基地爆炸1易伤1暴击	17a基地爆炸2暴击37雷电467伤害5核7序列升级8喷火对黄9易伤
18	51234 11531	   	203.72	紫3易伤3基地爆炸1攻速1全技能1技能	1全技能27时间347易伤5核679基地爆炸7序列升级8攻速a技能
