0	Index      	 *	Score 	Summary	Detail	
1	14525 33113	 * 	319.86	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD|1CDMG	1TLV|2FLTHEA|3RMIN|4ASPD|5DMG|67RCR|8AEBURN|9VULN|aCDMG
2	14425 33112	 * 	319.29	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	18TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|9VULN|aRAT
3	14425 33232	   	313.15	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD	1TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|8ZMB|9VULN|aAEPOI
4	14425 33111	   	312.25	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	18TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|9VULN|aLEGI
5	14425 33113	   	312.25	DCR|DCR|2TLV|1VULN|1DMG|1ASPD|1MSE	18TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|9VULN|aMSE
6	14425 33122	   	312.25	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	18TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|9MDPS|aVULN
7	11663 33412	 * 	311.88	DCR|DCR|2TLV|2VULN	1aTLV|2aVULN|3AME|4LEGI|58LIT|69RCR|7aZMB|aBPWR
8	11663 33612	   	311.88	DCR|DCR|2TLV|2VULN	1aTLV|2aVULN|3AME|4LEGI|5LIT|69RCR|7aZMB|8RCVC|aBPWR
9	12414 23123	   	308.14	DCR|DCR|2TLV|2VULN|1SELL	13TLV|2BELT|3BPWR|4SELL|58VULN|6aRCR|7MSLFST|9RAT
10	14425 33332	   	306.21	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD	1TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|8RMIN|9VULN|aAEPOI
11	14515 33113	   	306.21	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	1TLV|2FLTHEA|3RMIN|4AAC|5DMG|67RCR|8AEBURN|9VULN|aCDMG
12	14525 33111	   	306.21	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD	1TLV|2FLTHEA|3RMIN|4ASPD|5DMG|67RCR|8AEBURN|9VULN|aLHND
13	14525 33112	   	306.21	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD	1TLV|2FLTHEA|3RMIN|4ASPD|5DMG|67RCR|8AEBURN|9VULN|aCGEN
14	14415 33112	   	305.63	DCR|DCR|2TLV|1VULN|1DMG	18TLV|2FLTHEA|3CGEN|4AAC|5DMG|67RCR|9VULN|aRAT
15	66223 21344	 * 	305.21	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	1LWND|29RCR|35TLV|45DUST|5BPWR|6ASPD|7MBVNT|8DMG|aVULN
16	15225 21632	   	305.07	DCR|DCR|2VULN|1TLV|1DMG	1TLV|258LWND|3DUR|47VULN|6DMG|9aRCR
17	11211 63344	 * 	303.87	DCR|3TLV|3VULN|3CDMG	17aTLV|27aVULN|3DUR|4DUST|57aCDMG|6MDPS|7aBPWR|8BELT|9RCR
18	11233 33412	   	300.83	DCR|DCR|2TLV|1VULN|2DUR	1aTLV|2VULN|3aDUR|4CGEN|58LIT|69RCR|7aZMB|aBPWR
19	11233 33612	   	300.83	DCR|DCR|2TLV|1VULN|2DUR	1aTLV|2VULN|3aDUR|4CGEN|5LIT|69RCR|7aZMB|8RCVC|aBPWR
20	12462 12632	 * 	300.16	DCR|4VULN|3TLV|1AART	139TLV|2BELT|39BPWR|459aVULN|6AAC|7AART|8RCR
21	14425 33233	   	300.02	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|8ZMB|9VULN|aRAT
22	14525 33333	   	300.02	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FLTHEA|3RMIN|4ASPD|5DMG|67RCR|8ZMB|9VULN|aRAT
23	14525 33233	   	299.69	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1TLV|2FLTHEA|3RMIN|4ASPD|5DMG|67RCR|8ERES|9VULN|aCDMG
24	11226 62622	   	299.51	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|249aVULN|3DUR|5DMG|6CDMG|7RCR|8ZMB
25	14415 33232	   	299.49	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1TLV|2FLTHEA|3CGEN|4AAC|5DMG|67RCR|8ZMB|9VULN|aAEPOI
26	16231 33223	 * 	299.27	ACR|3TLV|3VULN|2CDMG|1AART	189TLV|289BEXP|3AART|4aCDMG|5RCR|6CANHEL|789VULN|89BPWR
27	51241 31612	 * 	299.24	DCR|2TLV|2VULN|2ASPD|1AEPOI|1CDMG	1MLV|2aVULN|3DUR|4MBVNT|5CDMG|6aASPD|7AEPOI|8aTLV|9RCR|aBPWR
28	22163 62126	   	298.92	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD|1SELL	1SELL|2BASICY|3DMG|4aRCR|5AEPOI|6TLV|7VULN|8RPLT|9ASPD
29	11241 42212	   	298.82	DCR|4VULN|2TLV|1CDMG	1aTLV|278aVULN|3DUR|4MBVNT|5CDMG|6aLWND|9RCR|aBPWR
30	14415 33111	   	298.60	DCR|DCR|2TLV|1VULN|1DMG	18TLV|2FLTHEA|3CGEN|4AAC|5DMG|67RCR|9VULN|aLEGI
31	14415 33113	   	298.60	DCR|DCR|2TLV|1VULN|1DMG|1MSE	18TLV|2FLTHEA|3CGEN|4AAC|5DMG|67RCR|9VULN|aMSE
32	14415 33122	   	298.60	DCR|DCR|2TLV|1VULN|1DMG	18TLV|2FLTHEA|3CGEN|4AAC|5DMG|67RCR|9MDPS|aVULN
33	11222 13112	 * 	296.51	DCR|4VULN|1TLV|2DMG	1TLV|2458VULN|3DUR|6LHND|79DMG|aRCR
34	11222 23212	   	296.51	DCR|4VULN|1TLV|2DMG	1TLV|2456VULN|3DUR|79DMG|8BEXP|aRCR
35	11222 23612	   	296.51	DCR|4VULN|1TLV|2DMG	1TLV|2456VULN|3DUR|79DMG|8LWND|aRCR
36	11225 21112	   	296.51	DCR|4VULN|1TLV|2DMG	1TLV|2478VULN|3DUR|5LWND|69DMG|aRCR
37	11226 51112	   	296.51	DCR|4VULN|1TLV|2DMG	1TLV|2478VULN|3DUR|59DMG|6FEWX|aRCR
38	11226 31112	   	296.41	DCR|4VULN|1TLV|2DMG	1TLV|2478VULN|3DUR|59DMG|6LEGI|aRCR
39	11122 34362	   	295.99	DCR|4VULN|2TLV|2FLTHEA	18TLV|2578VULN|3AEFRZ|4LWND|68FLTHEA|8BPWR|9RAT|aRCR
40	11322 34362	   	295.99	DCR|4VULN|2TLV|2FLTHEA	18TLV|2578VULN|3AEWIND|4LWND|68FLTHEA|8BPWR|9RAT|aRCR
41	11222 34632	 * 	295.15	DCR|5VULN|1TLV|1AART	1TLV|24579VULN|3DUR|6FLTHEA|8AART|aRCR
42	11155 32533	   	295.11	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2aVULN|3AEFRZ|4VENFST|5DMG|69RCR|7AEWIND|8RPLT
43	11222 32316	 * 	295.06	DCR|3VULN|2TLV|3DUR|2FLTHEA|1SELL	18TLV|245VULN|378DUR|68FLTHEA|8BPWR|9SELL|aRCR
