0	Index      	 *	Score 	Summary	Detail	
1	52432 62132	 * 	300.62	DCR|3VULN|2TLV|2ASPD|1DMG	17aVULN|2aTLV|3RCVC|4AME|5DMG|6AETHUN|8aASPD|9RCR|aBPWR
2	21531 13534	 * 	295.43	DCR|3VULN|1TLV|2DMG|2CDMG	12CDMG|3DUR|46DMG|578VULN|9RCR|aTLV
3	52252 31631	 * 	293.22	DCR|3VULN|2TLV|2AEPOI|2DUR	178VULN|27TLV|39DUR|4BEXP|5BELT|67AEPOI|7BPWR|aRCR
4	55112 12334	 * 	291.95	DCR|DCR|2VULN|1TLV	14VULN|2RPLT|3TLV|5DUR|6LIT|7FRZARM|8aRCR|9CGEN
5	55121 12334	   	291.95	DCR|DCR|2VULN|1TLV	15VULN|2RPLT|3TLV|4DUR|6LIT|7FRZARM|8aRCR|9CGEN
6	55112 61131	   	291.32	DCR|3VULN|2TLV|1ASPD|1CDMG	146VULN|2RPLT|38TLV|5DUR|7CDMG|9RCR|aASPD
7	55121 61131	   	291.32	DCR|3VULN|2TLV|1ASPD|1CDMG	156VULN|2RPLT|38TLV|4DUR|7CDMG|9RCR|aASPD
8	16611 11216	   	288.90	DCR|DCR|2VULN|1TLV|1ASPD	1AME|2CGEN|3TLV|46VULN|5ASPD|7MDPS|8aRCR|9BELT
9	12611 11216	   	288.80	DCR|DCR|2VULN|1TLV|1ASPD	1AME|2ERES|3TLV|46VULN|5ASPD|7MDPS|8aRCR|9BELT
10	32611 11216	   	288.80	DCR|DCR|2VULN|1TLV|1ASPD	1CGEN|2ERES|3TLV|46VULN|5ASPD|7MDPS|8aRCR|9BELT
11	52521 11216	   	288.80	DCR|DCR|2VULN|1TLV|1ASPD	16VULN|2TLV|3ERES|4CGEN|5ASPD|7MDPS|8aRCR|9BELT
12	52213 33116	 * 	288.77	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1VULN|2TLV|3DUR|4AEFBLL|5MDPS|6FEWX|7BELT|8aRCR|9ASPD
13	52213 53116	   	288.77	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1VULN|2TLV|3DUR|4AEFBLL|5MDPS|6LWND|7BELT|8aRCR|9ASPD
14	52213 13116	   	288.67	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1VULN|2TLV|3DUR|4AEFBLL|5MDPS|6DUST|7BELT|8aRCR|9ASPD
15	21431 13534	   	285.76	DCR|3VULN|1TLV|2DMG|2CDMG	12CDMG|3LHND|46DMG|578VULN|9RCR|aTLV
16	21342 52334	 * 	285.49	ACR|2TLV|2VULN|3CDMG|1AEFBLL	12aCDMG|3RCR|4MLV|5aTLV|6DUR|7AEFBLL|8AETHUN|9aVULN|aBPWR
17	21323 64363	 * 	285.22	ACR|3VULN|2TLV|2CDMG|1AART	12CDMG|3RCR|48aVULN|5DUST|6AART|79TLV
18	55112 61133	   	284.60	DCR|3VULN|2TLV|1CDMG	146VULN|2RPLT|38TLV|5DUR|7CDMG|9RCR|aRAT
19	55121 61133	   	284.60	DCR|3VULN|2TLV|1CDMG	156VULN|2RPLT|38TLV|4DUR|7CDMG|9RCR|aRAT
20	52621 16131	   	283.98	DCR|3VULN|1TLV|2ASPD|1DMG	167VULN|2TLV|3DMG|4CGEN|5aASPD|8DUR|9RCR
21	21321 63343	 * 	281.95	ACR|DCR|1TLV|1VULN|2CDMG	12CDMG|3aRCR|4VULN|5LHND|6DUR|7TLV|8MDPS|9RAT
22	55111 61131	   	281.65	DCR|3VULN|2TLV|1ASPD|1CDMG	146VULN|2RPLT|38TLV|5LWND|7CDMG|9RCR|aASPD
23	21362 53221	 * 	281.15	ACR|DCR|1TLV|2DMG|3CDMG	128CDMG|3aRCR|48DMG|5TLV|6DUR|78BEXP|8BPWR|9CANTOX
24	21323 64362	   	280.59	ACR|2TLV|2VULN|1AEFBLL|2CDMG|1AART	12CDMG|3RCR|48VULN|5DUST|6AART|79TLV|aAEFBLL
25	24131 13534	   	279.45	DCR|3VULN|1TLV|2DMG|1CDMG	1CDMG|2RMIN|3CGEN|46DMG|578VULN|9RCR|aTLV
26	25331 13534	   	279.45	DCR|3VULN|1TLV|2DMG|1CDMG	1CDMG|23LWND|46DMG|578VULN|9RCR|aTLV
27	52614 22331	 * 	279.35	DCR|2VULN|1TLV|2ASPD|1AEFBLL|1DMG	17VULN|2TLV|3DMG|4aASPD|5AEFBLL|6DUR|8MLV|9RCR
28	21323 64333	 * 	279.08	ACR|3VULN|1TLV|1DMG|2CDMG|1AART	12CDMG|3RCR|48aVULN|5DUST|6AART|7TLV|9DMG
29	21323 64343	 * 	279.08	ACR|3VULN|1TLV|1AEFBLL|2CDMG|1AART	12CDMG|3RCR|48aVULN|5DUST|6AART|7TLV|9AEFBLL
30	52611 16131	 * 	277.67	DCR|2VULN|1TLV|3ASPD|1DMG	17VULN|2TLV|3DMG|45aASPD|6ZMB|8DUR|9RCR
31	55112 61132	   	277.66	DCR|3VULN|2TLV|1CDMG	146VULN|2RPLT|38TLV|5DUR|7CDMG|9RCR|aLIT
32	55121 61132	   	277.66	DCR|3VULN|2TLV|1CDMG	156VULN|2RPLT|38TLV|4DUR|7CDMG|9RCR|aLIT
33	21362 23511	 * 	277.31	ACR|3TLV|1VULN|2DMG|3CDMG	127CDMG|3RCR|47DMG|578TLV|6AAC|7BPWR|9VULN|aDMSP
34	21362 23515	   	277.31	ACR|3TLV|1VULN|2DMG|3CDMG	127CDMG|3RCR|47DMG|578TLV|6AAC|7BPWR|9VULN|aRPLT
35	21362 23512	   	277.21	ACR|3TLV|1VULN|2DMG|3CDMG|1MSE	127CDMG|3RCR|47DMG|578TLV|6AAC|7BPWR|9VULN|aMSE
