0	Index      	 *	Score 	Summary	Detail	
1	14231 66321	 * 	316.31	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1AART	18RCR|2DMG|3RPLT|4AART|5DUST|6VULN|79TLV|aASPD
2	14233 26331	   	310.27	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6LHND|7TLV|9VULN|aASPD
3	14233 26352	   	310.27	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1CDMG|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6LHND|7TLV|9CDMG|aVULN
4	14233 66331	   	310.17	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6AETHUN|7TLV|9VULN|aASPD
5	14231 66322	   	309.60	ACR|DCR|2TLV|1VULN|1DMG|1AART	18RCR|2DMG|3RPLT|4AART|5DUST|6VULN|79TLV|aRAT
6	14233 14324	   	306.28	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6DUR|7CGEN|9TLV|aVULN
7	14233 26332	   	303.56	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6LHND|7TLV|9VULN|aRAT
8	14233 66332	   	303.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6AETHUN|7TLV|9VULN|aRAT
9	14233 26342	 * 	302.86	ACR|DCR|2TLV|2DMG|1AEPOI|1AART	18RCR|29DMG|3RPLT|4AART|5AEPOI|69LHND|79TLV|9BPWR|aAME
10	14233 26343	   	302.86	ACR|DCR|2TLV|2DMG|1AEPOI|1AART	18RCR|29DMG|3RPLT|4AART|5AEPOI|69LHND|79TLV|9BPWR|aLIT
11	14233 26341	   	302.76	ACR|DCR|2TLV|2DMG|1AEPOI|1AART	18RCR|29DMG|3RPLT|4AART|5AEPOI|69LHND|79TLV|9BPWR|aMBVNT
12	14231 66323	   	302.66	ACR|DCR|2TLV|1VULN|1DMG|1AART	18RCR|2DMG|3RPLT|4AART|5DUST|6VULN|79TLV|aAAC
13	14251 34232	 * 	300.72	ACR|DCR|2VULN|2DMG|2ASPD|1AEFBLL|1SELL	1aRCR|29DMG|3RPLT|49VULN|5AEFBLL|6AME|7SELL|89ASPD|9BPWR
14	14131 81712	 * 	296.82	ACR|DCR|1TLV|1VULN|2DMG	17RCR|2aDMG|3ERES|4ZMB|5MBVNT|6FRZARM|8VULN|9TLV
15	14233 26333	   	296.62	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6LHND|7TLV|9VULN|aAAC
16	14233 26334	   	296.62	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6LHND|7TLV|9VULN|aMLV
17	14233 26336	   	296.52	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6LHND|7TLV|9VULN|aDUST
18	14233 66333	   	296.52	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	18RCR|2DMG|3RPLT|4AART|5AEPOI|6AETHUN|7TLV|9VULN|aAAC
19	14231 54323	   	296.52	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1AART	18RCR|2DMG|3RPLT|4AART|5DUST|6CGEN|7VULN|9TLV|aAEBURN
20	14231 66333	   	296.52	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1AART	18RCR|2DMG|3RPLT|4AART|5DUST|6VULN|7TLV|9CGEN|aAEBURN
21	14231 66312	   	296.42	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1AART	18RCR|2DMG|3RPLT|4AART|5DUST|6VULN|7TLV|9MULARM|aAEBURN
22	14125 52312	   	292.60	ACR|DCR|1TLV|1VULN|2DMG	16RCR|2aDMG|3ERES|4BASHEA|5MLV|7VULN|8DUR|9TLV
23	14126 52322	   	292.60	ACR|DCR|1TLV|1VULN|2DMG	16RCR|2aDMG|3ERES|4BASHEA|5CGEN|7VULN|8DUR|9TLV
24	14232 26331	   	290.21	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1AART	18RCR|2DMG|3RPLT|4AART|5DMSP|6LHND|7TLV|9VULN|aASPD
25	14232 26352	   	290.21	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	18RCR|2DMG|3RPLT|4AART|5DMSP|6LHND|7TLV|9CDMG|aVULN
26	14234 26331	   	290.21	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1AART	18RCR|2DMG|35RPLT|4AART|6LHND|7TLV|9VULN|aASPD
27	14231 16352	   	290.11	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	18RCR|2DMG|3RPLT|4AART|5DUST|6RCVC|7TLV|9CDMG|aVULN
28	14232 66331	   	290.11	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1AART	18RCR|2DMG|3RPLT|4AART|5DMSP|6AETHUN|7TLV|9VULN|aASPD
29	13611 22553	 * 	289.12	ACR|2TLV|2VULN|1AEPOI|2DUR|1CDMG	1RCR|2AEFRZ|3aDUR|4RMIN|5CDMG|6AEPOI|7aTLV|8ZMB|9aVULN|aBPWR
30	16121 42361	 * 	286.91	ACR|3TLV|3VULN|2DUR	1RCR|29DUR|3LWND|469VULN|5FEWX|7AME|89aTLV|9BPWR
