0	Index      	 *	Score 	Summary	Detail	
1	33322 51535	 * 	320.62	ACR|2TLV|2VULN|2DMG|2ASPD|1AEBURN	17DMG|27VULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|89TLV|aAEBURN
2	33154 11335	 * 	313.85	DCR|4VULN|1TLV|2DMG|1AEPOI	15DMG|2367VULN|4AEPOI|8RAT|9TLV|aRCR
3	33342 12413	 * 	304.14	ACR|3VULN|2TLV|1AEFBLL|1DMG	1DMG|28aVULN|3RCR|4DUR|5AEFBLL|6RPLT|79TLV
4	33342 41413	   	304.14	ACR|3VULN|2TLV|1AEFBLL|1DMG	1DMG|28aVULN|3RCR|4DUR|5AEFBLL|69TLV|7RPLT
5	32211 52543	 * 	301.40	ACR|DCR|2TLV|2DMG|2DUR|1AART	1aDMG|25LIT|35TLV|49RCR|5BPWR|68DUR|7AART
6	32223 32543	 * 	301.40	DCR|DCR|2TLV|2DMG|2DUR|1AART	1aDMG|24LIT|34TLV|4BPWR|58DUR|69RCR|7AART
7	32243 21814	 * 	301.13	DCR|2TLV|2VULN|2DMG|1AEPOI|1ASPD	1aDMG|2LIT|3aTLV|4MBVNT|5AAC|6ASPD|7RCR|8AEPOI|9aVULN|aBPWR
8	23462 22153	 * 	301.08	DCR|DCR|1TLV|1VULN|2DMG|1AART	1ZMB|2VULN|3BEXP|4AART|5aDMG|68RCR|7LWND|9TLV
9	23462 23153	   	301.08	DCR|DCR|1TLV|1VULN|2DMG|1AART	1ZMB|2VULN|3BEXP|4AART|5aDMG|68RCR|7LHND|9TLV
10	33322 51532	   	300.55	ACR|2TLV|2VULN|2DMG|2ASPD	17DMG|27VULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|89TLV|aBEXP
11	33322 51533	   	300.55	ACR|2TLV|2VULN|2DMG|2ASPD	17DMG|27VULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|89TLV|aAME
12	33322 51534	   	300.55	ACR|2TLV|2VULN|2DMG|2ASPD	17DMG|27VULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|89TLV|aRMIN
13	33322 51531	   	300.45	ACR|2TLV|2VULN|2DMG|2ASPD|1MSE	17DMG|27VULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|89TLV|aMSE
14	33322 51536	   	300.45	ACR|2TLV|2VULN|2DMG|2ASPD	17DMG|27VULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|89TLV|aBLASTR
15	33326 26263	 * 	299.14	ACR|3VULN|2TLV|2DMG	17DMG|27aVULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8LIT|9ZMB
16	33326 26433	   	299.14	ACR|3VULN|2TLV|2DMG	17DMG|27aVULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8MLV|9RAT
17	33325 26223	   	299.04	ACR|3VULN|2TLV|2DMG	17DMG|279VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LIT|aRAT
18	33325 26263	   	299.04	ACR|3VULN|2TLV|2DMG	17DMG|27aVULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LIT|9ZMB
19	33325 26433	   	299.04	ACR|3VULN|2TLV|2DMG	17DMG|27aVULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8MLV|9RAT
20	33322 51462	 * 	299.04	ACR|3VULN|1TLV|2DMG|2ASPD	17DMG|27aVULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|8LWND|9TLV
21	33322 51562	   	299.04	ACR|3VULN|1TLV|2DMG|2ASPD	17DMG|27aVULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|8TLV|9LHND
22	33322 51662	   	299.04	ACR|3VULN|1TLV|2DMG|2ASPD	17DMG|27aVULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|8LHND|9TLV
23	33322 51324	   	298.94	ACR|3VULN|1TLV|2DMG|2ASPD	17DMG|279VULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|8MULARM|aTLV
24	33322 51512	   	298.94	ACR|3VULN|1TLV|2DMG|2ASPD	17DMG|27aVULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|8TLV|9MBVNT
25	32211 33543	 * 	298.35	ACR|DCR|2TLV|3DMG|1AART	17aDMG|25LIT|35TLV|49RCR|5BPWR|6LWND|8AART
26	33341 32413	   	297.73	ACR|3VULN|2TLV|1DMG|1CDMG	1DMG|28aVULN|3RCR|4DUR|5BEXP|6CDMG|79TLV
27	33346 32413	   	297.73	ACR|3VULN|2TLV|1DMG|1CDMG	1DMG|28aVULN|3RCR|4DUR|5LHND|6CDMG|79TLV
28	52223 32543	   	297.46	DCR|DCR|2TLV|1DMG|2DUR|1ASPD|1AART	1ASPD|24LIT|34TLV|4BPWR|58DUR|69RCR|7AART|aDMG
29	33326 26111	   	297.24	ACR|2TLV|2VULN|2DMG|1AEFBLL	17DMG|27VULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8LWND|9DUR|aAEFBLL
30	33326 26115	   	297.24	ACR|2TLV|2VULN|2DMG|1AEPOI	17DMG|27VULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8LWND|9DUR|aAEPOI
31	33326 26225	   	297.24	ACR|2TLV|2VULN|2DMG|1AEPOI	17DMG|27VULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8LIT|9DUR|aAEPOI
32	33325 26111	   	297.14	ACR|2TLV|2VULN|2DMG|1AEFBLL	17DMG|27VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LWND|9DUR|aAEFBLL
33	33325 26115	   	297.14	ACR|2TLV|2VULN|2DMG|1AEPOI	17DMG|27VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LWND|9DUR|aAEPOI
34	33325 26235	   	297.14	ACR|2TLV|2VULN|2DMG|1AEPOI	17DMG|27VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LIT|9DUR|aAEPOI
35	33326 26331	   	297.14	ACR|2TLV|2VULN|2DMG|1AEFBLL	17DMG|27VULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8DUST|9DUR|aAEFBLL
36	33326 26335	   	297.14	ACR|2TLV|2VULN|2DMG|1AEPOI	17DMG|27VULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8DUST|9DUR|aAEPOI
37	33325 26331	   	297.04	ACR|2TLV|2VULN|2DMG|1AEFBLL	17DMG|27VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8DUST|9DUR|aAEFBLL
38	33325 26335	   	297.04	ACR|2TLV|2VULN|2DMG|1AEPOI	17DMG|27VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8DUST|9DUR|aAEPOI
39	33342 12113	   	297.04	ACR|2TLV|2VULN|2DMG|1AEFBLL	18DMG|2aVULN|3RCR|4DUR|5AEFBLL|6RPLT|79TLV
