0	Index      	 *	Score 	Summary	Detail	
1	26155 22332	 * 	333.75	ACR|DCR|3VULN|1TLV|1DMG|1CDMG	1DMG|29RCR|356VULN|4BELT|7TLV|8VENTOX|aCDMG
2	26155 22331	   	320.10	ACR|DCR|3VULN|1TLV|1DMG	1DMG|29RCR|356VULN|4BELT|7TLV|8VENTOX|aBEXP
3	26155 22333	   	320.10	ACR|DCR|3VULN|1TLV|1DMG	1DMG|29RCR|356VULN|4BELT|7TLV|8VENTOX|aMLV
4	22771 14433	 * 	315.62	ACR|3TLV|2VULN|3DMG|2DUR	17aDMG|2MBVNT|3RCVC|47aTLV|5RCR|67DUR|7aBPWR|8LIT|9aVULN
5	26134 41331	 * 	305.85	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|2RCR|349VULN|5AAC|6ASPD|7LIT|89TLV|9BPWR|aTSLHEL
6	26134 41332	   	305.85	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|2RCR|349VULN|5AAC|6ASPD|7LIT|89TLV|9BPWR|aLHND
7	26134 41333	   	305.75	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|2RCR|349VULN|5AAC|6ASPD|7LIT|89TLV|9BPWR|aBASARM
8	62114 11122	   	305.07	ACR|DCR|2VULN|1TLV|1AEFBLL	1aVULN|2CGEN|3DMSP|4AEFBLL|58RCR|6DUR|7LIT|9TLV
9	62114 36122	   	305.07	ACR|DCR|2VULN|1TLV|1AEFBLL	1aVULN|2CGEN|3DMSP|4AEFBLL|58RCR|6LIT|7DUR|9TLV
10	62214 11122	   	305.07	ACR|DCR|2VULN|1TLV|1AEFBLL	1aVULN|23CGEN|4AEFBLL|58RCR|6DUR|7LIT|9TLV
11	62214 36122	   	305.07	ACR|DCR|2VULN|1TLV|1AEFBLL	1aVULN|23CGEN|4AEFBLL|58RCR|6LIT|7DUR|9TLV
12	64114 11111	   	305.07	ACR|DCR|2VULN|1TLV|1AEFBLL	1aVULN|2TLV|3DMSP|4AEFBLL|58RCR|6DUR|7LIT|9BEXP
13	31313 26335	 * 	304.97	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2SNIFST|3DMG|4MLV|5BEXP|6aRCR|7TLV|89VULN
14	33313 26335	   	304.97	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2BASARM|3DMG|4MLV|5BEXP|6aRCR|7TLV|89VULN
15	34633 31122	   	304.97	ACR|DCR|2VULN|1TLV|1AEBURN	1DUR|2AEBURN|38RCR|4RCVC|5aVULN|6ERES|7LIT|9TLV
16	64114 11131	   	304.97	ACR|DCR|2VULN|1TLV|1AEFBLL	1aVULN|2TLV|3DMSP|4AEFBLL|58RCR|6DUR|7LIT|9DUST
17	22771 14843	 * 	304.05	ACR|DCR|3TLV|2DMG|2DUR	17DMG|2MBVNT|3aRCVC|478TLV|59RCR|67DUR|7BPWR
18	22771 14844	   	304.05	ACR|DCR|3TLV|2DMG|2DUR	17DMG|2MBVNT|3RCVC|478TLV|59RCR|67DUR|7BPWR|aLIT
19	22771 14841	   	303.95	ACR|DCR|3TLV|2DMG|2DUR|1SELL	17DMG|2MBVNT|3RCVC|478TLV|59RCR|67DUR|7BPWR|aSELL
20	22771 14842	   	303.95	ACR|DCR|3TLV|2DMG|2DUR	17DMG|2MBVNT|3RCVC|478TLV|59RCR|67DUR|7BPWR|aMSLFST
