0	Index      	 *	Score 	Summary	Detail	
1	23323 65333	 * 	294.89	橙橙2易伤2攻速1伤害	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a伤害
2	23323 65332	   	283.14	橙橙2易伤2攻速	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a时间
3	23363 65333	   	282.34	橙橙2易伤1伤害1攻速	1低血量敌人2攻速34易伤5金币生成69核78敌人爆炸a伤害
4	12121 32341	 * 	280.40	橙橙3易伤	1赏金塔2时间356易伤46最后敌人6序列升级7技能8基础对甲9a核
5	12132 32341	   	280.40	橙橙3易伤	1赏金塔2时间346易伤56基地爆炸6序列升级7技能8基础对甲9a核
6	12651 32341	   	280.40	橙橙3易伤	1赏金塔2时间36最后敌人456易伤6序列升级7技能8基础对甲9a核
7	12121 12341	   	280.30	橙橙3易伤	1赏金塔2时间356易伤4最后敌人7技能8基础对甲9a核
8	12132 12341	   	280.30	橙橙3易伤	1赏金塔2时间346易伤5基地爆炸7技能8基础对甲9a核
9	12133 13341	   	280.30	橙橙3易伤	1赏金塔2时间345易伤6技能7基地爆炸8基础对甲9a核
10	12651 12341	   	280.30	橙橙3易伤	1赏金塔2时间3最后敌人456易伤7技能8基础对甲9a核
11	12133 15341	   	280.20	橙橙3易伤	1赏金塔2时间345易伤6技能7挖青8基础对甲9a核
12	12133 42341	   	280.20	橙橙3易伤	1赏金塔2时间345易伤6挖尘7技能8基础对甲9a核
13	12161 12341	   	280.20	橙橙3易伤	1赏金塔2时间356易伤4挖尘7技能8基础对甲9a核
14	12161 32341	   	280.20	橙橙3易伤	1赏金塔2时间356易伤46挖尘6序列升级7技能8基础对甲9a核
15	12133 53341	   	280.05	橙橙3易伤1策反	1赏金塔2时间345易伤6策反7基地爆炸8基础对甲9a核
16	12133 55341	   	279.95	橙橙3易伤1策反	1赏金塔2时间345易伤6策反7挖青8基础对甲9a核
17	34333 12126	 * 	279.35	橙4易伤3伤害3策反	18a策反2赏金塔3时间48a伤害568a易伤7核8a序列升级9双倍矿
18	34333 12166	   	279.35	橙4易伤3伤害3策反	18a策反2赏金塔3时间48a伤害568a易伤7核8a序列升级9立即金币
19	12133 61165	 * 	279.25	橙5易伤2伤害3时间	1赏金塔269时间34579易伤89伤害9序列升级a核
20	14252 84142	   	275.62	橙橙2易伤1矿等1全技能	1赏金塔2加农对壮3矿等4加一5全技能67核8立即金币9a易伤
21	15152 84142	   	275.62	橙橙2易伤1矿等1全技能	1赏金塔2矿等3加农对甲4加一5全技能67核8立即金币9a易伤
22	23323 65331	   	274.83	橙橙2易伤2攻速	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a额外掉落
23	23323 65335	   	274.83	橙橙2易伤2攻速	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a立即金币
24	23323 65336	   	274.73	橙橙2易伤2攻速1卖塔	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a卖塔
25	34333 32146	   	274.63	橙3易伤2伤害1矿等1攻速3策反	168策反2赏金塔3时间48伤害568易伤68序列升级7核9攻速a矿等
26	15313 12341	   	274.47	橙橙2易伤1矿等	1赏金塔2矿等3时间4金币生成56易伤7技能8寒冰对冰9a核
27	15323 16341	   	274.22	橙橙2易伤1矿等1策反	1赏金塔2矿等3时间4策反56易伤7金币生成8寒冰对冰9a核
28	15323 11341	   	274.02	橙橙2易伤1矿等1策反	1赏金塔2矿等3时间4策反56易伤7掉矿8狙击对毒9a核
29	34633 12126	   	270.94	橙4易伤3伤害3策反	18a策反2赏金塔3挖尘48a伤害568a易伤7核8a序列升级9双倍矿
30	23363 65332	   	270.58	橙橙2易伤1攻速	1低血量敌人2攻速34易伤5金币生成69核78敌人爆炸a时间
31	14252 84141	   	267.61	橙橙1易伤1伤害1矿等1全技能	1赏金塔2加农对壮3矿等4加一5全技能67核8立即金币9易伤a伤害
32	15152 84141	   	267.61	橙橙1易伤1伤害1矿等1全技能	1赏金塔2矿等3加农对甲4加一5全技能67核8立即金币9易伤a伤害
33	15623 11341	   	265.61	橙橙2易伤1矿等1策反	1赏金塔2矿等3挖尘4策反56易伤7掉矿8狙击对毒9a核
