0	Index      	 *	Score 	Summary	Detail	
1	32663 51221	 * 	290.45	橙橙2易伤1伤害1攻速	1寒冰对冰2a易伤3攻速4双倍秒伤5时间6加一79核8伤害
2	41142 13613	 * 	289.11	紫橙3易伤2攻速1伤害1卖塔	19核2赏金塔357易伤4卖塔6伤害8a攻速
3	42362 13313	 * 	286.65	紫橙4易伤1攻速1平台	19核2348易伤5赏金塔6平台7立即金币a攻速
4	42362 13314	   	281.30	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a时间
5	42362 12253	 * 	280.97	紫橙3易伤1伤害1平台1卖塔	19核234易伤5赏金塔6平台7卖塔8时间a伤害
6	41142 13611	 * 	276.65	紫橙3易伤1伤害1攻速1卖塔	19核2赏金塔357易伤4卖塔6伤害8攻速a雷电
7	41142 13612	 * 	276.65	紫橙3易伤1伤害1攻速1卖塔	19核2赏金塔357易伤4卖塔6伤害8攻速a最后敌人
8	36223 51621	   	276.55	橙橙2易伤1伤害1策反	1寒冰对冰2伤害3双倍秒伤4a易伤5时间6加一79核8策反
9	36223 43143	 * 	276.07	橙橙2伤害1易伤1平台	1寒冰对冰2a伤害3双倍秒伤4易伤5时间69核7喷火对愈8平台
10	46133 22521	 * 	275.29	紫橙2易伤1伤害1攻速1暴击	18核2散射对甲3暴击4伤害5技能69易伤7时间a攻速
11	42362 13311	   	273.00	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a雷电
12	42362 13312	   	273.00	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a最后敌人
13	42362 13315	   	273.00	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a敌人爆炸
14	42362 13316	   	272.90	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a双倍秒伤
15	42362 12353	 * 	272.57	紫橙3易伤1伤害1平台1卖塔	19核234易伤5赏金塔6平台7卖塔8挖青a伤害
16	42316 26122	 * 	272.09	紫橙2易伤2矿等1全技能1平台	19核23易伤4额外掉落5平台6加农对毒78矿等a全技能
17	42363 12413	   	270.24	紫橙3易伤1攻速1暴击1策反	19核234易伤5策反6赏金邻近7技能8暴击a攻速
18	32243 62153	 * 	268.59	橙橙2易伤3时间	1寒冰对冰25易伤3赏金邻近457时间5序列升级6a核8等级9低血量敌人
19	32343 62153	   	268.59	橙橙2易伤3时间	1寒冰对冰25易伤3赏金塔457时间5序列升级6a核8等级9低血量敌人
20	32243 62253	   	268.49	橙橙2易伤3时间	1寒冰对冰25易伤3赏金邻近457时间5序列升级6a核8挖青9随机矿
21	32243 62353	   	268.49	橙橙2易伤3时间	1寒冰对冰25易伤3赏金邻近457时间5序列升级6a核8掉矿9低血量敌人
22	32243 62363	   	268.49	橙橙2易伤3时间	1寒冰对冰25易伤3赏金邻近457时间5序列升级6a核8掉矿9激光对冰
23	32343 62253	   	268.49	橙橙2易伤3时间	1寒冰对冰25易伤3赏金塔457时间5序列升级6a核8挖青9随机矿
24	32343 62353	   	268.49	橙橙2易伤3时间	1寒冰对冰25易伤3赏金塔457时间5序列升级6a核8掉矿9低血量敌人
25	32343 62363	   	268.49	橙橙2易伤3时间	1寒冰对冰25易伤3赏金塔457时间5序列升级6a核8掉矿9激光对冰
26	42322 62212	   	267.90	紫橙3易伤2时间1平台	19核23a易伤4最后敌人58a基地爆炸6a时间7平台a序列升级
27	42321 61613	   	266.88	紫橙2易伤1伤害1矿等1平台	19核23易伤4最后敌人5等级6平台7挖尘8矿等a伤害
28	23235 32552	   	263.68	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6伤害7敌人爆炸89核a易伤
