0	Index      	 *	Score 	Summary	Detail	
1	32146 64341	 * 	294.05	橙橙3易伤1攻速	148敌人爆炸248易伤3加一48序列升级5时间6攻速78挖尘9a核
2	61262 34233	   	294.05	橙橙3易伤1暴击	1暴击2技能357易伤4随机矿6时间8a核9敌人爆炸
3	61252 34233	   	293.95	橙橙3易伤1暴击	1暴击2技能357易伤4技能点6时间8a核9敌人爆炸
4	61262 34213	   	293.95	橙橙3易伤1暴击	1暴击2技能357易伤4随机矿6时间8a核9挖尘
5	61252 34213	   	293.85	橙橙3易伤1暴击	1暴击2技能357易伤4技能点6时间8a核9挖尘
6	63323 54233	 * 	288.18	橙橙2易伤2攻速1暴击	1暴击2掉矿35攻速4挖尘67易伤8a核9低血量敌人
7	61252 52233	   	285.64	橙橙3易伤1暴击	1暴击2技能356易伤4技能点7低血量敌人8a核9敌人爆炸
8	61252 52213	   	285.54	橙橙3易伤1暴击	1暴击2技能356易伤4技能点7低血量敌人8a核9挖尘
9	32332 42253	 * 	282.24	橙橙2易伤1伤害1暴击	1敌人爆炸28易伤3伤害4挖尘5立即金币6a核7暴击9等级
10	32333 42253	   	282.14	橙橙2易伤1伤害1暴击	1敌人爆炸28易伤3伤害4挖尘5激光减费6a核7暴击9等级
11	61222 88231	   	279.61	橙橙2易伤1矿等1暴击	1暴击2技能3a易伤4加一5矿等68核7防空对甲9随机矿
12	61261 34233	   	277.13	橙橙2易伤2时间1暴击	1暴击2技能37易伤4随机矿56时间8a核9敌人爆炸
13	61251 34233	   	277.03	橙橙2易伤2时间1暴击	1暴击2技能37易伤4技能点56时间8a核9敌人爆炸
14	61261 34213	   	277.03	橙橙2易伤2时间1暴击	1暴击2技能37易伤4随机矿56时间8a核9挖尘
15	61251 34213	   	276.93	橙橙2易伤2时间1暴击	1暴击2技能37易伤4技能点56时间8a核9挖尘
16	32133 21341	   	274.73	橙橙2易伤2攻速	178敌人爆炸28易伤3加一4立即金币58攻速6双倍秒伤8序列升级9a核
17	35334 42472	 * 	268.39	紫橙2易伤1伤害2时间1攻速	1a敌人爆炸29核3a易伤4伤害5加一6额外掉落7攻速8a时间a序列升级
18	32311 14253	   	268.35	橙橙2易伤1伤害1卖塔	16敌人爆炸27易伤3伤害4卖塔5技能点8a核9低血量敌人
19	32311 14213	   	268.25	橙橙2易伤1伤害1卖塔	16敌人爆炸27易伤3伤害4卖塔5技能点8a核9挖尘
20	34314 11362	 * 	266.99	紫橙2易伤2伤害1平台1卖塔	1a敌人爆炸2低血量敌人3a伤害4卖塔59核6平台7额外掉落8a易伤a序列升级
21	61231 32563	   	266.49	橙橙1易伤1矿等2时间1暴击	1暴击2技能3易伤4低血量敌人5技能点69时间7矿等8a核
22	61132 32563	   	266.39	橙橙1易伤1矿等2时间1暴击	1暴击2技能3技能点4挖青5易伤69时间7矿等8a核
