0	Index      	 *	Score 	Summary	Detail	
1	22368 46124	 * 	269.30	紫3易伤3伤害3矿等1暴击	1赏金塔29a矿等3加一4赏金邻近5核6暴击79a易伤89a伤害9a序列升级
2	21421 21461	 * 	267.71	橙橙1易伤1伤害1矿等1平台	1赏金塔2赏金邻近3矿等4毒液对冰5伤害6平台7敌人爆炸8易伤9a核
3	21421 23461	   	267.71	橙橙1易伤1伤害1矿等1平台	1赏金塔2赏金邻近3矿等4毒液对冰5伤害6平台7低血量敌人8易伤9a核
4	21521 13461	   	258.38	橙橙1易伤1伤害1平台	1赏金塔2赏金邻近3技能点4毒液对冰5伤害6时间7平台8易伤9a核
5	22375 31337	   	257.95	橙橙1易伤1伤害1矿等	1赏金塔2矿等3加一4随机矿5伤害6喷火对愈79核8基础对冰a易伤
6	22327 23782	 * 	254.53	橙3易伤2伤害2矿等	1赏金塔29矿等3加一4立即金币5加农对毒69a易伤7核89伤害9序列升级
7	22231 51414	   	251.04	橙橙1易伤1矿等1攻速1卖塔1策反	1赏金塔2矿等3攻速4挖尘5卖塔6策反7多重对甲8a核9易伤
8	22231 52314	   	251.04	橙橙1易伤1矿等1攻速1卖塔1策反	1赏金塔2矿等3攻速4挖尘5卖塔6策反7a核8激光对绿9易伤
9	33253 61261	   	250.17	橙橙1易伤1伤害1平台	1金币生成2最后敌人3赏金邻近4赏金塔5易伤6伤害7狙击对黄8平台9a核
10	21521 21461	   	250.07	橙橙1易伤1伤害1平台	1赏金塔2赏金邻近3技能点4毒液对冰5伤害6平台7敌人爆炸8易伤9a核
11	21521 23461	   	250.07	橙橙1易伤1伤害1平台	1赏金塔2赏金邻近3技能点4毒液对冰5伤害6平台7低血量敌人8易伤9a核
12	21521 33461	   	250.07	橙橙1易伤1伤害1平台	1赏金塔2赏金邻近3技能点4毒液对冰5伤害6敌人爆炸7平台8易伤9a核
13	34352 13222	   	248.48	橙3易伤2伤害1矿等1全技能	1金币生成2加一35伤害458易伤5序列升级6全技能7矿等9技能点a核
14	34352 13232	   	248.48	橙3易伤2伤害1矿等1全技能	1金币生成2加一35伤害458易伤5序列升级6全技能7矿等9掉矿a核
15	22532 31514	   	245.25	橙3易伤2矿等1伤害	1赏金塔28矿等3时间49a易伤5最后敌人6核7伤害
16	12236 31514	   	245.15	橙3易伤2矿等1伤害	1挖青28矿等3赏金邻近49a易伤5时间6核7伤害
17	24224 32214	   	245.07	橙橙1易伤2时间1平台	1赏金塔2平台3等级4立即金币56时间7a核8激光对冰9易伤
18	22334 56315	 * 	243.28	橙4易伤1矿等1攻速	1赏金塔2矿等3加一469a易伤5时间7攻速8核
19	22338 26315	   	243.28	橙4易伤1矿等1攻速	1赏金塔2矿等3加一479a易伤5攻速6时间8核
20	22334 56318	   	243.19	橙3易伤1伤害1矿等1攻速	1赏金塔2矿等3加一469易伤5时间7攻速8核a伤害
21	22338 26318	   	243.19	橙3易伤1伤害1矿等1攻速	1赏金塔2矿等3加一479易伤5攻速6时间8核a伤害
22	34224 23425	   	242.31	橙橙1易伤1暴击	1金币生成2加一3赏金邻近4立即金币5散射对喷气6易伤7a核8暴击9时间
23	42333 22385	   	242.31	橙橙1易伤1暴击	1随机矿2暴击3双倍秒伤4加一5易伤6敌人爆炸7a核8时间9喷火对愈
24	34352 81211	 * 	241.44	橙4易伤2伤害	1金币生成2加一35伤害4578易伤5序列升级6掉矿9技能a核
25	22351 16247	   	240.73	橙2易伤2伤害2矿等1全技能	1赏金塔2a矿等3加一4双倍秒伤5a易伤6赏金邻近7核8全技能9a伤害a序列升级
26	22327 23781	   	240.73	橙2易伤2伤害2矿等1全技能	1赏金塔29矿等3加一4立即金币5加农对毒69易伤7核89伤害9序列升级a全技能
27	22373 13634	 * 	240.58	橙橙2伤害1矿等	1赏金塔2矿等3加一4随机矿5喷火对黄6赏金邻近79核8a伤害
28	22375 31332	   	240.58	橙橙2伤害1矿等	1赏金塔2矿等3加一4随机矿5a伤害6喷火对愈79核8基础对冰
29	22375 51332	   	240.58	橙橙2伤害1矿等	1赏金塔2矿等3加一4随机矿5a伤害6激光对冰79核8基础对冰
30	34312 41446	   	240.41	橙橙1易伤1伤害	1金币生成2加一3伤害4寒冰对甲5基础对冰6雷电78核9赏金邻近a易伤
31	34312 41454	   	240.41	橙橙1易伤1伤害	19金币生成2加一3伤害4寒冰对甲5基础对冰6雷电78核a易伤
32	34312 41484	   	240.41	橙橙1易伤1伤害	1金币生成2加一3伤害4寒冰对甲5基础对冰6雷电78核9随机矿a易伤
33	24316 33116	   	239.77	橙橙1易伤1全技能1平台	1赏金塔2平台3双倍秒伤4全技能5雷电6赏金邻近7基地爆炸8a核9易伤
34	24316 32116	   	239.77	橙橙1易伤1全技能1平台	1赏金塔2平台3双倍秒伤4全技能5雷电6赏金邻近7a核8最后敌人9易伤
