0	Index      	 *	Score 	Summary	Detail	
1	31135 32542	 * 	289.53	DCR|3VULN|3MLV|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|578MLV|67aVULN|7BPWR|9RCR
2	31135 32375	 * 	275.84	DCR|2VULN|2MLV|2DMG|1TLV	17DMG|2DMSP|3FRZFST|4MBVNT|57MLV|67VULN|7BPWR|8ERES|9RCR|aTLV
3	14512 13512	   	271.90	DCR|2VULN|2MLV|1TLV|1DMG|1CDMG	1FEWX|23VULN|4AEFRZ|56MLV|7DMG|8CDMG|9RCR|aTLV
4	15616 13322	 * 	269.22	DCR|DCR|1TLV|1MLV|1DMG	1FEWX|2BBNT|3RAT|4DMG|5TLV|6MLV|7LIT|89RCR|aTBNT
5	15616 13321	   	269.12	DCR|DCR|1TLV|1MLV|1DMG	1FEWX|2BBNT|3RAT|4DMG|5TLV|6MLV|7LIT|89RCR|aMDPS
6	15616 13323	   	269.12	DCR|DCR|1TLV|1MLV|1DMG|1MSE	1FEWX|2BBNT|3RAT|4DMG|5TLV|6MLV|7LIT|89RCR|aMSE
7	31212 33124	   	268.49	DCR|3MLV|2DMG|1VULN|2RAT|1CDMG	17DMG|2DMSP|3AETHUN|457MLV|67RAT|7BPWR|8CDMG|9VULN|aRCR
8	31135 32541	   	267.39	DCR|3MLV|2VULN|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|578MLV|67VULN|7BPWR|9RCR|aCGEN
9	31135 32543	   	267.39	DCR|3MLV|2VULN|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|578MLV|67VULN|7BPWR|9RCR|aLIT
10	31135 32544	   	267.39	DCR|3MLV|2VULN|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|578MLV|67VULN|7BPWR|9RCR|aAME
11	31135 32546	   	267.39	DCR|3MLV|2VULN|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|578MLV|67VULN|7BPWR|9RCR|aLWND
12	31135 32548	   	267.39	DCR|3MLV|2VULN|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|578MLV|67VULN|7BPWR|9RCR|aFEWX
13	31135 32545	   	267.29	DCR|3MLV|2VULN|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|578MLV|67VULN|7BPWR|9RCR|aMDPS
14	31135 32547	   	267.29	DCR|3MLV|2VULN|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|578MLV|67VULN|7BPWR|9RCR|aDLOT
15	61313 42512	 * 	266.03	DCR|2MLV|1VULN|2AAC|1TLV|1CDMG	1DUR|23AAC|46MLV|5VULN|7DMSP|8CDMG|9RCR|aTLV
16	31135 32374	   	265.88	DCR|3VULN|2MLV|2DMG	17DMG|2DMSP|3FRZFST|4MBVNT|57MLV|67aVULN|7BPWR|8ERES|9RCR
17	34221 46221	 * 	264.03	DCR|DCR|1VULN|1DMG|1AAC|2RAT	1DMG|24RAT|3DUST|5RCVC|6LIT|79RCR|8VULN|aAAC
18	31212 23512	   	263.28	DCR|2MLV|2DMG|1VULN|1TLV|1CDMG	16DMG|2DMSP|3AETHUN|45MLV|7VULN|8CDMG|9RCR|aTLV
19	32325 12166	 * 	262.75	DCR|2MLV|2TLV|2DMG|2ASPD	1aDMG|2RPLT|3aASPD|4BLASTR|5TBNT|67TLV|8aMLV|9RCR|aBPWR
20	14512 13513	   	261.95	DCR|3VULN|2MLV|1DMG|1CDMG	1FEWX|23aVULN|4AEFRZ|56MLV|7DMG|8CDMG|9RCR
21	35225 31521	 * 	260.88	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3AART|4LWND|5CGEN|6RCR|78VULN|8BPWR|9FEWX|aTLV
22	35225 21521	   	260.88	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3AART|4LWND|5CGEN|68VULN|7RCR|8BPWR|9FEWX|aTLV
23	35162 21521	   	260.78	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3LHND|4AART|5ERES|68VULN|7RCR|8BPWR|9FEWX|aTLV
24	35162 31521	   	260.78	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3LHND|4AART|5ERES|6RCR|78VULN|8BPWR|9FEWX|aTLV
25	35222 21515	   	260.78	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3AART|4LWND|5ERES|68VULN|7RCR|8BPWR|9LIT|aTLV
26	35222 21521	   	260.78	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3AART|4LWND|5ERES|68VULN|7RCR|8BPWR|9FEWX|aTLV
27	35222 31515	   	260.78	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3AART|4LWND|5ERES|6RCR|78VULN|8BPWR|9LIT|aTLV
28	35222 31521	   	260.78	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3AART|4LWND|5ERES|6RCR|78VULN|8BPWR|9FEWX|aTLV
29	35262 21521	   	260.78	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3AART|4CGEN|5DUST|68VULN|7RCR|8BPWR|9FEWX|aTLV
30	35262 31521	   	260.78	DCR|2VULN|2DMG|1TLV|2ASPD	18DMG|28ASPD|3AART|4CGEN|5DUST|6RCR|78VULN|8BPWR|9FEWX|aTLV
31	61313 42513	 * 	260.14	DCR|2VULN|2MLV|2AAC|1CDMG	1DUR|23AAC|46MLV|5aVULN|7DMSP|8CDMG|9RCR
