0	Index      	 *	Score 	Summary	Detail	
1	25232 32653	 * 	303.73	DCR|DCR|1TLV|1MLV|1DMG|1AAC|1ASPD	1DMG|2BBNT|3ASPD|4DUR|5TLV|69RCR|7LIT|8AAC|aMLV
2	13453 22353	 * 	301.72	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|3RMIN|45VULN|6aRCR|7TBNT|8CDMG|9ASPD
3	13533 22353	   	301.72	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|35VULN|4RMIN|6aRCR|7TBNT|8CDMG|9ASPD
4	13553 22353	   	301.72	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|35VULN|4AME|6aRCR|7TBNT|8CDMG|9ASPD
5	12563 22353	 * 	298.22	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1AEBURN|2AME|35VULN|4MLV|6aRCR|7TBNT|8CDMG|9ASPD
6	41611 62213	 * 	287.64	DCR|3VULN|2MLV|2ASPD|1DMG	1MDPS|289VULN|3DUR|48MLV|5DMG|6FEWX|78ASPD|8BPWR|aRCR
7	25232 32651	   	283.45	DCR|DCR|1TLV|1DMG|1AAC|1ASPD	1DMG|2BBNT|3ASPD|4DUR|5TLV|69RCR|7LIT|8AAC|aAART
8	25213 54113	 * 	282.91	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1DMG|2BBNT|3ASPD|47MLV|56VULN|8TLV|9DUR|aRCR
9	26133 53613	 * 	281.72	DCR|DCR|2DMG|1VULN|1AAC|1CDMG	15DMG|2BELT|3MDPS|4VULN|6CDMG|7aRCR|8RCVC|9AAC
10	33465 23121	 * 	277.42	DCR|3VULN|2MLV|1TLV|1AAC	179CGEN|27MLV|3AEFBLL|4TLV|578VULN|6AAC|7BPWR|aRCR
11	12514 22353	   	275.52	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2AME|3VULN|4RCVC|5TLV|6aRCR|7TBNT|8CDMG|9ASPD
12	13514 22353	   	275.52	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|3VULN|4RCVC|5AME|6aRCR|7TBNT|8CDMG|9ASPD
13	12224 22353	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2AME|3AEPOI|4VULN|5TLV|6aRCR|7TBNT|8CDMG|9ASPD
14	12235 22353	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2AME|3AEPOI|4TLV|5VULN|6aRCR|7TBNT|8CDMG|9ASPD
15	13224 22353	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|3AEPOI|4VULN|5AME|6aRCR|7TBNT|8CDMG|9ASPD
16	13435 22353	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|3RMIN|4AEPOI|5VULN|6aRCR|7TBNT|8CDMG|9ASPD
17	13452 22353	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|3RMIN|4VULN|5AEPOI|6aRCR|7TBNT|8CDMG|9ASPD
18	13532 22353	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|3VULN|4RMIN|5AEPOI|6aRCR|7TBNT|8CDMG|9ASPD
19	13552 22353	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1AEBURN|2TLV|3VULN|4AME|5AEPOI|6aRCR|7TBNT|8CDMG|9ASPD
20	25232 32652	   	275.04	DCR|DCR|1TLV|1DMG|1AAC|1ASPD	1DMG|2BBNT|3ASPD|4DUR|5TLV|69RCR|7LIT|8AAC|aAEBURN
21	41163 23113	 * 	274.81	DCR|DCR|1VULN|2ASPD|1AAC|1CDMG	1MDPS|2VULN|3CDMG|4BELT|58ASPD|6AEBURN|7aRCR|9AAC
22	25213 51113	 * 	274.68	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	17DMG|2BBNT|3ASPD|4MLV|56VULN|8TLV|9DUR|aRCR
23	25213 54123	   	274.50	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1DMG|2BBNT|3ASPD|47MLV|56VULN|8TLV|9AETHUN|aRCR
24	25213 61113	 * 	274.29	DCR|2MLV|2DMG|1VULN|1TLV|1ASPD	17DMG|2BBNT|3ASPD|46MLV|5VULN|8TLV|9DUR|aRCR
