0	Index      	 *	Score 	Summary	Detail	
1	21224 62215	 * 	313.20	DCR|DCR|3MLV|1DMG|1AAC|2DUR	16DUR|2RAT|3DMG|468MLV|5AAC|6BPWR|7LIT|9aRCR
2	31224 62215	   	298.15	DCR|DCR|3MLV|1DMG|1AAC	16DUST|2RAT|3DMG|468MLV|5AAC|6BPWR|7LIT|9aRCR
3	21222 61315	 * 	294.79	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DUR|2RAT|3DMG|4MLV|5LIT|6AAC|7VULN|8LEGI|9aRCR
4	21222 61415	   	294.79	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DUR|2RAT|3DMG|4MLV|5LIT|6AAC|7VULN|8BEXP|9aRCR
5	21224 31315	   	294.79	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DUR|2RAT|3DMG|4MLV|5AAC|6LIT|7VULN|8LEGI|9aRCR
6	21224 31415	   	294.79	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DUR|2RAT|3DMG|4MLV|5AAC|6LIT|7VULN|8BEXP|9aRCR
7	24117 24542	 * 	287.80	ACR|DCR|3VULN|3DUR|2CDMG|1AAC	127DUR|38RCR|4MBVNT|57aVULN|67CDMG|7BPWR|9AAC
8	61224 31315	   	286.48	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1FEWX|2RAT|3DMG|4MLV|5AAC|6LIT|7VULN|8LEGI|9aRCR
9	31224 31315	   	286.38	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DUST|2RAT|3DMG|4MLV|5AAC|6LIT|7VULN|8LEGI|9aRCR
10	31224 31415	   	286.38	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DUST|2RAT|3DMG|4MLV|5AAC|6LIT|7VULN|8BEXP|9aRCR
11	24117 24544	   	284.41	ACR|DCR|2VULN|1DMG|3DUR|2CDMG|1AAC	127DUR|38RCR|4MBVNT|57VULN|67CDMG|7BPWR|9AAC|aDMG
