0	Index      	 *	Score 	Summary	Detail	
1	14321 45323	 * 	306.49	DCR|DCR|2VULN|1DMG|1AAC|1ASPD|1CDMG	1AAC|2AEFRZ|3MDPS|4ASPD|5DMG|69RCR|78VULN|aCDMG
2	22152 43426	 * 	305.97	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7aMLV|8BEXP
3	22152 43526	   	305.97	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7aMLV|8DUST
4	16121 46322	   	301.24	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	1AAC|2BEXP|38VULN|4ASPD|5DMG|69RCR|7DUR|aCGEN
5	16121 46321	   	301.14	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	1AAC|2aBEXP|38VULN|4ASPD|5DMG|69RCR|7DUR
6	16121 46323	   	301.14	DCR|DCR|2VULN|1DMG|1AAC|1ASPD|1MSE	1AAC|2BEXP|38VULN|4ASPD|5DMG|69RCR|7DUR|aMSE
7	14321 45322	   	301.14	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	1AAC|2AEFRZ|3MDPS|4ASPD|5DMG|69RCR|78VULN|aDUR
8	12432 26341	 * 	300.18	DCR|2VULN|2MLV|2AAC|1TLV|1ASPD|2RAT	1aAAC|28RAT|38MLV|4ASPD|5TLV|68VULN|7AETHUN|8BPWR|9RCR
9	22221 43365	 * 	299.62	DCR|DCR|2DMG|1VULN|1TLV|1ASPD	1TLV|2VULN|3ZMB|4FEWX|5aDMG|69RCR|7RPLT|8ASPD
10	22111 36331	 * 	297.90	DCR|3VULN|3TLV|2DMG|2ASPD	167TLV|237VULN|4RCVC|57ASPD|7BPWR|8aDMG|9RCR
11	22523 23636	 * 	297.18	DCR|2VULN|2MLV|2TLV|2CDMG|1ASPD	18TLV|29VULN|3AART|48MLV|58CDMG|6RCVC|7RCR|8BPWR|aASPD
12	22152 43428	   	296.42	ACR|DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8BEXP|aASPD
13	22152 43528	   	296.42	ACR|DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8DUST|aASPD
14	15211 22425	 * 	295.32	DCR|DCR|1TLV|1MLV|1DMG|1AAC|1ASPD	1AAC|2DMG|3TLV|4RCVC|5ASPD|69RCR|7MDPS|8AME|aMLV
15	22111 36332	   	293.96	DCR|3VULN|3TLV|2ASPD|1DMG|1CDMG	167TLV|237VULN|4RCVC|57ASPD|7BPWR|8DMG|9RCR|aCDMG
16	22152 43523	   	293.82	ACR|DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8DUST|aCDMG
17	16121 44322	   	292.84	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	1AAC|2BEXP|38VULN|4ASPD|5DMG|69RCR|7DUST|aCGEN
18	16121 44321	   	292.74	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	1AAC|2aBEXP|38VULN|4ASPD|5DMG|69RCR|7DUST
19	16121 44323	   	292.74	DCR|DCR|2VULN|1DMG|1AAC|1ASPD|1MSE	1AAC|2BEXP|38VULN|4ASPD|5DMG|69RCR|7DUST|aMSE
20	14321 45321	   	292.74	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	1AAC|2AEFRZ|3MDPS|4ASPD|5DMG|69RCR|78VULN|aBEXP
21	22154 23262	 * 	292.55	ACR|DCR|3VULN|1TLV|1MLV	1TLV|238VULN|49RCR|5RMIN|6LWND|7MLV|aRAT
22	22154 33262	   	292.55	ACR|DCR|3VULN|1TLV|1MLV	1TLV|238VULN|49RCR|5RMIN|6FEWX|7MLV|aRAT
23	22156 13213	 * 	291.57	ACR|ACR|5VULN|1TLV|1MLV	1TLV|23679VULN|45RCR|8RAT|aMLV
24	15423 12132	   	291.39	DCR|2VULN|2MLV|1TLV|1DMG|1AAC|1ASPD	1AAC|2DMG|3CANARM|47MLV|5ASPD|6RCR|89VULN|aTLV
25	22261 43362	   	290.34	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2VULN|3ZMB|4DUR|5DMG|69RCR|7RPLT|8ASPD|aLIT
26	22261 43361	   	290.24	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2VULN|3ZMB|4DUR|5DMG|69RCR|7RPLT|8ASPD|aAETHUN
27	22261 43363	   	290.24	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1MSE	1TLV|2VULN|3ZMB|4DUR|5DMG|69RCR|7RPLT|8ASPD|aMSE
28	22523 23633	   	289.24	DCR|2VULN|2MLV|2TLV|2CDMG	18TLV|29VULN|3AART|48MLV|58CDMG|6RCVC|7RCR|8BPWR|aDUR
29	22111 36335	   	288.62	DCR|3VULN|3TLV|2ASPD|1DMG	167TLV|237VULN|4RCVC|57ASPD|7BPWR|8DMG|9RCR|aAART
30	22152 43425	   	288.47	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8BEXP|aDUR
31	22152 43522	   	288.47	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8DUST|aDUR
32	11423 12133	   	286.43	DCR|2VULN|2MLV|2AAC|1TLV|1ASPD	1aAAC|2TLV|3FRZFST|47MLV|5ASPD|6RCR|89VULN
33	22154 23261	   	285.61	ACR|DCR|3VULN|1TLV|1MLV	1TLV|238VULN|49RCR|5RMIN|6LWND|7MLV|aLIT
34	22154 23263	   	285.61	ACR|DCR|3VULN|1TLV|1MLV	1TLV|238VULN|49RCR|5RMIN|6aLWND|7MLV
35	22154 33261	   	285.61	ACR|DCR|3VULN|1TLV|1MLV	1TLV|238VULN|49RCR|5RMIN|6FEWX|7MLV|aLIT
36	22154 33263	   	285.61	ACR|DCR|3VULN|1TLV|1MLV	1TLV|238VULN|49RCR|5RMIN|6FEWX|7MLV|aLWND
37	24322 53341	   	285.52	DCR|2VULN|2MLV|2TLV|1ASPD	1aTLV|2TBNT|3LIT|4aVULN|5ASPD|6AART|7RCR|8DUR|9aMLV|aBPWR
38	12432 26334	   	285.08	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD|2RAT	1AAC|28RAT|38MLV|4ASPD|5TLV|68VULN|7AETHUN|8BPWR|9RPLT|aRCR
39	12432 26343	   	285.08	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD|2RAT	1AAC|28RAT|38MLV|4ASPD|5TLV|68VULN|7AETHUN|8BPWR|9RCR|aRPLT
40	12432 26342	   	284.98	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD|2RAT|1MSE	1AAC|28RAT|38MLV|4ASPD|5TLV|68VULN|7AETHUN|8BPWR|9RCR|aMSE
41	11121 43365	   	284.32	DCR|DCR|2DMG|1TLV|1AAC|1ASPD	1AAC|2TLV|3DUST|4FEWX|5aDMG|69RCR|7RPLT|8ASPD
42	61226 62331	   	283.45	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1LSRICY|24MLV|3AAC|5TLV|68VULN|7DUR|9RCR|aDMG
43	22221 43362	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2VULN|3ZMB|4FEWX|5DMG|69RCR|7RPLT|8ASPD|aLIT
44	22221 43366	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2VULN|3ZMB|4FEWX|5DMG|69RCR|7RPLT|8ASPD|aLWND
45	22221 43361	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2VULN|3ZMB|4FEWX|5DMG|69RCR|7RPLT|8ASPD|aAETHUN
46	22221 43363	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1MSE	1TLV|2VULN|3ZMB|4FEWX|5DMG|69RCR|7RPLT|8ASPD|aMSE
47	22221 43364	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2VULN|3ZMB|4FEWX|5DMG|69RCR|7RPLT|8ASPD|aERES
48	22163 31461	 * 	281.44	DCR|3VULN|2MLV|2TLV	16TLV|237VULN|45MLV|8MDPS|9RCR|aRAT
49	24235 11224	 * 	281.12	DCR|2VULN|2TLV|2DMG|1MLV	1aTLV|2TBNT|3MLV|4aDMG|5AART|6AME|7DUR|8RCR|9aVULN|aBPWR
50	22523 23631	   	280.93	DCR|2VULN|2MLV|2TLV|2CDMG	18TLV|29VULN|3AART|48MLV|58CDMG|6RCVC|7RCR|8BPWR|aAME
51	22523 23634	   	280.93	DCR|2VULN|2MLV|2TLV|2CDMG	18TLV|29VULN|3AART|48MLV|58CDMG|6RCVC|7RCR|8BPWR|aTBNT
52	26121 46321	   	280.91	DCR|2VULN|2TLV|2ASPD|1DMG|1AAC|2DUR	1aTLV|2LWND|3aVULN|48ASPD|5DMG|6RCR|7aDUR|9AAC|aBPWR
53	22523 23632	   	280.83	DCR|2VULN|2MLV|2TLV|2CDMG|1MSE	18TLV|29VULN|3AART|48MLV|58CDMG|6RCVC|7RCR|8BPWR|aMSE
54	22523 23653	   	280.83	DCR|2VULN|2MLV|2TLV|2CDMG	18TLV|2aVULN|3AART|48MLV|58CDMG|6RCVC|7RCR|8BPWR|9DUST
55	22163 53336	   	280.49	DCR|3VULN|2MLV|1TLV|1DMG	1TLV|237VULN|45MLV|6DMG|8CGEN|9LWND|aRCR
56	22111 36631	 * 	280.42	DCR|3VULN|3TLV|3ASPD	167TLV|237VULN|4RCVC|578ASPD|7BPWR|9RCR|aRAT
