0	Index      	 *	Score 	Summary	Detail	
1	32632 11162	 * 	289.65	DCR|2MLV|2TLV|1VULN|2ASPD|1DMG|2RAT	15AEWIND|28ASPD|38MLV|45RAT|58BPWR|6VULN|78TLV|9RCR|aDMG
2	46121 12153	 * 	289.58	DCR|DCR|2VULN|1DMG|1AAC|1SELL	1SELL|2AAC|3LWND|4DUR|5LHND|68VULN|7DMG|9aRCR
3	14123 22653	 * 	287.06	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1SELL	1CGEN|2DMG|3LHND|4DUR|5VULN|6ASPD|7SELL|8MLV|9aRCR
4	11421 13153	 * 	284.96	DCR|DCR|2VULN|1TLV	1CGEN|2DMSP|3RPLT|4DUR|5LHND|68VULN|7TLV|9aRCR
5	11423 53153	   	284.96	DCR|DCR|2VULN|1TLV	1CGEN|2DMSP|3RPLT|4DUR|58VULN|6LHND|7TLV|9aRCR
6	11421 11653	 * 	279.07	DCR|DCR|2VULN|1MLV	1CGEN|2DMSP|3RPLT|4DUR|5LHND|67VULN|8MLV|9aRCR
7	36421 13153	   	278.97	DCR|DCR|2VULN|1MLV	1AEWIND|2AME|3RPLT|4DUR|5LHND|68VULN|7MLV|9aRCR
8	46333 21223	 * 	278.48	ACR|DCR|2MLV|1VULN|1TLV|1AAC|1SELL	1SELL|2AAC|3TLV|4RCVC|57RCR|6MDPS|8VULN|9aMLV
9	32632 11165	   	277.90	DCR|2MLV|2TLV|1VULN|2ASPD|2RAT	15AEWIND|28ASPD|38MLV|45RAT|58BPWR|6VULN|78TLV|9RCR|aDUR
10	21144 43112	 * 	276.75	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2VULN|3FEWX|4DUR|5RPLT|6LSRHEA|79RCR|8DMG|aTLV
11	23534 43112	   	276.65	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2BEXP|3DUR|4VULN|5RPLT|6LSRHEA|79RCR|8DMG|aTLV
12	56323 11253	 * 	275.99	DCR|DCR|2DMG|1VULN|1CDMG	1AETHUN|2ZMB|3DUR|46DMG|5VULN|7LWND|8CDMG|9aRCR
13	56323 12353	   	275.99	DCR|DCR|2DMG|1VULN|1CDMG	1AETHUN|2ZMB|3DUR|46DMG|5VULN|7CDMG|8LWND|9aRCR
14	32632 11133	 * 	275.90	DCR|2MLV|2TLV|1VULN|2ASPD|3RAT	15AEWIND|28ASPD|38MLV|459RAT|58BPWR|6VULN|78TLV|aRCR
15	32632 11163	   	275.90	DCR|2MLV|2TLV|1VULN|2ASPD|3RAT	15AEWIND|28ASPD|38MLV|45aRAT|58BPWR|6VULN|78TLV|9RCR
16	13123 15353	   	275.40	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1CGEN|2AME|3LHND|4DUR|5VULN|6DMG|7CDMG|8AAC|9aRCR
17	13425 11253	   	275.40	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1CGEN|2AME|3VULN|4DUR|5DMG|6AAC|7LWND|8CDMG|9aRCR
18	13425 12353	   	275.40	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1CGEN|2AME|3VULN|4DUR|5DMG|6AAC|7CDMG|8LWND|9aRCR
19	13523 15353	   	275.40	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1CGEN|2AME|3LWND|4DUR|5VULN|6DMG|7CDMG|8AAC|9aRCR
20	51323 15353	   	275.20	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1AETHUN|2LHND|3AEFRZ|4DUR|5VULN|6DMG|7CDMG|8AAC|9aRCR
21	13425 22353	   	274.76	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CGEN|2AME|3VULN|4DUR|5DMG|6ASPD|7CDMG|8LWND|9aRCR
22	31123 51263	   	272.97	DCR|DCR|2VULN|2DUR|1CDMG	17AEWIND|2MBVNT|3LHND|47DUR|57VULN|6DMSP|7BPWR|8CDMG|9aRCR
23	31123 81263	   	272.97	DCR|DCR|2VULN|2DUR|1CDMG	17AEWIND|2MBVNT|36LHND|47DUR|57VULN|7BPWR|8CDMG|9aRCR
24	31523 11263	   	272.97	DCR|DCR|2VULN|2DUR|1CDMG	17AEWIND|2MBVNT|35VULN|47DUR|67LHND|7BPWR|8CDMG|9aRCR
25	31523 71263	   	272.97	DCR|DCR|2VULN|2DUR|1CDMG	17AEWIND|2MBVNT|35VULN|47DUR|67LWND|7BPWR|8CDMG|9aRCR
26	21144 43312	   	272.93	DCR|DCR|1VULN|1TLV|1ASPD	1DUST|2VULN|3FEWX|4DUR|5RPLT|6LSRHEA|79RCR|8ASPD|aTLV
27	23534 43312	   	272.83	DCR|DCR|1VULN|1TLV|1ASPD	1DUST|2BEXP|3DUR|4VULN|5RPLT|6LSRHEA|79RCR|8ASPD|aTLV
28	13123 25353	   	271.58	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1CGEN|2AME|3LHND|4DUR|5VULN|6ASPD|7CDMG|8AAC|9aRCR
29	13523 25353	   	271.58	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1CGEN|2AME|3LWND|4DUR|5VULN|6ASPD|7CDMG|8AAC|9aRCR
30	32221 63353	   	271.48	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1AEWIND|2ASPD|3CDMG|4AAC|5LHND|6DUR|7VULN|8LWND|9aRCR
31	51323 25353	   	271.38	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1AETHUN|2LHND|3AEFRZ|4DUR|5VULN|6ASPD|7CDMG|8AAC|9aRCR
32	15123 13653	 * 	270.81	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1CGEN|2ZMB|3LHND|4DUR|5VULN|6DMG|7SELL|8MLV|9aRCR
33	46333 21233	 * 	270.54	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1SELL	1SELL|2AAC|3TLV|4RCVC|57RCR|6MDPS|8VULN|9ASPD|aMLV
34	32632 11145	   	269.59	DCR|2MLV|2TLV|1VULN|2ASPD|2RAT	15AEWIND|28ASPD|38MLV|45RAT|58BPWR|6VULN|78TLV|9LHND|aRCR
35	32632 11166	   	269.59	DCR|2MLV|2TLV|1VULN|2ASPD|2RAT	15AEWIND|28ASPD|38MLV|45RAT|58BPWR|6VULN|78TLV|9RCR|aCGEN
36	32632 11125	   	269.49	DCR|2MLV|2TLV|1VULN|2ASPD|2RAT	15AEWIND|28ASPD|38MLV|45RAT|58BPWR|6VULN|78TLV|9DUST|aRCR
37	32632 11161	   	269.49	DCR|2MLV|2TLV|1VULN|2ASPD|2RAT	15AEWIND|28ASPD|38MLV|45RAT|58BPWR|6VULN|78TLV|9RCR|aDUST
