0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61323 24423	9	 * 	301.32	DCR|5VULN|3DMG|2TLV	1389aVULN|238DMG|389BPWR|4DUST|59TLV|6RCR|789CGEN
2	61323 26612	10	   	298.92	DCR|4VULN|3DMG|2TLV|1DUR	1389VULN|237DMG|38BPWR|48DUST|58TLV|6RCR|aDUR
3	61335 52313	5	   	297.15	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1359VULN|23DMG|3BPWR|4LIT|6DUR|7TLV|8RCR|aCDMG
4	61323 24422	9	   	296.62	DCR|4VULN|3DMG|2TLV|1CDMG	1389VULN|238DMG|389BPWR|4DUST|59TLV|6RCR|789CGEN|aCDMG
5	61334 42321	4	 * 	294.28	DCR|4VULN|3DMG|2DUR|2LIT	1378VULN|235DMG|38BPWR|48LIT|68DUR|9BEXP|aRCR
6	61334 42311	4	   	294.18	DCR|4VULN|3DMG|2DUR|2LIT	1378VULN|235DMG|38BPWR|48LIT|68DUR|9DUST|aRCR
7	63323 26423	8	 * 	292.40	DCR|3VULN|2DMG|2DUR|1TLV|3ASPD	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|78DMG|9aDUR
8	61335 52311	5	   	291.58	DCR|4VULN|2DMG|2TLV|1DUR	1359VULN|23DMG|3BPWR|4LIT|6DUR|7aTLV|8RCR
9	61323 26611	10	   	290.98	DCR|4VULN|3DMG|2TLV	1389VULN|237DMG|38BPWR|48DUST|58TLV|6RCR|aLIT
10	61323 26623	10	   	290.98	DCR|4VULN|3DMG|2TLV	138aVULN|237DMG|38BPWR|48DUST|58TLV|6RCR|9LIT
11	61351 33321	3	 * 	290.60	DCR|4VULN|3DMG|3CDMG|1DUR|1SELL	1347VULN|236DMG|367BPWR|567CDMG|8SELL|9DUR|aRCR
12	61331 33653	3	   	289.46	DCR|3VULN|3DMG|2DUR|2AART|1CDMG	137VULN|237DMG|37BPWR|4LWND|5CDMG|67DUR|8aAART|9RCR
13	63323 26412	8	 * 	286.88	DCR|3VULN|3DMG|1TLV|3ASPD	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|789DMG|aAART
14	61351 31343	3	   	286.80	DCR|5VULN|3DMG|2CDMG	1347aVULN|236DMG|36BPWR|56CDMG|8BEXP|9RCR
15	61323 25433	8	 * 	284.48	DCR|3VULN|3DMG|2DUR|1TLV	138VULN|238DMG|38BPWR|4DUST|5TLV|6RCR|78ZMB|9aDUR
16	61323 26223	10	   	284.28	DCR|3VULN|3DMG|2DUR|1TLV	139VULN|237DMG|3BPWR|4DUST|5TLV|6RCR|8aDUR
17	61335 23311	7	   	283.50	DCR|4VULN|2DMG|1TLV|1DUR	1359VULN|23DMG|3BPWR|4LIT|6CGEN|7DUR|8RCR|aTLV
18	61335 32314	5	   	283.50	DCR|4VULN|2DMG|1TLV|1DUR	1359VULN|23DMG|3BPWR|4LIT|6LWND|7TLV|8RCR|aDUR
19	61331 23311	7	   	283.50	DCR|4VULN|2DMG|1TLV|1DUR	1369VULN|23DMG|3BPWR|4LIT|5CGEN|7DUR|8RCR|aTLV
20	61333 23311	7	   	283.50	DCR|4VULN|2DMG|1TLV|1DUR	1369VULN|23DMG|3BPWR|4LIT|5MLV|7DUR|8RCR|aTLV
21	61335 52312	5	   	283.50	DCR|4VULN|2DMG|1TLV|1DUR	1359VULN|23DMG|3BPWR|4LIT|6DUR|7TLV|8RCR|aCGEN
22	61335 12314	5	   	283.40	DCR|4VULN|2DMG|1TLV|1DUR	1359VULN|23DMG|3BPWR|4LIT|6DUST|7TLV|8RCR|aDUR
23	61323 26214	9	   	283.34	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	13aVULN|237DMG|3BPWR|4DUST|5TLV|6RCR|8DUR|9CDMG
24	61323 24421	9	   	282.97	DCR|4VULN|3DMG|2TLV	1389VULN|238DMG|389BPWR|4DUST|59TLV|6RCR|789CGEN|aLHND
25	61323 24422	10	   	282.97	DCR|4VULN|3DMG|2TLV	1389VULN|238DMG|389BPWR|4DUST|59TLV|6RCR|789CGEN|aFEWX
26	61323 24423	10	   	282.97	DCR|4VULN|3DMG|2TLV	1389VULN|238DMG|389BPWR|4DUST|59TLV|6RCR|789CGEN|aLWND
27	61323 24421	10	   	282.87	DCR|4VULN|3DMG|2TLV	1389VULN|238DMG|389BPWR|4DUST|59TLV|6RCR|789CGEN|aERES
28	61323 26612	9	   	282.67	DCR|4VULN|3DMG|2TLV	1389VULN|237DMG|38BPWR|48DUST|58TLV|6RCR|aLHND
29	61323 26613	10	   	282.67	DCR|4VULN|3DMG|2TLV	1389VULN|237DMG|38BPWR|48DUST|58TLV|6RCR|aZMB
30	61323 26613	9	   	282.67	DCR|4VULN|3DMG|2TLV	1389VULN|237DMG|38BPWR|48DUST|58TLV|6RCR|aFEWX
31	61121 33561	2	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	147VULN|27DMG|3LWND|5CDMG|67DUR|7BPWR|8TLV|9TBNT|aRCR
32	61331 33652	3	   	281.69	DCR|3VULN|3DMG|2DUR|1CDMG	137VULN|237DMG|37BPWR|4LWND|5CDMG|67DUR|8AART|9RCR|aCGEN
33	61331 33651	3	   	281.59	DCR|3VULN|3DMG|2DUR|1CDMG	137VULN|237DMG|37BPWR|4LWND|5CDMG|67DUR|8AART|9RCR|aBBNT
34	61335 32313	5	   	280.90	DCR|4VULN|2DMG|1TLV|1CDMG	1359VULN|23DMG|3BPWR|4LIT|6LWND|7TLV|8RCR|aCDMG
35	61335 62313	6	   	280.90	DCR|4VULN|2DMG|1TLV|1CDMG	1359VULN|23DMG|3BPWR|4LIT|6LHND|7TLV|8RCR|aCDMG
36	61335 62313	7	   	280.90	DCR|4VULN|2DMG|1TLV|1CDMG	1359VULN|23DMG|3BPWR|4LIT|6LHND|7TLV|8RCR|aCDMG
37	61335 12313	5	   	280.80	DCR|4VULN|2DMG|1TLV|1CDMG	1359VULN|23DMG|3BPWR|4LIT|6DUST|7TLV|8RCR|aCDMG
38	61332 55322	7	 * 	279.91	DCR|3VULN|3DMG|3DUR	138VULN|238DMG|38BPWR|4LIT|5FEWX|6RCR|78aDUR|9MLV
