0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24335 22611	7	 * 	281.77	DCR|3VULN|3ASPD|3TLV|2CDMG|1DUR|1AART	148TLV|2AART|389VULN|5DUR|69CDMG|789ASPD|89BPWR|aRCR
2	55311 23326	3	 * 	276.14	DCR|3VULN|3DUR|3ASPD|1TLV	167ASPD|2BEXP|357DUR|478VULN|7BPWR|9TLV|aRCR
3	51412 53111	5	 * 	275.87	DCR|3VULN|3DMG|2ASPD|1DUR	17ASPD|2ZMB|379DMG|4DUR|5BEXP|678VULN|7BPWR|aRCR
4	51413 53111	4	   	275.87	DCR|3VULN|3DMG|2ASPD|1DUR	17ASPD|2ZMB|379DMG|4DUR|5BEXP|678VULN|7BPWR|aRCR
5	51333 53421	2	   	275.77	DCR|3VULN|3DMG|2ASPD|1DUR	17ASPD|2ZMB|3LEGI|467VULN|578DMG|7BPWR|9DUR|aRCR
6	52316 53121	1	 * 	274.55	DCR|3VULN|2DMG|2DUR|2ASPD|1SELL	17ASPD|267VULN|3RPLT|47DMG|5SELL|7BPWR|8RCR|9aDUR
7	53311 53116	3	 * 	274.43	ACR|4VULN|3DUR|2ASPD|1DMG|1CDMG	17ASPD|2RCR|357DUR|467aVULN|7BPWR|8DMG|9CDMG
8	22531 25141	1	 * 	273.68	DCR|4VULN|2TLV|1DMG|1DUR|1AART	1aTLV|259aVULN|3DUR|4AART|6RCR|7DMG|8aLHND|aBPWR
9	22131 25236	1	 * 	273.59	DCR|3VULN|2DMG|2ASPD|2TLV|1AART	1aTLV|25aVULN|3LWND|4AART|6RCR|78DMG|9aASPD|aBPWR
10	24331 25236	3	   	273.59	DCR|3VULN|2DMG|2ASPD|2TLV|1AART	1aTLV|2AART|35aVULN|4LWND|6RCR|78DMG|9aASPD|aBPWR
11	23214 23164	2	   	272.52	DCR|3VULN|3DMG|1TLV|1AART	1TLV|2RPLT|35aVULN|458DMG|5BPWR|6AART|7LIT|9RCR
12	25433 52312	1	 * 	272.34	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1TLV|29ASPD|3DUST|46VULN|59DMG|7LIT|89DUR|9BPWR|aRCR
13	12214 36335	4	   	271.27	DCR|3VULN|3DUR|1TLV|2LIT|1ASPD	1RCVC|249DUR|3ASPD|59LIT|6RCR|789VULN|9BPWR|aTLV
14	12216 36335	5	   	271.27	DCR|3VULN|3DUR|1TLV|2LIT|1ASPD	1RCVC|249DUR|3ASPD|59LIT|6RCR|789VULN|9BPWR|aTLV
15	12251 36335	3	   	271.27	DCR|3VULN|3DUR|1TLV|2LIT|1ASPD	1RCVC|259DUR|3ASPD|49LIT|6RCR|789VULN|9BPWR|aTLV
16	22531 25211	1	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1aTLV|25aVULN|3DUR|4AART|6RCR|78DMG|9aBEXP|aBPWR
17	22531 25221	1	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1aTLV|25aVULN|3DUR|4AART|6RCR|78DMG|9aFEWX|aBPWR
18	22531 26221	1	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1aTLV|25aVULN|3DUR|4AART|6RCR|7ZMB|8aDMG|9RMIN|aBPWR
19	22531 22541	1	 * 	268.10	DCR|4VULN|2DUR|2TLV|1AART	1aTLV|259aVULN|3aDUR|4AART|6RCR|7LEGI|8RMIN|aBPWR
20	53311 53115	3	   	268.04	ACR|3VULN|3DUR|2ASPD|1DMG|1TLV|1CDMG	17ASPD|2RCR|357DUR|467VULN|7BPWR|8DMG|9CDMG|aTLV
21	22231 35231	1	 * 	267.93	DCR|3VULN|3DMG|2TLV|1AART	1aTLV|25aVULN|3FEWX|4AART|6DUST|78aDMG|9RCR|aBPWR
22	22431 55231	1	   	267.93	DCR|3VULN|3DMG|2TLV|1AART	1aTLV|25aVULN|3DUST|4AART|6FEWX|78aDMG|9RCR|aBPWR
23	24311 35231	4	   	267.93	DCR|3VULN|3DMG|2TLV|1AART	1aTLV|2AART|35aVULN|4FEWX|6DUST|78aDMG|9RCR|aBPWR
24	24311 55231	3	   	267.93	DCR|3VULN|3DMG|2TLV|1AART	1aTLV|2AART|35aVULN|4DUST|6FEWX|78aDMG|9RCR|aBPWR
25	54316 31132	1	   	267.27	DCR|3VULN|2DMG|2ASPD|1CDMG|1AART	19ASPD|2AART|3RCVC|469VULN|5BELT|7RCR|89DMG|9BPWR|aCDMG
26	54316 31132	2	   	267.27	DCR|3VULN|2DMG|2ASPD|1CDMG|1AART	19ASPD|2AART|3RCVC|469VULN|5BELT|7RCR|89DMG|9BPWR|aCDMG
27	14253 13512	10	 * 	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1RCVC|2RPLT|39DMG|4MLV|59DUR|6RCR|789VULN|9BPWR|aCDMG
28	14223 13612	9	 * 	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|2RPLT|39DMG|4CGEN|579DUR|6RCR|89aVULN|9BPWR
29	14223 13616	10	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|2RPLT|39DMG|4CGEN|579DUR|6RCR|89aVULN|9BPWR
30	14253 13312	9	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|2RPLT|39DMG|4MLV|589DUR|6RCR|79aVULN|9BPWR
31	14253 13316	10	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|2RPLT|39DMG|4MLV|589DUR|6RCR|79aVULN|9BPWR
32	12621 45314	5	   	266.71	DCR|3VULN|3DUR|2DMG	14RCVC|268DUR|369VULN|5MBVNT|69BPWR|79DMG|aRCR
