0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12425 11511	1	 * 	268.26	DCR|4VULN|2DMG|1TLV|1AART|1SELL	1SELL|2AART|3479VULN|5TLV|6aDMG|8RCR
2	33251 61621	4	 * 	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1CGEN|245DUR|34TLV|4BPWR|69aVULN|7RCR|8CDMG
3	23251 61621	4	   	265.93	DCR|3VULN|3DUR|2TLV|1CDMG	1ERES|245DUR|34TLV|4BPWR|69aVULN|7RCR|8CDMG
4	33251 61151	4	   	260.69	DCR|3VULN|3DUR|2TLV	1CGEN|245DUR|34TLV|4BPWR|689VULN|7RCR|aASPD
5	23251 61151	4	   	260.59	DCR|3VULN|3DUR|2TLV	1ERES|245DUR|34TLV|4BPWR|689VULN|7RCR|aASPD
6	56253 13313	10	 * 	259.70	DCR|5VULN|1TLV|1DMG	149FEWX|23468VULN|4BPWR|5DMG|7TLV|aRCR
7	56211 15212	8	 * 	259.44	DCR|3VULN|2DUR|1TLV|2CDMG	1FEWX|23aVULN|4BEXP|5TLV|6aCDMG|7ASPD|8aDUR|9RCR|aBPWR
8	33221 33354	10	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1CGEN|2DUR|3TLV|4LIT|5CDMG|678aVULN|9RCR
9	56253 13121	10	 * 	258.94	DCR|4VULN|2DMG|1TLV	14FEWX|2346VULN|4BPWR|58DMG|7TLV|9ZMB|aRCR
10	16224 33153	1	 * 	258.87	DCR|3VULN|2TLV|2DUR|1DMG|1SELL	1SELL|2TBNT|37aVULN|4aDUR|5DMG|6RCR|8DUST|9aTLV|aBPWR
11	33252 42152	4	 * 	256.06	DCR|2VULN|3DUR|2TLV|1DMG	1CGEN|247DUR|34TLV|4BPWR|59VULN|6DMG|8ASPD|aRCR
12	33253 12152	6	   	256.06	DCR|2VULN|3DUR|2TLV|1DMG	1CGEN|247DUR|34TLV|4BPWR|5DMG|69VULN|8ASPD|aRCR
13	33221 43452	5	 * 	254.81	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1CGEN|29DUR|3TLV|4LIT|59CDMG|6LWND|7RCR|89VULN|9BPWR|aDMG
14	33221 63552	8	   	254.81	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1CGEN|29DUR|3TLV|4LIT|59CDMG|6LHND|79VULN|8RCR|9BPWR|aDMG
15	33155 24333	5	   	254.61	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1CGEN|2DUR|3AART|4DMG|5689VULN|7RCR|aCDMG
16	12442 13112	4	   	254.00	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|2aLHND|3FEWX|4aDMG|5TLV|6DUR|78aVULN|9RCR|aBPWR
17	33221 33654	10	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1CGEN|28DUR|3TLV|4LIT|5CDMG|67aVULN|9RCR
18	51235 14112	5	   	252.70	DCR|3VULN|1TLV|2CDMG|2ASPD|1DUR	1FEWX|2aASPD|3TLV|4LHND|58aVULN|6DUR|7aCDMG|9RCR|aBPWR
19	33251 61111	4	   	252.38	DCR|3VULN|3DUR|2TLV	1CGEN|245DUR|34TLV|4BPWR|68aVULN|7RCR|9RPLT
20	33251 61152	4	   	252.38	DCR|3VULN|3DUR|2TLV	1aCGEN|245DUR|34TLV|4BPWR|689VULN|7RCR
21	33251 61153	4	   	252.38	DCR|3VULN|3DUR|2TLV	1CGEN|245DUR|34TLV|4BPWR|689VULN|7RCR|aBELT
22	23251 61111	4	   	252.28	DCR|3VULN|3DUR|2TLV	1ERES|245DUR|34TLV|4BPWR|68aVULN|7RCR|9RPLT
23	23251 61152	4	   	252.28	DCR|3VULN|3DUR|2TLV	1ERES|245DUR|34TLV|4BPWR|689VULN|7RCR|aCGEN
24	23251 61153	4	   	252.28	DCR|3VULN|3DUR|2TLV	1ERES|245DUR|34TLV|4BPWR|689VULN|7RCR|aMLV
25	32221 53354	10	 * 	251.43	DCR|4VULN|2TLV|1CDMG	18CGEN|2FEWX|38TLV|4LIT|5CDMG|678aVULN|8BPWR|9RCR
26	56211 11212	8	   	251.14	DCR|3VULN|2DUR|1TLV|2CDMG	1FEWX|23aVULN|4BEXP|5TLV|6aCDMG|7ZMB|8aDUR|9RCR|aBPWR
27	33421 32512	8	 * 	251.14	DCR|2VULN|2TLV|2DUR|2CDMG	1CGEN|2aDUR|3ASPD|4LIT|5aCDMG|69VULN|7aTLV|8RCR|aBPWR
28	33421 32542	9	   	251.14	DCR|2VULN|2TLV|2DUR|2CDMG	1CGEN|2aDUR|3ASPD|4LIT|5aCDMG|69VULN|7aTLV|8RCR|aBPWR
29	23421 32512	8	   	251.04	DCR|2VULN|2TLV|2DUR|2CDMG	1ERES|2aDUR|3ASPD|4LIT|5aCDMG|69VULN|7aTLV|8RCR|aBPWR
30	23421 32542	9	   	251.04	DCR|2VULN|2TLV|2DUR|2CDMG	1ERES|2aDUR|3ASPD|4LIT|5aCDMG|69VULN|7aTLV|8RCR|aBPWR
31	56253 12313	6	 * 	250.84	DCR|5VULN|2DMG|1SELL	14FEWX|23467VULN|4BPWR|5aDMG|8SELL|9RCR
32	12425 11513	1	   	250.67	DCR|4VULN|1TLV|1DMG|1AART|1SELL	1SELL|2AART|3479VULN|5TLV|6DMG|8RCR|aLWND
33	26342 23216	4	   	249.46	DCR|4VULN|1TLV|1DMG	1ERES|2RPLT|3ASPD|4DMG|5789VULN|6TLV|aRCR
34	12423 26234	1	 * 	248.86	DCR|4VULN|3DUR|1AART|1SELL	1SELL|2AART|3489VULN|5LWND|689FEWX|789DUR|89BPWR|aRCR
35	12423 16234	1	 * 	248.76	DCR|4VULN|3DUR|1AART|1SELL	1SELL|2AART|3489VULN|589LWND|6LEGI|789DUR|89BPWR|aRCR
36	33451 61112	7	 * 	248.61	DCR|3VULN|2DUR|3ASPD|2CDMG	1aCGEN|24DUR|346ASPD|4aBPWR|5aCDMG|7RCR|89aVULN
37	33224 33452	5	   	248.50	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CGEN|29DUR|3TLV|4LIT|59LWND|6CDMG|7RCR|89VULN|9BPWR|aDMG
38	33225 33452	4	   	248.50	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CGEN|29DUR|3TLV|4LIT|59LWND|6CDMG|7RCR|89VULN|9BPWR|aDMG
39	33163 44333	6	 * 	248.14	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1CGEN|24DUR|3AART|5DMG|689VULN|7RCR|aCDMG
40	33221 33356	10	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1CGEN|2DUR|3TLV|4LIT|5CDMG|678VULN|9RCR|aAART
