0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66313 31363	3	 * 	290.74	DCR|4VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3ERES|456aVULN|56BPWR|7BBNT|8RCR|9TLV
2	63622 21423	1	 * 	276.90	DCR|3VULN|2DMG|2TLV|2DUR	18DMG|26aVULN|38DUR|47RPLT|58TLV|8BPWR|9RCR
3	22313 32244	3	 * 	270.57	DCR|3VULN|3DUR|1TLV|1AART	156DUR|2ASPD|3ERES|456VULN|56BPWR|7TLV|8AART|9LIT|aRCR
4	66313 31361	3	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3ERES|456VULN|56BPWR|7BBNT|8RCR|9TLV|aRPLT
5	66313 31362	3	   	269.59	DCR|3VULN|3DMG|1TLV|1DUR	156DMG|2DUR|3aERES|456VULN|56BPWR|7BBNT|8RCR|9TLV
6	26262 24123	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2RPLT|3LWND|467VULN|57DMG|7BPWR|8BEXP|9RCR|aTLV
7	32262 24123	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DUR|3LWND|467VULN|57DMG|7BPWR|8BEXP|9RCR|aTLV
8	32462 24223	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DUR|3BEXP|467VULN|57DMG|7BPWR|8LWND|9RCR|aTLV
9	26262 24323	4	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2RPLT|3LWND|467VULN|57DMG|7BPWR|8DUST|9RCR|aTLV
10	32262 24323	4	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DUR|3LWND|467VULN|57DMG|7BPWR|8DUST|9RCR|aTLV
11	61331 24361	7	   	268.60	DCR|3VULN|3DMG|1TLV|2LIT	146DMG|27LIT|37ZMB|567VULN|67BPWR|8TLV|9RCR|aLHND
12	61331 24363	7	   	268.60	DCR|3VULN|3DMG|1TLV|2LIT	146DMG|27LIT|37aZMB|567VULN|67BPWR|8TLV|9RCR
13	61331 24362	7	   	268.50	DCR|3VULN|3DMG|1TLV|2LIT	146DMG|27LIT|37ZMB|567VULN|67BPWR|8TLV|9RCR|aDUST
14	61331 26343	8	   	268.40	DCR|3VULN|3DMG|1TLV|2LIT	146DMG|28LIT|3ZMB|567VULN|6BPWR|9RCR|aTLV
15	36112 21423	1	 * 	267.12	DCR|4VULN|2DMG|2TLV	17RPLT|268aVULN|3LWND|48DMG|58TLV|8BPWR|9RCR
16	36112 26423	1	   	267.12	DCR|4VULN|2DMG|2TLV	1RPLT|268aVULN|37LWND|48DMG|58TLV|8BPWR|9RCR
17	36512 21423	1	   	267.12	DCR|4VULN|2DMG|2TLV	17RPLT|268aVULN|3FEWX|48DMG|58TLV|8BPWR|9RCR
18	62613 22422	1	   	267.09	DCR|3VULN|3DMG|1TLV|1CDMG	125DMG|358VULN|4TBNT|5BPWR|6LHND|7CDMG|9TLV|aRCR
19	63113 22422	1	   	267.09	DCR|3VULN|3DMG|1TLV|1CDMG	135DMG|258VULN|4TBNT|5BPWR|6LHND|7CDMG|9TLV|aRCR
20	63113 62422	1	   	267.09	DCR|3VULN|3DMG|1TLV|1CDMG	135DMG|258VULN|4TBNT|5BPWR|6BEXP|7CDMG|9TLV|aRCR
21	21135 63611	3	 * 	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	17DUR|2FEWX|3TLV|4568VULN|9CDMG|aRCR
22	21413 63611	4	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	17DUR|2FEWX|3468VULN|5TLV|9CDMG|aRCR
23	63153 31324	1	 * 	264.96	DCR|2VULN|3DMG|1TLV|3LIT|1DUR	137DMG|27VULN|4DUST|5TLV|678LIT|7BPWR|9DUR|aRCR
24	66313 31336	3	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|456aVULN|56BPWR|7BBNT|8RCR|9LHND
25	32422 24622	5	 * 	262.23	DCR|4VULN|2DUR|1DMG|2ASPD	1RPLT|27DUR|3BEXP|47ASPD|5679VULN|7BPWR|8DMG|aRCR
26	61331 26361	7	   	261.85	DCR|3VULN|3DMG|1TLV	146DMG|2LIT|3ZMB|567VULN|6BPWR|8TLV|9RCR|aLHND
27	61331 26363	7	   	261.85	DCR|3VULN|3DMG|1TLV	146DMG|2LIT|3aZMB|567VULN|6BPWR|8TLV|9RCR
28	61331 26362	7	   	261.75	DCR|3VULN|3DMG|1TLV	146DMG|2LIT|3ZMB|567VULN|6BPWR|8TLV|9RCR|aDUST
29	14321 53122	6	 * 	261.72	DCR|3VULN|3DMG|2TLV	124MLV|389DMG|58TLV|68aVULN|7RCR|8BPWR
30	14321 63122	5	   	261.72	DCR|3VULN|3DMG|2TLV	124MLV|389DMG|58TLV|68aVULN|7RCR|8BPWR
31	14412 63122	4	   	261.72	DCR|3VULN|3DMG|2TLV	125MLV|38TLV|489DMG|68aVULN|7RCR|8BPWR
