0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33145 26231	8	 * 	300.44	DCR|3VULN|3DMG|3ASPD|1DUR|2LIT	1RCVC|278DMG|39LIT|489VULN|589ASPD|6RCR|89BPWR|aDUR
2	15153 23533	8	 * 	288.50	DCR|3VULN|2DMG|2DUR|2TLV|2LIT	1aLIT|26DMG|3aDUR|4LHND|56TLV|6aBPWR|78aVULN|9RCR
3	22253 61221	8	 * 	285.71	DCR|4VULN|3DUR|1DMG|1CDMG	19aCGEN|2CDMG|369aVULN|4FEWX|5DMG|79aDUR|8RCR|9aBPWR
4	15423 42374	10	   	284.59	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	19LIT|29DMG|3MBVNT|48aVULN|5TLV|69DUR|7RCR|9BPWR
5	33145 26233	8	   	284.19	DCR|3VULN|3DMG|3ASPD|2LIT	1RCVC|278DMG|39LIT|489VULN|589ASPD|6RCR|89BPWR|aLHND
6	33145 26232	8	   	284.09	DCR|3VULN|3DMG|3ASPD|2LIT	1RCVC|278DMG|39LIT|489VULN|589ASPD|6RCR|89BPWR|aBBNT
7	22234 43621	8	 * 	274.89	DCR|4VULN|3DMG|1CDMG	19aCGEN|2CDMG|389aVULN|4LHND|5LWND|69aDMG|7RCR|9aBPWR
8	22235 43521	7	   	274.79	DCR|4VULN|3DMG|1CDMG	19aCGEN|2CDMG|389aVULN|4LHND|5DUST|69aDMG|7RCR|9aBPWR
9	22235 43621	8	   	274.79	DCR|4VULN|3DMG|1CDMG	19aCGEN|2CDMG|389aVULN|4LHND|5DUST|69aDMG|7RCR|9aBPWR
10	33145 24213	8	 * 	272.73	DCR|2VULN|3DMG|2ASPD|3LIT|2CDMG	1RCVC|28aDMG|37aLIT|48VULN|58ASPD|6RCR|8aBPWR|9aCDMG
11	33145 24223	9	   	272.73	DCR|2VULN|3DMG|2ASPD|3LIT|2CDMG	1RCVC|28aDMG|37aLIT|48VULN|58ASPD|6RCR|8aBPWR|9aCDMG
12	33145 24211	8	   	272.47	DCR|3VULN|2DMG|2ASPD|2LIT|1CDMG	1RCVC|28DMG|37LIT|48aVULN|58ASPD|6RCR|8BPWR|9CDMG
13	33145 24221	9	   	272.47	DCR|3VULN|2DMG|2ASPD|2LIT|1CDMG	1RCVC|28DMG|37LIT|48aVULN|58ASPD|6RCR|8BPWR|9CDMG
14	22433 63511	5	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1aCGEN|2CDMG|3aDUR|4LHND|5DMG|678aVULN|9RCR|aBPWR
