0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11633 52162	10	 * 	281.94	DCR|4VULN|3DUR|2TLV	149DUR|2RMIN|3489VULN|49BPWR|5BEXP|6LIT|79TLV|aRCR
2	14624 12131	5	 * 	281.75	DCR|4VULN|2DUR|1TLV|1DMG|1AART	19DUR|2AART|3DMG|4TLV|567aVULN|8RCR
3	12411 12155	3	 * 	280.03	DCR|5VULN|2DUR|1TLV|1AART	19DUR|25679VULN|3AART|49DUST|8RCR|9BPWR|aTLV
4	13611 11511	4	 * 	275.81	DCR|3VULN|3DUR|2DMG|3LIT	147DUR|2DLOT|38DMG|578LIT|678VULN|78BPWR|9RCVC|aRCR
5	13611 31511	5	   	275.81	DCR|3VULN|3DUR|2DMG|3LIT	147DUR|2DLOT|38DMG|578VULN|678LIT|78BPWR|9RCVC|aRCR
6	13615 11511	5	   	275.81	DCR|3VULN|3DUR|2DMG|3LIT	147DUR|2DLOT|38DMG|578LIT|678VULN|78BPWR|9RCVC|aRCR
7	13622 31511	3	   	275.81	DCR|3VULN|3DUR|2DMG|3LIT	157DUR|2DLOT|38DMG|478VULN|678LIT|78BPWR|9RCVC|aRCR
8	13624 12121	5	 * 	275.75	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|4TLV|5679aVULN|8RCR
9	12222 32111	10	   	275.74	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|24567VULN|346ERES|46BPWR|8RCR|9DMG|aTLV
10	12513 53325	10	   	275.39	DCR|4VULN|2DUR|1TLV|2LIT	17DUR|2478VULN|3BEXP|5ASPD|67LIT|7BPWR|9TLV|aRCR
11	11636 25321	4	 * 	275.01	DCR|4VULN|3DUR|3CDMG|1AART	149DUR|2RMIN|3479VULN|49BPWR|5AART|689CDMG|aRCR
12	14624 12111	5	   	274.93	DCR|4VULN|1TLV|1DMG|2AART|1DUR	1DUR|29AART|3DMG|4TLV|567aVULN|8RCR
13	12426 12111	3	   	274.91	DCR|4VULN|3DUR|1TLV|1AART	159DUR|2567VULN|3AART|4LEGI|5BPWR|8RCR|aTLV
14	12612 52151	5	   	274.91	DCR|4VULN|3DUR|1TLV|1AART	159DUR|2479VULN|39DUST|6AART|8RCR|9BPWR|aTLV
15	14624 12132	5	 * 	273.92	DCR|3VULN|3DUR|1TLV|1DMG|1AART	19aDUR|2AART|3DMG|4TLV|567VULN|8RCR
16	12411 12152	3	 * 	273.89	DCR|5VULN|2DUR|1DMG|1AART	19DUR|25679VULN|3AART|49DUST|8RCR|9BPWR|aDMG
17	12447 12442	4	   	273.89	DCR|5VULN|2DUR|1DMG|1AART	15DUR|25678VULN|3AART|4MBVNT|5BPWR|9RCR|aDMG
18	12613 52152	4	   	273.89	DCR|5VULN|2DUR|1DMG|1AART	19DUR|24579VULN|39DUST|6AART|8RCR|9BPWR|aDMG
19	12615 12152	5	   	273.89	DCR|5VULN|2DUR|1DMG|1AART	19DUR|24679VULN|39DUST|5AART|8RCR|9BPWR|aDMG
20	12354 35121	7	 * 	273.50	DCR|2VULN|3DUR|2DMG|2TLV|1SELL	178DUR|29VULN|3SELL|49TLV|59DMG|6RCR|9BPWR|aLIT
21	13624 12122	5	   	271.99	DCR|4VULN|2DUR|1TLV|1DMG	1aDUR|2DLOT|3DMG|4TLV|5679VULN|8RCR
22	12352 31165	7	 * 	270.76	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aCDMG
