0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31151 35521	1	 * 	292.45	DCR|4VULN|3DMG|3DUR	178aVULN|245DUR|379DMG|6RCR|7BPWR
2	31131 52561	3	 * 	289.77	DCR|4VULN|2DMG|2DUR|3CDMG	134aVULN|234CDMG|34aBPWR|5aDUR|6RCVC|7RCR|8aDMG|9TBNT
3	31256 21236	4	 * 	288.44	DCR|4VULN|3DMG|1TLV|1CDMG	1389VULN|2CDMG|489DMG|5TLV|6ERES|789LHND|89BPWR|aRCR
4	35231 66213	8	 * 	287.00	DCR|5VULN|3DMG|3LIT	16789VULN|29LWND|378DMG|4BELT|578LIT|789BPWR|aRCR
5	31243 12443	9	 * 	286.41	DCR|4VULN|3TLV|2DUR|3CDMG	1378VULN|278CDMG|4FEWX|59DUR|678TLV|78BPWR|aRCR
6	31151 52113	1	   	286.36	DCR|3VULN|3DMG|3DUR|2LIT	179VULN|245DUR|37aDMG|67LIT|7BPWR|8RCR
7	31136 64112	3	 * 	285.49	DCR|5VULN|2DMG|3CDMG	1345aVULN|234CDMG|34aBPWR|6LIT|7aDMG|8aERES|9RCR
8	32331 66113	7	   	283.56	DCR|4VULN|2DMG|1TLV|2LIT|1AART	1357VULN|2AART|47LIT|67DMG|7BPWR|8LWND|9TLV|aRCR
9	32331 66413	7	   	283.56	DCR|4VULN|2DMG|1TLV|2LIT|1AART	1357VULN|2AART|47LIT|67DMG|7BPWR|8LHND|9TLV|aRCR
10	31626 32621	1	 * 	282.95	DCR|4VULN|3DUR|2TLV|1AART|1SELL	1678VULN|28aDUR|3SELL|4AART|58TLV|8BPWR|9RCR
11	31254 51213	9	 * 	282.41	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	138VULN|25CDMG|45DMG|5BPWR|6LIT|7DUR|9TLV|aRCR
12	35231 66231	8	   	282.20	DCR|4VULN|3DMG|3LIT|1CDMG	1678VULN|2LWND|378DMG|4BELT|578LIT|78BPWR|9RCR|aCDMG
13	31233 64621	6	 * 	282.10	DCR|3VULN|3DUR|2TLV|2CDMG|1AART	138VULN|24CDMG|58aDUR|6AART|78TLV|8BPWR|9RCR
14	31123 26136	8	 * 	281.69	DCR|3VULN|3DMG|2TLV|2CDMG	139VULN|23CDMG|39BPWR|49TLV|5ERES|6LHND|789DMG|aRCR
15	31121 62543	7	   	280.64	DCR|4VULN|2TLV|2CDMG|1DUR|2LIT	137aVULN|23CDMG|3aBPWR|4aTLV|5CGEN|6DUR|8aLIT|9RCR
16	31151 52114	1	   	280.36	DCR|3VULN|3DUR|2DMG|2LIT|1AART	179VULN|245DUR|37DMG|67LIT|7BPWR|8RCR|aAART
17	31143 12251	8	   	280.13	DCR|4VULN|2TLV|3CDMG|1DUR	1378VULN|237CDMG|37BPWR|4FEWX|5DUR|67TLV|9ASPD|aRCR
18	32331 23423	8	 * 	280.10	DCR|5VULN|2TLV|2AART|2LIT	13568VULN|2aAART|48LIT|78TLV|8BPWR|9RCR
19	32331 23453	10	   	280.10	DCR|5VULN|2TLV|2AART|2LIT	13568VULN|29AART|48LIT|78TLV|8BPWR|aRCR
20	32331 23454	9	   	280.10	DCR|5VULN|2TLV|2AART|2LIT	13568VULN|29AART|48LIT|78TLV|8BPWR|aRCR
21	35242 32234	7	 * 	279.75	DCR|3VULN|3DMG|3CDMG|1TLV	189VULN|27LWND|389DMG|4ERES|5TLV|689CDMG|89BPWR|aRCR
22	31151 35113	1	   	279.71	DCR|3VULN|3DMG|3DUR	179VULN|245DUR|37aDMG|6RCR|7BPWR|8LIT
23	32331 66321	10	   	279.31	DCR|4VULN|2DMG|2LIT|1CDMG|1AART	1357VULN|2AART|47LIT|67DMG|7BPWR|8ASPD|9CDMG|aRCR
24	31151 35253	1	   	279.06	DCR|3VULN|3DUR|2DMG|1CDMG|1AART	17aVULN|245DUR|37DMG|6RCR|7BPWR|8AART|9CDMG
25	32333 23434	9	 * 	279.06	DCR|4VULN|2TLV|3LIT|1DMG|1AART	1368VULN|2AART|458LIT|78TLV|8BPWR|9DMG|aRCR
26	35231 66232	8	   	278.22	DCR|4VULN|3DMG|3LIT|1AART	1678VULN|2LWND|378DMG|4BELT|578LIT|78BPWR|9RCR|aAART
27	32351 52315	3	   	278.17	DCR|4VULN|2TLV|2DUR|1AART	1356VULN|2AART|46TLV|6BPWR|7ASPD|8RCR|9aDUR
28	31231 52216	3	   	277.28	DCR|5VULN|2DMG|3CDMG	13458VULN|248CDMG|48BPWR|69RMIN|78DMG|aRCR
29	31231 52236	3	   	277.28	DCR|5VULN|2DMG|3CDMG	13458VULN|248CDMG|48BPWR|6RMIN|78DMG|9LHND|aRCR
30	31231 66216	3	   	277.28	DCR|5VULN|2DMG|3CDMG	13458VULN|248CDMG|48BPWR|68DMG|79RMIN|aRCR
31	31231 66236	3	   	277.28	DCR|5VULN|2DMG|3CDMG	13458VULN|248CDMG|48BPWR|68DMG|7RMIN|9LHND|aRCR
32	36211 52312	9	 * 	277.03	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2DUST|3aDMG|4TLV|5LIT|7RCR|8aDUR|9RMIN|aBPWR
33	36212 52312	9	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	15aVULN|2DUST|3aDMG|4TLV|6LIT|7RCR|8aDUR|9RMIN|aBPWR
34	31151 35531	1	   	276.80	DCR|4VULN|3DUR|2DMG	178aVULN|245DUR|37DMG|6RCR|7BPWR|9LHND
