0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16234 23335	2	 * 	275.09	DCR|4VULN|2DMG|1TLV|1DUR	18DUST|2589VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|aDUR
2	25632 22123	5	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2DUR|3567VULN|4CDMG|8DMG|9TLV|aRCR
3	25632 25123	5	 * 	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1RPLT|27DUR|356VULN|4CDMG|8DMG|9TLV|aRCR
4	25633 22123	5	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1RPLT|25DUR|367VULN|4CDMG|8DMG|9TLV|aRCR
5	25635 22123	4	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1RPLT|25DUR|367VULN|4CDMG|8DMG|9TLV|aRCR
6	25641 32113	7	 * 	261.78	DCR|4VULN|2DUR|1TLV|1AART	1RPLT|24DUR|346aVULN|4BPWR|5LWND|7TLV|8RCR|9AART
7	55631 32231	1	 * 	260.78	ACR|2VULN|3DMG|3DUR|1TLV|3LIT	1RCR|289DMG|389LIT|46VULN|5TLV|789DUR|89BPWR|aRMIN
8	55631 32232	1	   	260.78	ACR|2VULN|3DMG|3DUR|1TLV|3LIT	1RCR|289DMG|389LIT|46VULN|5TLV|789DUR|89BPWR|aBEXP
9	55631 32233	1	   	260.78	ACR|2VULN|3DMG|3DUR|1TLV|3LIT	1RCR|289DMG|389LIT|46VULN|5TLV|789DUR|89BPWR|aCGEN
10	23562 22333	4	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1RPLT|2ASPD|3TLV|4CDMG|5679VULN|8DUR|aRCR
11	25532 22333	1	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1RPLT|2CDMG|3ASPD|4TLV|5679VULN|8DUR|aRCR
12	25632 22223	5	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1RPLT|2DUR|3567VULN|4CDMG|8ASPD|9TLV|aRCR
13	25632 23133	5	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1RPLT|2DUR|3569VULN|4CDMG|7TLV|8ASPD|aRCR
14	16234 23313	2	   	258.84	DCR|4VULN|2DMG|1TLV	18DUST|258aVULN|3TLV|4MLV|6RCR|78DMG|8BPWR|9FEWX
15	16234 23333	2	   	258.84	DCR|4VULN|2DMG|1TLV	18DUST|2589VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|aZMB
16	16234 23334	2	   	258.84	DCR|4VULN|2DMG|1TLV	18DUST|2589VULN|3TLV|4aMLV|6RCR|78DMG|8BPWR
17	16234 23336	2	   	258.84	DCR|4VULN|2DMG|1TLV	18DUST|2589VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|aCGEN
18	16234 23331	2	   	258.74	DCR|4VULN|2DMG|1TLV	18DUST|2589VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|aTBNT
19	16234 23332	2	   	258.74	DCR|4VULN|2DMG|1TLV	18DUST|2589VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|aERES
20	16245 23331	2	   	258.74	DCR|4VULN|2DMG|1TLV	18DUST|248aVULN|3TLV|5CGEN|6RCR|78DMG|8BPWR|9BBNT
