0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65213 41131	7	 * 	299.45	DCR|4VULN|3DMG|1DUR|1CDMG	18aFEWX|2DUR|368aVULN|4CDMG|5LIT|78aDMG|8aBPWR|9RCR
2	32215 11111	6	 * 	292.47	DCR|4VULN|2DMG|2DUR|1TLV	18MLV|27DMG|3468VULN|58DUR|8BPWR|9RCR|aTLV
3	53512 21131	7	 * 	289.06	DCR|3VULN|3DMG|3CDMG|1DUR|1NUKE	1NUKE|28aCDMG|38aVULN|4LIT|5DUR|6RMIN|78aDMG|8aBPWR|9RCR
4	53512 24131	6	   	289.06	DCR|3VULN|3DMG|3CDMG|1DUR|1NUKE	1NUKE|28aCDMG|38aVULN|4LIT|5DUR|6RMIN|78aDMG|8aBPWR|9RCR
5	23161 34131	2	 * 	288.37	DCR|3VULN|3DMG|3LIT|1DUR|1CDMG	18aLIT|2DUR|38aVULN|46FEWX|5CDMG|78aDMG|8aBPWR|9RCR
6	32215 11116	6	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	18MLV|27DMG|3468VULN|58DUR|8BPWR|9RCR|aASPD
7	65211 14131	3	   	283.36	DCR|3VULN|3DMG|1DUR|2LIT|1CDMG	18aFEWX|2DUR|38aVULN|46LIT|5CDMG|78aDMG|8aBPWR|9RCR
8	65213 14131	5	   	283.36	DCR|3VULN|3DMG|1DUR|2LIT|1CDMG	18aFEWX|2DUR|38aVULN|4CDMG|56LIT|78aDMG|8aBPWR|9RCR
9	41351 31223	2	   	283.16	DCR|3VULN|3DMG|1DUR|2LIT|1CDMG	149DMG|29LIT|3CDMG|5CGEN|689VULN|7RCR|9BPWR|aDUR
10	66213 41131	7	   	283.10	DCR|4VULN|3DMG|1CDMG	18aFEWX|2DUST|368aVULN|4CDMG|5LIT|78aDMG|8aBPWR|9RCR
11	22355 61221	2	 * 	282.22	DCR|3VULN|2DMG|2TLV|2LIT|1CDMG|1ASPD	19LIT|29TLV|3CDMG|46DMG|589VULN|7RCR|9BPWR|aASPD
12	22355 21221	2	 * 	281.28	DCR|4VULN|3LIT|2TLV|1DMG|1CDMG	169LIT|29TLV|3CDMG|4DMG|589aVULN|7RCR|9BPWR
13	26355 21221	1	   	281.28	DCR|4VULN|3LIT|2TLV|1DMG|1CDMG	169LIT|29TLV|3CDMG|4DMG|589aVULN|7RCR|9BPWR
14	42224 41131	5	 * 	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	19DMG|2NUKE|379VULN|4CGEN|5CDMG|69aDUR|8RCR|9BPWR
15	32135 11442	2	 * 	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1MLV|2DMG|34589VULN|6TLV|7RCR|aDUR
16	32215 11442	4	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1MLV|2DMG|34589VULN|6TLV|7RCR|aDUR
17	32235 11442	3	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1MLV|2DMG|34589VULN|6TLV|7RCR|aDUR
18	46225 13231	3	 * 	279.00	DCR|3VULN|3DMG|2DUR	17aDMG|2RPLT|37DUR|4TBNT|5AART|67aVULN|7aBPWR|8aFEWX|9RCR
19	42212 15135	6	 * 	278.48	DCR|5VULN|2DMG|1CDMG|1NUKE	18DMG|2NUKE|34678VULN|58LWND|8BPWR|9CDMG|aRCR
20	32131 45121	2	 * 	278.18	DCR|5VULN|2DUR|1DMG	168MLV|2DMG|3478aVULN|58DUR|8BPWR|9RCR
21	32211 45121	4	   	278.18	DCR|5VULN|2DUR|1DMG	168MLV|2DMG|3478aVULN|58DUR|8BPWR|9RCR
22	32215 45121	5	   	278.18	DCR|5VULN|2DUR|1DMG	168MLV|2DMG|3478aVULN|58DUR|8BPWR|9RCR
23	32231 45121	3	   	278.18	DCR|5VULN|2DUR|1DMG	168MLV|2DMG|3478aVULN|58DUR|8BPWR|9RCR
24	16216 21263	1	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1ZMB|279VULN|3DUST|4TLV|59DMG|6LIT|89DUR|9BPWR|aRCR
25	32215 15135	6	   	277.93	DCR|5VULN|2DUR|1DMG|1SELL	18MLV|2DMG|34678VULN|58DUR|8BPWR|9SELL|aRCR
26	32215 11411	6	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1MLV|27DMG|3468VULN|5DUR|9RCR|aTLV
27	32215 12135	6	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1MLV|2DMG|34689VULN|5DUR|7CDMG|aRCR
28	65211 11131	7	   	276.81	DCR|3VULN|3DMG|1DUR|1CDMG	18aFEWX|2DUR|38aVULN|4CDMG|5DMSP|6LIT|78aDMG|8aBPWR|9RCR
29	65211 14131	6	   	276.81	DCR|3VULN|3DMG|1DUR|1CDMG	18aFEWX|2DUR|38aVULN|4CDMG|5DMSP|6LIT|78aDMG|8aBPWR|9RCR
