0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12143 63213	8	 * 	285.51	DCR|4VULN|3DUR|1TLV|1DMG	17FEWX|278DUR|3DMG|4TLV|567aVULN|7BPWR|9RCR
2	23251 44121	3	 * 	284.45	DCR|4VULN|2DMG|3TLV|2AART	189TLV|25AART|379aVULN|49DMG|6RCR|9BPWR
3	23261 44121	4	   	284.45	DCR|4VULN|2DMG|3TLV|2AART	189TLV|25AART|379aVULN|49DMG|6RCR|9BPWR
4	12142 63213	8	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	17FEWX|278DUR|35DMG|4TLV|67aVULN|7BPWR|9RCR
5	22216 61215	8	 * 	280.27	DCR|4VULN|3TLV|2DUR|1DMG	158TLV|2RCVC|3678VULN|48DUR|8BPWR|9DMG|aRCR
6	23251 44122	3	   	279.65	DCR|3VULN|2DMG|3TLV|2AART|1DUR	189TLV|25AART|379VULN|49DMG|6RCR|9BPWR|aDUR
7	23261 44122	4	   	279.65	DCR|3VULN|2DMG|3TLV|2AART|1DUR	189TLV|25AART|379VULN|49DMG|6RCR|9BPWR|aDUR
8	12143 63311	10	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	17FEWX|27DUR|39DMG|4TLV|567VULN|7BPWR|8LIT|aRCR
9	22216 26315	8	 * 	276.80	DCR|3VULN|2DMG|3TLV|2DUR	156TLV|2RCVC|389VULN|49DUR|79DMG|9BPWR|aRCR
10	22234 44121	3	   	276.68	DCR|4VULN|2DMG|3TLV|1AART	189TLV|2RCVC|379aVULN|49DMG|5AART|6RCR|9BPWR
11	24235 24112	3	 * 	273.64	DCR|2VULN|3DUR|2DMG|3TLV	125TLV|27BPWR|37VULN|47DMG|67aDUR|8ASPD|9RCR
12	12143 63234	7	   	272.29	DCR|4VULN|2DUR|1TLV|1DMG	17FEWX|27DUR|3DMG|4TLV|567aVULN|7BPWR|8DMSP|9RCR
13	22234 44122	3	   	271.88	DCR|3VULN|2DMG|3TLV|1DUR|1AART	189TLV|2RCVC|379VULN|49DMG|5AART|6RCR|9BPWR|aDUR
14	24235 24113	3	   	270.08	DCR|2VULN|2DMG|3TLV|2DUR|1AART	125TLV|27BPWR|37VULN|47DMG|67DUR|8ASPD|9RCR|aAART
15	12142 63234	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	17FEWX|27DUR|35DMG|4TLV|67aVULN|7BPWR|8DMSP|9RCR
16	22264 13461	4	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	19TLV|2RCVC|379VULN|4MBVNT|5LIT|6DMG|89DUR|9BPWR|aRCR
17	24264 13463	4	   	267.42	DCR|3VULN|3TLV|2DUR|1DMG	129TLV|29BPWR|379VULN|4MBVNT|5LIT|6DMG|89DUR|aRCR
18	22264 15463	4	   	267.07	DCR|2VULN|2DMG|3TLV|2DUR|2LIT	179TLV|2RCVC|39VULN|4MBVNT|57LIT|67DMG|79BPWR|89DUR|aRCR
19	21443 32162	1	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2LWND|3569VULN|4aDUR|7RCR|8CDMG
20	22433 32162	1	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2aDUR|3569VULN|4LWND|7RCR|8CDMG
21	25333 32162	1	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2569VULN|3aDUR|4LWND|7RCR|8CDMG
22	32314 54112	2	   	265.55	DCR|4VULN|3DUR|1TLV	179LWND|257DUR|3BELT|457aVULN|57BPWR|6RCR|8TLV
23	32314 54122	2	   	265.55	DCR|4VULN|3DUR|1TLV	17LWND|257DUR|3BELT|457aVULN|57BPWR|6RCR|8TLV|9RPLT
24	15536 23213	8	   	265.44	DCR|2VULN|3DUR|2DMG|2TLV	17FEWX|27DMG|348DUR|5aVULN|67TLV|7BPWR|9RCR
25	24235 24212	3	   	265.24	DCR|2VULN|3DUR|2DMG|3TLV	125TLV|27BPWR|37VULN|47DMG|67aDUR|8TBNT|9RCR
26	12143 63513	10	   	264.89	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	17FEWX|27DUR|3DMG|4TLV|567VULN|7BPWR|8CDMG|9RPLT|aRCR
27	12143 63214	8	   	264.46	DCR|3VULN|3DUR|1TLV|1DMG	17FEWX|278DUR|3DMG|4TLV|567VULN|7BPWR|9RCR|aMLV
28	12143 63215	8	   	264.46	DCR|3VULN|3DUR|1TLV|1DMG	17FEWX|278DUR|3DMG|4TLV|567VULN|7BPWR|9RCR|aBEXP
29	12143 63216	8	   	264.46	DCR|3VULN|3DUR|1TLV|1DMG	17FEWX|278DUR|3DMG|4TLV|567VULN|7BPWR|9RCR|aLWND
30	12143 13213	8	   	264.46	DCR|3VULN|3DUR|1TLV|1DMG	17FEWX|278DUR|3DMG|4TLV|57aVULN|6DMSP|7BPWR|9RCR
31	12143 53213	8	   	264.46	DCR|3VULN|3DUR|1TLV|1DMG	17FEWX|278DUR|3DMG|4TLV|57aVULN|6RCVC|7BPWR|9RCR
32	63254 12111	7	   	264.39	DCR|3VULN|2DUR|1DMG|2ASPD|1CDMG|1AART	14DUR|2AART|34ASPD|4BPWR|5CDMG|6RCR|7DMG|89aVULN
33	12143 63211	8	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	17FEWX|278DUR|3DMG|4TLV|567VULN|7BPWR|9RCR|aTBNT
34	12143 63222	9	   	264.22	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	17FEWX|278DUR|3DMG|4TLV|567VULN|7BPWR|9SELL|aRCR
35	61143 62213	8	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	178DUR|2DUST|3DMG|4TLV|56aVULN|9RCR
36	23251 44123	3	   	263.30	DCR|3VULN|2DMG|3TLV|2AART	189TLV|25AART|379VULN|49DMG|6RCR|9BPWR|aDUST
37	23261 44123	4	   	263.30	DCR|3VULN|2DMG|3TLV|2AART	189TLV|25AART|379VULN|49DMG|6RCR|9BPWR|aDUST
38	26151 14211	1	   	262.68	DCR|3VULN|2DMG|2TLV	17TLV|2LIT|378VULN|4MLV|5ASPD|67DMG|7BPWR|9LWND|aRCR
39	26142 14211	1	   	262.58	DCR|3VULN|2DMG|2TLV	17TLV|2LIT|378VULN|4ASPD|5ERES|67DMG|7BPWR|9LWND|aRCR
40	43231 53312	3	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1DMSP|2ASPD|368VULN|46DMG|5TBNT|6BPWR|7TLV|9RCR|aDUR
41	43251 53312	2	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1DMSP|2ASPD|36DMG|468VULN|5TBNT|6BPWR|7TLV|9RCR|aDUR
42	32141 63214	9	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	17LWND|2DUR|37DMG|48TLV|5BEXP|67aVULN|7BPWR|9RCR
43	32141 63235	9	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	17LWND|2DUR|37DMG|48TLV|5BEXP|679VULN|7BPWR|aRCR
44	32314 53433	2	   	261.78	DCR|4VULN|2DUR|1TLV|1AART	1LWND|25DUR|3BELT|4589VULN|5BPWR|6RCR|7AART|aTLV
45	24443 32113	1	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2LHND|356aVULN|4DUR|7RCR|8CDMG|9AART
46	25643 32113	1	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|256aVULN|3LHND|4DUR|7RCR|8CDMG|9AART
47	24235 24111	3	   	260.42	DCR|2VULN|2DMG|3TLV|2DUR	125TLV|27BPWR|37VULN|47DMG|67DUR|8ASPD|9RCR|aCGEN
48	22216 61235	9	   	260.20	DCR|4VULN|3TLV|2DUR	158TLV|2RCVC|3678VULN|48DUR|8BPWR|9RMIN|aRCR
49	35643 33222	7	   	259.82	DCR|3VULN|2DMG|2TLV|1CDMG	157LWND|27DMG|3CDMG|458VULN|57BPWR|67TLV|9FEWX|aRCR
50	21443 32114	1	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2LWND|356VULN|4DUR|7RCR|8CDMG|9AART|aDMG
51	22433 32114	1	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2DUR|356VULN|4LWND|7RCR|8CDMG|9AART|aDMG
52	23253 61234	5	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2AART|379VULN|4LWND|5DUR|6RCR|8CDMG|aDMG
53	25333 32114	1	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|256VULN|3DUR|4LWND|7RCR|8CDMG|9AART|aDMG
54	23261 32233	6	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2AART|39aVULN|4DMG|5ZMB|6RCR|7DUR|8CDMG
55	23251 14134	3	   	259.59	DCR|3VULN|1TLV|1DMG|2AART|1CDMG	1TLV|25AART|36aVULN|4DMG|7CDMG|8ASPD|9RCR
56	23261 14134	4	   	259.59	DCR|3VULN|1TLV|1DMG|2AART|1CDMG	1TLV|25AART|36aVULN|4DMG|7CDMG|8ASPD|9RCR
57	12143 63322	9	   	259.54	DCR|3VULN|2DUR|1TLV|1DMG	17FEWX|27DUR|3DMG|4TLV|567VULN|7BPWR|8LIT|9LWND|aRCR
58	12143 63342	9	   	259.54	DCR|3VULN|2DUR|1TLV|1DMG	17FEWX|27DUR|3DMG|4TLV|567VULN|7BPWR|8LIT|9LHND|aRCR
59	12143 63362	7	   	259.54	DCR|3VULN|2DUR|1TLV|1DMG	17FEWX|27DUR|3DMG|4TLV|567VULN|7BPWR|8LIT|9BEXP|aRCR
60	12143 63362	8	   	259.54	DCR|3VULN|2DUR|1TLV|1DMG	17FEWX|27DUR|3DMG|4TLV|567VULN|7BPWR|8LIT|9BEXP|aRCR
61	22433 32166	1	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2DUR|3569VULN|4LWND|7RCR|8CDMG|aLIT
62	25333 32166	1	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2569VULN|3DUR|4LWND|7RCR|8CDMG|aLIT
63	22336 56131	1	 * 	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	17TLV|23DUR|479VULN|5RMIN|67CDMG|7BPWR|8CGEN|aRCR
64	22336 56231	1	   	259.12	DCR|3VULN|2TLV|2DUR|2CDMG	17TLV|23DUR|479VULN|5RMIN|67CDMG|7BPWR|8ERES|aRCR
65	15143 63213	8	   	259.04	DCR|4VULN|2DMG|1TLV	167FEWX|27DMG|3LHND|4TLV|578aVULN|7BPWR|9RCR
66	23221 23634	10	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	16TLV|2AART|3578VULN|4BEXP|9DMG|aRCR
67	23251 23634	10	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	16TLV|2AART|3578VULN|4LWND|9DMG|aRCR
68	23261 23636	8	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	16TLV|2AART|378aVULN|4DMG|5ZMB|9RCR
69	45211 33153	9	   	258.99	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1DMSP|28DMG|38VULN|47DUR|5BEXP|68LIT|8BPWR|9RCR|aTLV
70	45213 33153	9	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1DMSP|28DMG|38VULN|47DUR|5DUST|68LIT|8BPWR|9RCR|aTLV
