0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35242 51222	9	 * 	283.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1CGEN|28aVULN|3TLV|4DMG|58DUR|6ASPD|78CDMG|8BPWR|9RCR
2	32225 36353	10	 * 	281.60	DCR|4VULN|2DMG|2CDMG|1DUR	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9aDMG
3	21126 11434	7	 * 	278.87	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	1BELT|24LIT|3467VULN|46BPWR|56TLV|8DMG|9RCR|aDUR
4	21126 12434	6	   	278.87	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	1BELT|24LIT|3467VULN|46BPWR|56TLV|8DMG|9RCR|aDUR
5	32225 33356	10	 * 	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1CGEN|2DUR|3478aVULN|5CDMG|6RCR|9DMG
6	22262 45311	8	 * 	276.12	DCR|4VULN|2DMG|2DUR|1NUKE	1BELT|2NUKE|38DUR|458aVULN|68DMG|7RCR|8BPWR|9CGEN
7	22262 45321	10	   	276.12	DCR|4VULN|2DMG|2DUR|1NUKE	1BELT|2NUKE|38DUR|458aVULN|68DMG|7RCR|8BPWR|9BEXP
8	22262 45322	9	   	276.12	DCR|4VULN|2DMG|2DUR|1NUKE	1BELT|2NUKE|38DUR|458aVULN|68DMG|7RCR|8BPWR|9BEXP
9	22262 45331	10	   	276.12	DCR|4VULN|2DMG|2DUR|1NUKE	1BELT|2NUKE|38DUR|458aVULN|68DMG|7RCR|8BPWR|9DMSP
10	22262 45311	10	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	1BELT|2NUKE|38DUR|458aVULN|68DMG|7RCR|8BPWR|9DUST
11	22262 45312	9	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	1BELT|2NUKE|38DUR|458aVULN|68DMG|7RCR|8BPWR|9DUST
12	32633 36353	10	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	17CGEN|27DUR|3SELL|4578VULN|6RCR|7BPWR|9aDMG
13	32225 33353	10	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1CGEN|2DUR|3478VULN|5CDMG|6RCR|9aDMG
14	32225 36352	10	   	275.02	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9DMG|aASPD
15	21126 11433	7	   	273.62	DCR|4VULN|2TLV|1DMG|2LIT|1ASPD	1BELT|24LIT|3467VULN|46BPWR|56TLV|8DMG|9RCR|aASPD
16	21126 12433	6	   	273.62	DCR|4VULN|2TLV|1DMG|2LIT|1ASPD	1BELT|24LIT|3467VULN|46BPWR|56TLV|8DMG|9RCR|aASPD
17	32235 36353	10	 * 	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	17CGEN|24DUR|378VULN|57CDMG|6RCR|7BPWR|9aDMG
