0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12316 11631	1	 * 	279.30	DCR|4VULN|3DUR|1TLV|1CDMG	178FEWX|2TLV|378DUR|478aVULN|5RPLT|6RCR|78BPWR|9CDMG
2	22242 11426	6	 * 	278.55	DCR|5VULN|2TLV|2DUR	1RMIN|2MBVNT|34789VULN|58TLV|68DUR|8BPWR|aRCR
3	22242 13426	7	   	278.55	DCR|5VULN|2TLV|2DUR	1RMIN|2MBVNT|34789VULN|58TLV|68DUR|8BPWR|aRCR
4	12316 11615	1	 * 	273.93	DCR|4VULN|3DUR|2TLV	178FEWX|2aTLV|378DUR|478aVULN|5RPLT|6RCR|78aBPWR|9aLWND
5	12316 11625	1	 * 	272.97	DCR|3VULN|3DUR|1TLV|1DMG	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9LIT|aDMG
6	22242 11316	7	 * 	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RMIN|2MBVNT|34aVULN|5TLV|6aDUR|7aDMG|8RPLT|9RCR|aBPWR
7	22258 32531	6	 * 	267.02	DCR|4VULN|2DMG|2TLV	1RMIN|2MBVNT|378aVULN|4RPLT|5aTLV|6RCR|9aDMG|aBPWR
8	62514 21345	9	 * 	266.92	DCR|4VULN|2DMG|3TLV	1LEGI|258aVULN|3MBVNT|458TLV|58BPWR|6RMIN|78DMG|9RCR
9	12126 43116	3	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|2aDUR|3ASPD|4TLV|5MBVNT|6aDMG|7CDMG|8aVULN|9RCR|aBPWR
10	42126 43116	3	   	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1DUST|2aDUR|3ASPD|4TLV|5MBVNT|6aDMG|7CDMG|8aVULN|9RCR|aBPWR
11	22845 33151	6	 * 	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1RMIN|2MBVNT|3aTLV|4aDUR|59DMG|6RCR|7CDMG|8aVULN|aBPWR
12	12316 11551	1	   	265.65	DCR|4VULN|3DUR|1TLV	17aFEWX|2TLV|37aDUR|478aVULN|5RPLT|6RCR|7aBPWR|9RCVC
13	12316 13651	1	   	265.65	DCR|4VULN|3DUR|1TLV	18aFEWX|2TLV|38aDUR|478aVULN|5RPLT|6RCR|8aBPWR|9RCVC
14	12316 11611	1	   	265.65	DCR|4VULN|3DUR|1TLV	178FEWX|2TLV|378DUR|478aVULN|5RPLT|6RCR|78BPWR|9LWND
15	12316 13561	1	   	265.45	DCR|4VULN|3DUR|1TLV	1aFEWX|2TLV|39aDUR|478aVULN|5RPLT|6RCR|aBPWR
16	62144 43317	10	   	263.84	DCR|3VULN|2DMG|2TLV|1AART	1LEGI|278VULN|3ASPD|4MBVNT|58TLV|68DMG|8BPWR|9AART|aRCR
17	22845 41316	4	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RMIN|2MBVNT|3aTLV|4DUR|57aVULN|6aDMG|8RPLT|9RCR|aBPWR
18	22224 43716	7	 * 	261.72	DCR|3VULN|3DMG|3TLV	1RMIN|2MBVNT|38aVULN|4FEWX|58aTLV|68aDMG|7RPLT|8aBPWR|9RCR
19	22242 11458	6	   	260.10	DCR|4VULN|2TLV|2DUR	1RMIN|2MBVNT|3478VULN|58TLV|68DUR|8BPWR|9DLOT|aRCR
20	22242 13458	7	   	260.10	DCR|4VULN|2TLV|2DUR	1RMIN|2MBVNT|3478VULN|58TLV|68DUR|8BPWR|9DLOT|aRCR
21	62513 43345	9	 * 	260.00	DCR|4VULN|3TLV|2DUR	1LEGI|278aVULN|3MBVNT|468TLV|58DUR|8BPWR|9RCR
22	21134 32141	5	 * 	259.79	DCR|2VULN|3DMG|2DUR|1TLV	1RMIN|2aDUR|3TLV|4RPLT|59aDMG|6RCR|7DMSP|8aVULN|aBPWR
23	22242 72841	8	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1RMIN|2MBVNT|34aVULN|5aTLV|6CDMG|7LWND|8aDMG|9RCR|aBPWR
24	21114 63336	8	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1RMIN|28DUR|38TLV|4FEWX|5DMG|678VULN|8BPWR|9MLV|aRCR
25	21114 63324	9	   	259.07	DCR|3VULN|2TLV|2DUR|1DMG|1SELL	1RMIN|28DUR|38TLV|4FEWX|5DMG|678VULN|8BPWR|9SELL|aRCR
26	22215 38331	8	   	258.94	DCR|4VULN|2DMG|1TLV	1RMIN|2MBVNT|378aVULN|48CGEN|58DMG|6RCR|8BPWR|9TLV
27	22265 38331	8	   	258.94	DCR|4VULN|2DMG|1TLV	1RMIN|2MBVNT|378aVULN|48MLV|58DMG|6RCR|8BPWR|9TLV
28	25316 31132	10	 * 	258.27	DCR|3VULN|3DMG|2DUR	1RMIN|2BELT|349DMG|49BPWR|5RPLT|689VULN|79DUR|aRCR
29	12316 11632	1	   	258.25	DCR|3VULN|3DUR|1TLV|1CDMG	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9CDMG|aLHND
30	12316 11634	1	   	258.25	DCR|3VULN|3DUR|1TLV|1CDMG	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9CDMG|aZMB
31	12316 11635	1	   	258.25	DCR|3VULN|3DUR|1TLV|1CDMG	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9CDMG|aLWND
32	12316 11636	1	   	258.25	DCR|3VULN|3DUR|1TLV|1CDMG	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9CDMG|aCGEN
33	12316 11633	1	   	258.15	DCR|3VULN|3DUR|1TLV|1CDMG	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9CDMG|aDUST
34	22314 86731	3	 * 	257.95	DCR|3VULN|2DMG|1TLV|2CDMG	1RMIN|2MBVNT|3aCDMG|46aVULN|56FEWX|6aBPWR|7RCR|8TLV|9aDMG
35	22246 36731	5	   	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	1RMIN|2MBVNT|34aVULN|5aCDMG|6FEWX|7RCR|8TLV|9aDMG|aBPWR
36	12532 13158	4	 * 	257.36	DCR|2VULN|3DUR|2DMG|1TLV	145FEWX|245DUR|3MBVNT|459BPWR|6RCR|79DMG|89VULN|aTLV
37	21136 11253	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|28aDUR|3TLV|4RPLT|5BELT|6RCR|7aVULN|9aDMG|aBPWR
38	21136 14153	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|27aDUR|3TLV|4RPLT|5BELT|6RCR|8aVULN|9aDMG|aBPWR
39	32532 13158	4	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	145BEXP|245DUR|3MBVNT|459BPWR|6RCR|79DMG|89VULN|aTLV
40	32542 13158	3	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	145BEXP|245DUR|3MBVNT|459BPWR|6RCR|79DMG|89VULN|aTLV
41	12141 73116	4	   	256.48	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1FEWX|2aDUR|3ASPD|4MBVNT|5DMG|6aTLV|7CDMG|8aVULN|9RCR|aBPWR
42	32141 73116	4	   	256.48	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1BEXP|2aDUR|3ASPD|4MBVNT|5DMG|6aTLV|7CDMG|8aVULN|9RCR|aBPWR
43	12532 13154	4	 * 	255.85	DCR|3VULN|3DUR|2DMG	145FEWX|245DUR|3MBVNT|459BPWR|6RCR|79DMG|89aVULN
