0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11433 33264	7	 * 	291.16	DCR|4VULN|2DMG|2CDMG|1DUR|1AART	15CDMG|2458VULN|3AART|5BPWR|6DUR|79DMG|aRCR
2	11433 34213	8	 * 	287.64	DCR|5VULN|2DUR|2CDMG|1AART	15CDMG|24578VULN|3AART|5BPWR|69DUR|aRCR
3	11433 34233	9	   	287.64	DCR|5VULN|2DUR|2CDMG|1AART	15CDMG|24578VULN|3AART|5BPWR|69DUR|aRCR
4	66141 32111	1	 * 	283.32	DCR|4VULN|3DUR|1CDMG|1AART	146DUR|2369VULN|5AART|6BPWR|7RCR|8CDMG|aLIT
5	63441 42442	10	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	12aDUR|3TLV|4aDMG|5MBVNT|6BELT|79aVULN|8RCR|aBPWR
6	63624 22213	3	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	126DUR|38DMG|4BEXP|56aVULN|6BPWR|7RCR|9TLV
7	11411 61225	3	 * 	282.88	DCR|3VULN|3DMG|2CDMG|2LIT|1AART	19CDMG|26aVULN|3AART|469DMG|5BBNT|69BPWR|79LIT|8RCR
8	11433 33343	7	 * 	281.77	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1AART	15CDMG|245VULN|3AART|5BPWR|6aDUR|7DMG|8RCR|9TLV
9	11423 34253	8	   	280.82	DCR|5VULN|2CDMG|2AART|1DUR	15CDMG|25789VULN|34AART|5BPWR|6DUR|aRCR
10	11433 41153	6	   	280.82	DCR|5VULN|2CDMG|2AART|1DUR	15CDMG|24579VULN|36AART|5BPWR|8DUR|aRCR
11	11433 42153	7	   	280.82	DCR|5VULN|2CDMG|2AART|1DUR	15CDMG|24579VULN|36AART|5BPWR|8DUR|aRCR
12	63624 21113	3	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	126DUR|37DMG|47BEXP|567VULN|67BPWR|8CDMG|9ERES|aRCR
13	11452 33133	4	   	278.03	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	1CDMG|2568VULN|3AART|45DUR|5BPWR|7LHND|9TLV|aRCR
14	11452 34133	4	   	278.03	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	1CDMG|2568VULN|3AART|45DUR|5BPWR|7FEWX|9TLV|aRCR
15	11423 33264	7	   	276.29	DCR|3VULN|2DMG|2CDMG|2AART|1DUR	15CDMG|258VULN|34AART|5BPWR|6DUR|79DMG|aRCR
16	11423 34223	9	   	275.87	DCR|4VULN|2DUR|2CDMG|2AART	15CDMG|2578VULN|34AART|5BPWR|69DUR|aRCR
17	11433 34623	9	   	275.87	DCR|4VULN|2DUR|2CDMG|2AART	15CDMG|2457VULN|38AART|5BPWR|69DUR|aRCR
18	11433 33345	7	   	275.49	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	15CDMG|245VULN|3AART|5BPWR|6DUR|7DMG|8RCR|9TLV|aLIT
19	15243 21112	1	 * 	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	157CDMG|2RPLT|345DUR|57BPWR|678VULN|9DMG|aRCR
20	15244 21112	1	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|2RPLT|346DUR|567VULN|67BPWR|9DMG|aRCR
21	63153 21112	1	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	135DUR|2RPLT|457CDMG|57BPWR|678VULN|9DMG|aRCR
22	64153 21112	2	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	135DUR|2RPLT|457CDMG|57BPWR|678VULN|9DMG|aRCR
23	66141 32133	1	   	275.01	DCR|4VULN|3DUR|1CDMG|1AART	146DUR|236aVULN|5AART|6BPWR|7RCR|8CDMG|9MLV
