0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33264 22216	6	 * 	296.11	DCR|3VULN|3DMG|3DUR|1CDMG	1BELT|257DUR|367VULN|467DMG|67BPWR|8CDMG|9ERES|aRCR
2	33264 22522	6	   	290.77	DCR|3VULN|3DMG|3DUR	1BELT|257DUR|367VULN|467DMG|67BPWR|8LIT|9ERES|aRCR
3	33251 41362	3	 * 	289.45	DCR|4VULN|3DUR|2DMG	1BELT|259DUR|3679VULN|49DMG|8RPLT|9BPWR|aRCR
4	33261 41362	4	   	289.45	DCR|4VULN|3DUR|2DMG	1BELT|259DUR|3679VULN|49DMG|8RPLT|9BPWR|aRCR
5	33264 22343	6	   	282.56	DCR|3VULN|3DMG|3DUR	1BELT|257DUR|367VULN|467DMG|67BPWR|8RCVC|9BEXP|aRCR
6	33251 42341	3	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	1BELT|257DUR|367VULN|47DMG|7BPWR|8LHND|9RCR|aASPD
7	33261 42341	4	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	1BELT|257DUR|367VULN|47DMG|7BPWR|8LHND|9RCR|aASPD
8	42263 12313	1	 * 	275.33	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|268DUR|3CGEN|4DMG|568VULN|68BPWR|9RCR|aFEWX
9	42263 12315	1	   	275.33	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|268DUR|3CGEN|4DMG|568VULN|68BPWR|9RCR|aBELT
10	42263 12316	1	   	275.33	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|268DUR|3CGEN|4DMG|568VULN|68BPWR|9RCR|aLHND
11	42263 12311	1	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|268DUR|3CGEN|4DMG|568VULN|68BPWR|9RCR|aTBNT
12	42263 12312	1	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	178CDMG|268DUR|3CGEN|4DMG|568VULN|68BPWR|9RCR|aERES
13	33261 53421	6	   	270.92	DCR|3VULN|2DMG|2DUR|2AART	1BELT|29DUR|367VULN|46DMG|58AART|6BPWR|aRCR
14	33224 13263	9	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	1BELT|2aDUR|37aVULN|4LWND|5RPLT|6TLV|8RCR|9aDMG|aBPWR
15	33325 55223	8	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1BELT|29aDUR|3TLV|4aDMG|5CDMG|6ZMB|7aVULN|8RCR|aBPWR
16	33243 61613	10	   	269.77	DCR|4VULN|3DUR	1BELT|267DUR|3678VULN|4AART|5RPLT|67BPWR|9LIT|aRCR
17	33243 61613	9	   	269.77	DCR|4VULN|3DUR	1BELT|267DUR|3678VULN|4AART|5RPLT|67BPWR|9LIT|aRCR
18	33323 21213	9	 * 	269.29	DCR|3VULN|3DUR|3TLV|1DMG	1BELT|29aDUR|39aTLV|4DMG|5LHND|6RPLT|79aVULN|8RCR|9aBPWR
19	33262 22413	6	   	269.24	DCR|3VULN|3DMG|2DUR	1BELT|27DUR|367VULN|467DMG|5DMSP|67BPWR|8DUST|9BEXP|aRCR
20	33251 52216	3	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	1BELT|257DUR|37VULN|467DMG|7BPWR|8CDMG|9ERES|aRCR
21	33261 52216	4	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	1BELT|257DUR|37VULN|467DMG|7BPWR|8CDMG|9ERES|aRCR
22	33266 21422	10	   	269.04	DCR|3VULN|3DMG|2DUR|1NUKE	1BELT|2aDUR|36aVULN|456DMG|6aBPWR|7aERES|8RCR|9NUKE
23	35611 11533	10	 * 	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	1BELT|2aDMG|37aVULN|4LIT|5DUR|6RCR|8MBVNT|9aASPD|aBPWR
24	33251 42343	3	   	266.81	DCR|3VULN|3DUR|2DMG	1BELT|257DUR|367VULN|47DMG|7BPWR|8LHND|9RCR|aRMIN
25	33261 42343	4	   	266.81	DCR|3VULN|3DUR|2DMG	1BELT|257DUR|367VULN|47DMG|7BPWR|8LHND|9RCR|aRMIN
26	33223 42121	3	   	266.71	DCR|3VULN|3DUR|2DMG	1BELT|279DUR|367VULN|4DMSP|57DMG|7BPWR|8DLOT|aRCR
27	33251 42342	3	   	266.71	DCR|3VULN|3DUR|2DMG	1BELT|257DUR|367VULN|47DMG|7BPWR|8LHND|9RCR|aBBNT
28	33261 42342	4	   	266.71	DCR|3VULN|3DUR|2DMG	1BELT|257DUR|367VULN|47DMG|7BPWR|8LHND|9RCR|aBBNT
29	33262 42121	5	   	266.71	DCR|3VULN|3DUR|2DMG	1BELT|279DUR|367VULN|47DMG|5DMSP|7BPWR|8DLOT|aRCR
30	33264 26221	9	   	266.71	DCR|3VULN|3DUR|2DMG	1BELT|257DUR|36aVULN|46DMG|6BPWR|8RPLT|9RCR
31	33264 21121	6	   	266.61	DCR|3VULN|3DUR|2DMG	1BELT|259DUR|367VULN|46DMG|6BPWR|8DLOT|aRCR
32	33251 44132	3	   	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1BELT|259DUR|369VULN|49DMG|7SELL|8MBVNT|9BPWR|aRCR
33	33261 44132	4	   	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1BELT|259DUR|369VULN|49DMG|7SELL|8MBVNT|9BPWR|aRCR
