0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23615 11125	7	 * 	292.08	DCR|4VULN|3DMG|2DUR	18FEWX|2458VULN|345DMG|458BPWR|68MLV|7RCR|9aDUR
2	23611 41143	7	 * 	290.89	DCR|5VULN|2DMG|2LIT|1ASPD	1aFEWX|2479aVULN|34DMG|4aBPWR|5ASPD|6aLIT|8RCR
3	23611 41343	8	   	290.89	DCR|5VULN|2DMG|2LIT|1ASPD	1aFEWX|2479aVULN|34DMG|4aBPWR|5ASPD|6aLIT|8RCR
4	23612 55333	10	   	290.84	DCR|4VULN|3DMG|1DUR|1CDMG	1FEWX|248aVULN|349DMG|4BPWR|5DUR|6CDMG|7RCR
5	23612 63311	6	   	290.74	DCR|5VULN|2DMG|1DUR|1AART	1FEWX|2467aVULN|34DMG|4BPWR|5DUR|8RCR|9AART
6	23612 63311	5	   	290.74	DCR|5VULN|2DMG|1DUR|1AART	1FEWX|2467aVULN|34DMG|4BPWR|5DUR|8RCR|9AART
7	23611 42334	3	 * 	290.01	DCR|4VULN|2DMG|2ASPD|1CDMG|1AART	1aFEWX|247aVULN|34DMG|4aBPWR|5AART|6CDMG|8aASPD|9RCR
8	23611 42334	4	   	290.01	DCR|4VULN|2DMG|2ASPD|1CDMG|1AART	1aFEWX|247aVULN|34DMG|4aBPWR|5AART|6CDMG|8aASPD|9RCR
9	23612 55313	8	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1FEWX|2489VULN|34DMG|4BPWR|5aDUR|6CDMG|7RCR
10	23615 22143	7	 * 	289.40	DCR|3VULN|3DMG|2DUR|2TLV	18FEWX|245VULN|345DMG|458BPWR|68DUR|78TLV|9LWND|aRCR
11	23615 11133	7	 * 	289.09	DCR|5VULN|3DMG	18FEWX|2458aVULN|345DMG|458BPWR|68MLV|7RCR|9LIT
12	23615 52133	5	   	288.30	DCR|4VULN|3DMG|1DUR|1ASPD	1FEWX|2457VULN|345DMG|45BPWR|6RMIN|8ASPD|9RCR|aDUR
13	23615 11121	7	   	285.80	DCR|4VULN|3DMG|1DUR	18FEWX|2458VULN|345DMG|458BPWR|68MLV|7RCR|9DUR|aLIT
14	23612 62311	7	   	285.79	DCR|4VULN|2DMG|2DUR|1AART	1FEWX|246aVULN|34DMG|4BPWR|57DUR|8RCR|9AART
15	23612 63313	5	   	285.79	DCR|4VULN|2DMG|2DUR|1AART	1FEWX|2467VULN|34DMG|4BPWR|5aDUR|8RCR|9AART
16	23612 63313	6	   	285.79	DCR|4VULN|2DMG|2DUR|1AART	1FEWX|2467VULN|34DMG|4BPWR|5aDUR|8RCR|9AART
17	23612 55211	10	   	284.85	DCR|4VULN|2DMG|1DUR|1CDMG|1AART	1FEWX|249aVULN|34DMG|4BPWR|5DUR|6CDMG|7RCR|8AART
18	23615 43112	6	   	284.55	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|345DMG|45BPWR|6LWND|7RCR|8CDMG|9DUR|aTLV
19	23615 53112	6	   	284.55	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|345DMG|45BPWR|6LHND|7RCR|8CDMG|9DUR|aTLV
20	23615 22236	10	   	284.55	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|345DMG|45BPWR|6DUR|7TLV|8RPLT|9CDMG|aRCR
21	23615 22313	10	   	284.55	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|345DMG|45BPWR|6DUR|7TLV|8CGEN|9CDMG|aRCR
22	23615 22413	10	   	284.45	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|345DMG|45BPWR|6DUR|7TLV|8ERES|9CDMG|aRCR
23	23611 55223	10	   	283.12	DCR|3VULN|3DMG|2TLV|1CDMG|1ASPD	18FEWX|24aVULN|348DMG|48BPWR|5ASPD|6CDMG|78TLV|9RCR
24	23615 11312	7	 * 	282.46	DCR|3VULN|3DMG|3DUR	1FEWX|245VULN|345DMG|45BPWR|6MLV|7RCR|89aDUR
25	23612 55311	8	 * 	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1FEWX|2489VULN|34DMG|4BPWR|5DUR|6aCDMG|7RCR
26	23611 41335	10	   	280.85	DCR|4VULN|2DMG|1TLV|1ASPD	1FEWX|247aVULN|34DMG|4BPWR|5ASPD|6LIT|8RCR|9TLV
27	23615 11242	7	   	280.58	DCR|5VULN|3DMG	19FEWX|2458aVULN|345DMG|45BPWR|6MLV|7RCR
28	23615 11131	7	   	279.21	DCR|4VULN|3DMG|1AART	18FEWX|2458VULN|345DMG|458BPWR|68MLV|7RCR|9LIT|aAART
29	23615 21612	7	   	279.21	DCR|3VULN|3DMG|1TLV|1DUR	1FEWX|245VULN|345DMG|45BPWR|6DUR|7LIT|8RCR|9BEXP|aTLV
30	23615 22152	9	   	279.21	DCR|3VULN|3DMG|1TLV|1DUR	1FEWX|245VULN|345DMG|45BPWR|6DUR|7TLV|8LWND|9LIT|aRCR
31	35125 31512	1	 * 	278.50	DCR|4VULN|2DUR|3LIT|1DMG	168LIT|2458VULN|38DUR|7RCR|8BPWR|9DMSP|aDMG
32	36125 31512	2	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	168LIT|2458VULN|38DUR|7RCR|8BPWR|9DMSP|aDMG
33	41151 12334	1	 * 	278.29	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR|1AART	1AART|27aVULN|35aCDMG|4DMG|6DUR|8aASPD|9RCR|aBPWR
34	23614 12631	4	   	277.99	DCR|4VULN|2DMG|1TLV|1DUR	18FEWX|2489VULN|34DMG|48BPWR|5TLV|6RCR|78LHND|aDUR
35	23614 12631	3	   	277.99	DCR|4VULN|2DMG|1TLV|1DUR	18FEWX|2489VULN|34DMG|48BPWR|5TLV|6RCR|78LHND|aDUR
36	23615 11115	7	   	277.49	DCR|4VULN|3DMG|1DUR	18FEWX|2458VULN|345DMG|458BPWR|68MLV|7RCR|9LHND|aDUR
37	23615 11122	7	   	277.49	DCR|4VULN|3DMG|1DUR	18FEWX|2458VULN|345DMG|458BPWR|68MLV|7RCR|9DUR|aLWND
38	23615 11123	7	   	277.49	DCR|4VULN|3DMG|1DUR	18FEWX|2458VULN|345DMG|458BPWR|68aMLV|7RCR|9DUR
39	23615 11124	7	   	277.49	DCR|4VULN|3DMG|1DUR	18FEWX|2458VULN|345DMG|458BPWR|68MLV|7RCR|9DUR|aZMB
40	23615 11126	7	   	277.49	DCR|4VULN|3DMG|1DUR	18FEWX|2458VULN|345DMG|458BPWR|68MLV|7RCR|9DUR|aRMIN
41	41633 22334	1	   	277.47	DCR|3VULN|3DUR|2DMG|1ASPD|1AART|1SELL	1AART|27aVULN|3ASPD|46aDUR|5SELL|8aDMG|9RCR|aBPWR
42	23615 11212	7	   	277.29	DCR|4VULN|3DMG|1DUR	1FEWX|2458VULN|345DMG|45BPWR|6MLV|7RCR|9BEXP|aDUR
43	23615 11214	10	   	277.29	DCR|4VULN|3DMG|1DUR	1FEWX|245aVULN|345DMG|45BPWR|6MLV|7RCR|8RPLT|9DUR
44	23615 11222	7	   	277.29	DCR|4VULN|3DMG|1DUR	1FEWX|2458VULN|345DMG|45BPWR|6MLV|7RCR|9LWND|aDUR
45	23615 11361	10	   	277.29	DCR|4VULN|3DMG|1DUR	1FEWX|2459VULN|345DMG|45BPWR|6MLV|7RCR|8CGEN|aDUR
46	23615 52333	5	   	277.29	DCR|4VULN|3DMG|1DUR	1FEWX|2457VULN|345DMG|45BPWR|6RMIN|8ZMB|9RCR|aDUR
