0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62531 15111	8	 * 	305.22	DCR|4VULN|3DMG|3CDMG	1278VULN|3AART|4BELT|578DMG|678CDMG|78BPWR|9LIT|aRCR
2	62332 13325	3	   	292.01	DCR|4VULN|3DMG|2TLV|1ASPD	124aVULN|3aTLV|5ASPD|6RCR|7LWND|89aDMG|aBPWR
3	62332 14325	3	   	292.01	DCR|4VULN|3DMG|2TLV|1ASPD	124aVULN|3aTLV|5ASPD|6RCR|7LHND|89aDMG|aBPWR
4	62332 13315	3	 * 	286.57	DCR|4VULN|2DMG|2ASPD|2TLV	124aVULN|3aTLV|59ASPD|6RCR|7LWND|8aDMG|aBPWR
5	62332 14315	3	   	286.57	DCR|4VULN|2DMG|2ASPD|2TLV	124aVULN|3aTLV|59ASPD|6RCR|7LHND|8aDMG|aBPWR
6	14133 53163	2	 * 	285.59	DCR|3VULN|3DMG|2DUR|1TLV	19aBEXP|29aDMG|34DUR|5TLV|6TBNT|7RCR|89aVULN|9aBPWR
7	34133 53163	2	   	285.29	DCR|3VULN|3DMG|2DUR|1TLV	19aDUST|29aDMG|34DUR|5TLV|6TBNT|7RCR|89aVULN|9aBPWR
8	62332 11561	3	   	285.13	DCR|4VULN|2ASPD|3LIT|1DMG|1TLV	1249VULN|3TLV|59ASPD|6RCR|789LIT|9BPWR|aDMG
9	62332 11562	3	   	281.31	DCR|4VULN|2ASPD|3LIT|1TLV|1DUR	1249VULN|3TLV|59ASPD|6RCR|789LIT|9BPWR|aDUR
10	64632 21311	4	   	280.66	DCR|4VULN|3DMG|2TLV|1SELL	138aVULN|269DMG|46TLV|5SELL|6BPWR|7RCR
11	62416 13131	1	 * 	277.98	DCR|5VULN|2DUR|1DMG	15679VULN|28DUR|3CGEN|4DMG|aRCR
12	64161 13131	2	   	277.98	DCR|5VULN|2DUR|1DMG	14579VULN|2DMG|38DUR|6CGEN|aRCR
13	66116 13131	2	   	277.98	DCR|5VULN|2DUR|1DMG	15679VULN|2CGEN|38DUR|4DMG|aRCR
14	62332 11163	3	   	277.85	DCR|4VULN|2DUR|2TLV|1ASPD	1249VULN|39TLV|5ASPD|6RCR|7LIT|89DUR|9BPWR|aCGEN
15	62332 11164	3	   	277.85	DCR|4VULN|2DUR|2TLV|1ASPD	1249VULN|39TLV|5ASPD|6RCR|7LIT|89DUR|9BPWR|aMLV
16	62332 11161	3	   	277.75	DCR|4VULN|2DUR|2TLV|1ASPD	1249VULN|39TLV|5ASPD|6RCR|7LIT|89DUR|9BPWR|aDUST
17	62332 11162	3	   	277.75	DCR|4VULN|2DUR|2TLV|1ASPD	1249VULN|39TLV|5ASPD|6RCR|7LIT|89DUR|9BPWR|aERES
18	62332 11166	3	   	277.75	DCR|4VULN|2DUR|2TLV|1ASPD	1249VULN|39TLV|5ASPD|6RCR|7LIT|89DUR|9BPWR|aTBNT
19	62312 33325	4	 * 	275.97	ACR|4VULN|3DMG|2TLV|1DUR|1ASPD	127aVULN|3aTLV|4RCR|5ASPD|6DUR|89aDMG|aBPWR
