0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11314 23366	10	 * 	288.52	DCR|4VULN|3DMG|3ASPD|1DUR	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678aVULN|78BPWR|9RCR
2	65223 43446	2	 * 	282.57	DCR|4VULN|3DMG|2TLV	19TLV|2459VULN|3MBVNT|6BBNT|789DMG|9BPWR|aRCR
3	11314 23361	10	 * 	282.05	DCR|3VULN|3DMG|2DUR|3ASPD	1RPLT|2DMSP|378ASPD|4aDUR|578DMG|678VULN|78BPWR|9RCR
4	15314 23361	10	   	282.05	DCR|3VULN|3DMG|2DUR|3ASPD	1RPLT|2RCVC|378ASPD|4aDUR|578DMG|678VULN|78BPWR|9RCR
5	51333 45231	3	 * 	271.70	DCR|3VULN|3DMG|3DUR	1RMIN|278DUR|3aBEXP|478DMG|578VULN|6RPLT|78BPWR|9RCR
6	51333 45232	3	   	271.70	DCR|3VULN|3DMG|3DUR	1RMIN|278DUR|3BEXP|478DMG|578VULN|6RPLT|78BPWR|9RCR|aFEWX
7	51333 45233	3	   	271.70	DCR|3VULN|3DMG|3DUR	1RMIN|278DUR|3BEXP|478DMG|578VULN|6RPLT|78BPWR|9RCR|aMLV
8	51334 23231	7	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aLWND
9	51334 23232	7	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3aBEXP|4SELL|578DMG|678VULN|78BPWR|9RCR
10	51334 23233	7	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aLHND
11	51334 23234	7	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aFEWX
12	51334 23331	8	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aLWND
13	51334 23332	8	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3aBEXP|4SELL|578DMG|678VULN|78BPWR|9RCR
14	51334 23333	8	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aLHND
15	51334 23334	8	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aFEWX
16	51334 25231	6	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aLWND
17	51334 25232	6	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3aBEXP|4SELL|578DMG|678VULN|78BPWR|9RCR
18	51334 25233	6	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aLHND
19	51334 35231	5	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aLWND
20	51334 35232	5	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3aBEXP|4SELL|578DMG|678VULN|78BPWR|9RCR
21	51334 35233	5	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aLHND
22	51434 23231	7	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3FEWX|4SELL|578DMG|678VULN|78BPWR|9RCR|aLWND
23	51434 23232	7	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3FEWX|4SELL|578DMG|678VULN|78BPWR|9RCR|aBEXP
24	51434 23233	7	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3FEWX|4SELL|578DMG|678VULN|78BPWR|9RCR|aMLV
25	51434 23331	8	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3FEWX|4SELL|578DMG|678VULN|78BPWR|9RCR|aLWND
26	51434 23332	8	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3FEWX|4SELL|578DMG|678VULN|78BPWR|9RCR|aBEXP
27	51434 23333	8	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3FEWX|4SELL|578DMG|678VULN|78BPWR|9RCR|aMLV
28	51334 23235	7	   	271.36	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aDUST
29	51334 23335	8	   	271.36	DCR|3VULN|3DMG|3DUR|1SELL	1RMIN|278DUR|3BEXP|4SELL|578DMG|678VULN|78BPWR|9RCR|aDUST
30	11314 23526	10	   	270.39	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	1RPLT|2DMSP|37ASPD|4DUR|57DMG|67aVULN|7BPWR|8RCR|9TLV
