0	Index      	 *	Score 	Summary	Detail	
1	11122 41451	 * 	322.02	DCR|DCR|2VULN|1TLV|1LIT|1MLV	1MLV|2ERES|34VULN|5TLV|6BBNT|79RCR|8BELT|aLIT
2	12223 11235	   	319.97	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1MLV|2LWND|3ZMB|4VULN|5DMG|6CDMG|7TLV|89RCR|aLIT
3	23433 12125	   	313.78	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1BBNT|2VULN|3DUR|4RPLT|5TLV|6SNIFST|7LIT|8aRCR|9MLV
4	15344 22231	 * 	313.23	DCR|2VULN|2TLV|2DMG|1LIT|1MLV|1SELL	1MLV|2aDMG|3SELL|4BEXP|5LIT|6aTLV|7DUR|8RCR|9aVULN|aBPWR
5	15334 22231	 * 	313.13	DCR|2VULN|2TLV|2DMG|1LIT|1MLV|1SELL	1MLV|2aDMG|3SELL|4DUST|5LIT|6aTLV|7DUR|8RCR|9aVULN|aBPWR
6	23433 51141	 * 	306.83	DCR|2VULN|2TLV|2MLV|1LIT	1BBNT|2aVULN|3DUR|4RPLT|5aTLV|6RCR|7LHND|8LIT|9aMLV|aBPWR
7	23433 53141	   	306.83	DCR|2VULN|2TLV|2MLV|1LIT	1BBNT|2aVULN|3DUR|4RPLT|5aTLV|6RCR|7LWND|8LIT|9aMLV|aBPWR
8	62223 11235	   	304.60	DCR|DCR|1TLV|1LIT|1VULN|1DMG|1CDMG	1CGEN|2LWND|3ZMB|4VULN|5DMG|6CDMG|7TLV|89RCR|aLIT
9	15344 21231	 * 	303.57	DCR|2VULN|2TLV|2DMG|1LIT|1MLV|1SELL	1MLV|2aDMG|3SELL|4BEXP|5LIT|6aTLV|7LWND|8RCR|9aVULN|aBPWR
10	15334 21231	 * 	303.47	DCR|2VULN|2TLV|2DMG|1LIT|1MLV|1SELL	1MLV|2aDMG|3SELL|4DUST|5LIT|6aTLV|7LWND|8RCR|9aVULN|aBPWR
11	15334 26231	 * 	303.47	DCR|2VULN|2TLV|2DMG|1LIT|1MLV|1SELL	1MLV|2aDMG|3SELL|4DUST|5LIT|6aTLV|7BEXP|8RCR|9aVULN|aBPWR
12	15625 11231	 * 	300.83	DCR|2TLV|3DMG|1VULN|2ASPD|1MLV|1CDMG	1MLV|29aDMG|3DUST|4VULN|59ASPD|6CDMG|79TLV|8RCR|9BPWR
13	15163 26112	   	296.18	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1CDMG	1MLV|2DMG|3VULN|4TLV|5CDMG|6RPLT|7aRCR|8BEXP|9BELT
14	11322 41451	   	295.82	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1MLV|2ERES|3DMSP|4VULN|5TLV|6BBNT|79RCR|8BELT|aLIT
15	53344 12231	 * 	295.79	DCR|2VULN|2TLV|2LIT|1MLV|1SELL	1NUKE|2aTLV|3SELL|4BEXP|5aLIT|6MLV|7DUR|8RCR|9aVULN|aBPWR
16	11222 41451	   	295.72	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1MLV|23ERES|4VULN|5TLV|6BBNT|79RCR|8BELT|aLIT
17	53315 12461	 * 	295.69	DCR|2VULN|2TLV|2LIT|1MLV|1SELL	1NUKE|2aTLV|3SELL|4aVULN|5DUR|6MBVNT|7MLV|8RCR|9aLIT|aBPWR
18	53334 12231	 * 	295.69	DCR|2VULN|2TLV|2LIT|1MLV|1SELL	1NUKE|2aTLV|3SELL|4DUST|5aLIT|6MLV|7DUR|8RCR|9aVULN|aBPWR
19	32423 11232	   	295.62	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ERES|2ASPD|3LEGI|4VULN|5DMG|6CDMG|7TLV|89RCR|aBBNT
