0	Index      	 *	Score 	Summary	Detail	
1	25562 21123	 * 	286.53	DCR|2TLV|2LIT|2MLV|3CDMG|1ASPD	1TBNT|2RMIN|358CDMG|45LIT|58BPWR|68MLV|78TLV|9ASPD|aRCR
2	52235 23621	 * 	280.34	DCR|DCR|1TLV|1LIT|1VULN|1DUR	1FEWX|2GSSFST|3AIRHEL|4LHND|5DUR|6TLV|79RCR|8LIT|aVULN
3	55234 22223	 * 	273.40	DCR|3VULN|1TLV|1LIT|1DMG|1BBNT	1FEWX|2DMG|3BBNT|4AART|5LIT|69aVULN|7TLV|8RCR
4	31742 81843	 * 	272.40	DCR|DCR|2VULN|2LIT|1DUR	1aERES|2MBVNT|37RMIN|4DUR|5aVULN|69RCR|8aLIT|aBPWR
5	56121 23122	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1aFEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP
6	56121 23123	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP|aCGEN
7	56121 23124	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP|aBELT
8	56121 23125	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP|aRCVC
9	56121 23126	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8aBEXP
10	56121 23522	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1aFEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8LHND
11	56121 23523	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8LHND|aCGEN
12	52121 23122	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1aFEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP
13	52121 23123	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP|aCGEN
14	52121 23124	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP|aBELT
15	52121 23125	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP|aRCVC
16	52121 23126	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8aBEXP
17	52121 23522	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1aFEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8LHND
18	52121 23523	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8LHND|aCGEN
