0	Index      	 *	Score 	Summary	Detail	
1	26315 12623	 * 	228.36	紫3基地爆炸2伤害2攻速1全技能1暴击	1全技能238基地爆炸38序列升级4核58伤害6立即金币78攻速9掉矿a暴击
2	24115 13143	 * 	225.89	紫3伤害3易伤2基地爆炸2全技能	17全技能29火球减费3a基地爆炸4核59a伤害6立即金币89a易伤9a序列升级
3	26315 13143	 * 	223.22	紫3基地爆炸2伤害2全技能2易伤1暴击	17全技能239基地爆炸39序列升级4核59伤害6立即金币89易伤a暴击
4	33416 43331	 * 	218.78	紫2基础对甲2基地爆炸2全技能1伤害	1a敌人爆炸2策反39全技能4a基地爆炸5核6伤害7时间8a基础对甲a序列升级
5	24115 61312	   	218.30	紫1基础对甲2基地爆炸1伤害1全技能1暴击1技能	1全技能2火球减费39基地爆炸4核5伤害6防空对直升7暴击8技能a基础对甲
6	13316 44311	 * 	217.59	紫2基础对甲3基地爆炸1伤害1全技能	1a低血量敌人2策反3全技能49a基地爆炸5核6伤害7敌人爆炸8a基础对甲a序列升级
7	33416 43311	   	217.59	紫2基础对甲3基地爆炸1伤害1全技能	1a敌人爆炸2策反3全技能49a基地爆炸5核6伤害7时间8a基础对甲a序列升级
8	24115 12623	   	216.99	紫2伤害2攻速2基地爆炸1全技能1暴击	1全技能28火球减费3a基地爆炸4核58伤害6立即金币78攻速8序列升级9暴击
9	26313 63631	 * 	216.51	紫1基础对甲2基地爆炸1伤害1攻速1全技能	1全技能23基地爆炸3序列升级4核5雷电6双倍秒伤7基础对甲8攻速9时间a伤害
10	26315 12631	   	214.81	紫3基地爆炸2伤害2攻速1全技能	1全技能238基地爆炸38序列升级4核58伤害6立即金币78攻速9低血量敌人a金币生成
11	26315 12633	   	214.81	紫3基地爆炸2伤害2攻速1全技能	1全技能238基地爆炸38序列升级4核58伤害6立即金币78攻速9低血量敌人a雷电
12	26315 12611	   	214.71	紫3基地爆炸2伤害2攻速1全技能	1全技能238基地爆炸38序列升级4核58伤害6立即金币78攻速9挖尘a金币生成
13	26315 12613	   	214.71	紫3基地爆炸2伤害2攻速1全技能	1全技能238基地爆炸38序列升级4核58伤害6立即金币78攻速9挖尘a雷电
14	26315 12621	   	214.71	紫3基地爆炸2伤害2攻速1全技能	1全技能238基地爆炸38序列升级4核58伤害6立即金币78攻速9掉矿a最后敌人
