0	Index      	 *	Score 	Summary	Detail	
1	21435 31432	 * 	388.68	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|368BEXP|469VULN|5AETHUN|6BPWR|7RCR|aMDPS
2	21226 22361	 * 	383.35	DCR|2VULN|1MDPS|2DUR|1TLV|1AART	1AART|24DUR|3TLV|5TBNT|67VULN|8RCR|9MDPS|aASPD
3	21226 22362	 * 	383.35	DCR|3VULN|1MDPS|2DUR|1TLV|1AART	1AART|24DUR|3TLV|5TBNT|67aVULN|8RCR|9MDPS
4	21226 22363	   	383.35	DCR|2VULN|1MDPS|2DUR|1TLV|1AART	1AART|24DUR|3TLV|5TBNT|67VULN|8RCR|9MDPS|aERES
5	21226 22365	   	383.35	DCR|2VULN|1MDPS|2DUR|1TLV|1AART	1AART|24DUR|3TLV|5TBNT|67VULN|8RCR|9MDPS|aAEFBLL
6	21226 22366	   	383.35	DCR|2VULN|1MDPS|2DUR|1TLV|1AART	1AART|24DUR|3TLV|5TBNT|67VULN|8RCR|9MDPS|aLIT
7	63332 61126	 * 	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8RPLT|9BASARM|aMDPS
8	63332 61361	   	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8aLHND|9MDPS
9	63332 61362	   	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8LHND|9MDPS|aAIRBOS
10	63332 61363	 * 	371.00	DCR|3VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45aVULN|6RCR|8LHND|9MDPS
11	63332 61211	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR|1MSE	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MSE|aLHND
12	63332 61212	 * 	370.90	DCR|2VULN|1MDPS|3DUR|1CDMG|1MSE	17aDUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MSE
13	63332 61213	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR|1MSE	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MSE|aAEWIND
14	63332 61214	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR|1MSE	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MSE|aLWND
15	63332 61215	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR|1MSE	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MSE|aBEXP
16	63332 61216	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR|1MSE	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MSE|aRAT
17	63332 61221	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9FRZFST|aAETHUN
18	63332 61222	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9FRZFST|aBEXP
19	63332 61223	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9FRZFST|aLHND
20	63332 61224	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9FRZFST|aBELT
21	63332 61225	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9FRZFST|aERES
22	63332 61226	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR|1SELL	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9FRZFST|aSELL
23	63332 61231	 * 	370.90	DCR|2VULN|1MDPS|3DUR|1CDMG	17aDUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9ASPD
24	63332 61232	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR|1AART	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9ASPD|aAART
25	63332 61233	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9ASPD|aRCVC
26	63332 61234	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9ASPD|aLIT
27	63332 61236	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9ASPD|aCGEN
28	63332 61251	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9aLHND
29	63332 61252	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9LHND|aAIRBOS
30	63332 61253	   	370.90	DCR|3VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45aVULN|6RCR|8MDPS|9LHND
31	63332 61261	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MBVNT|aLHND
