0	Index      	 *	Score 	Summary	Detail	
1	13414 23314	 * 	385.55	DCR|DCR|2VULN|1CDMG|1TLV|1DMG|1DUR	1DMG|2CDMG|3RAT|4DUR|5TLV|69RCR|7AME|8aVULN
2	22345 11831	 * 	378.08	DCR|2MDPS|1VULN|1DMG|1DUR	1BEXP|2TBNT|3DMG|4DUR|5RPLT|6RCR|7MBVNT|8VULN|9aMDPS
3	14323 11831	   	377.98	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2DUR|3DUST|4RPLT|5TBNT|6RCR|7MBVNT|8VULN|9aMDPS
4	32345 11831	   	377.98	DCR|2MDPS|1VULN|1DMG|1DUR	1DUST|2TBNT|3DMG|4DUR|5RPLT|6RCR|7MBVNT|8VULN|9aMDPS
5	12423 65223	 * 	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	12DMG|2BPWR|3LHND|4DUST|58VULN|6DUR|7RCR|9TBNT|aMDPS
6	12431 65223	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	12DMG|2BPWR|3LHND|48VULN|5DUST|6DUR|7RCR|9TBNT|aMDPS
7	12432 65223	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	12DMG|2BPWR|3LHND|48VULN|5AETHUN|6DUR|7RCR|9TBNT|aMDPS
8	13414 21241	 * 	366.49	DCR|3VULN|2DMG|1CDMG|1TLV|1DUR	1aDMG|2CDMG|3aRAT|4DUR|5TLV|6RCR|79aVULN|8AETHUN|aBPWR
9	31226 36733	   	357.91	DCR|2MDPS|1VULN|1DUR	1DUST|2LWND|3MULHEA|4DUR|5LIT|6MBVNT|7RCR|8VULN|9aMDPS
10	13111 32133	 * 	356.14	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37BEXP|4DMSP|567VULN|67BPWR|8FEWX|9RCR|aDUR
11	13111 32432	   	356.14	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37aBEXP|4DMSP|567VULN|67BPWR|8DUR|9RCR
12	13111 32433	   	356.14	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37BEXP|4DMSP|567VULN|67BPWR|8DUR|9RCR|aRCVC
13	13111 32435	   	356.14	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37BEXP|4DMSP|567VULN|67BPWR|8DUR|9RCR|aRPLT
14	13111 32436	   	356.14	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37BEXP|4DMSP|567VULN|67BPWR|8DUR|9RCR|aBOSS
15	13111 32431	   	356.04	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37BEXP|4DMSP|567VULN|67BPWR|8DUR|9RCR|aERES
16	13111 32434	   	356.04	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37BEXP|4DMSP|567VULN|67BPWR|8DUR|9RCR|aSNIFST
17	13511 32432	   	355.94	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37DUST|4DMSP|567VULN|67BPWR|8DUR|9RCR|aBEXP
18	13511 32435	   	355.94	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37DUST|4DMSP|567VULN|67BPWR|8DUR|9RCR|aRPLT
19	13511 32436	   	355.94	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37DUST|4DMSP|567VULN|67BPWR|8DUR|9RCR|aBOSS
20	13511 32431	   	355.84	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37DUST|4DMSP|567VULN|67BPWR|8DUR|9RCR|aERES
21	13511 32433	   	355.84	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37aDUST|4DMSP|567VULN|67BPWR|8DUR|9RCR
22	13511 32434	   	355.84	DCR|3VULN|3DMG|1CDMG|1DUR	167DMG|2CDMG|37DUST|4DMSP|567VULN|67BPWR|8DUR|9RCR|aSNIFST
