0	Index      	 *	Score 	Summary	Detail	
1	25221 23262	 * 	397.87	DCR|2MDPS|1VULN|1CDMG|2DUR	1MLV|2CDMG|3VULN|45DUR|6AEWIND|7AME|8RCR|9aMDPS
2	25224 23262	   	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1MLV|2CDMG|3VULN|4DUR|5RCVC|6AEWIND|7AME|8RCR|9aMDPS
3	25322 22662	   	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1MLV|2CDMG|3AEFBLL|4DUR|5AME|6RCVC|7RCR|8VULN|9aMDPS
4	25223 23262	   	385.31	DCR|2MDPS|1VULN|1CDMG|1DUR	1MLV|2CDMG|3VULN|4DUR|5AEFRZ|6AEWIND|7AME|8RCR|9aMDPS
5	25321 23262	   	385.31	DCR|2MDPS|1VULN|1CDMG|1DUR	1MLV|2CDMG|3AEFBLL|4DUR|5VULN|6AEWIND|7AME|8RCR|9aMDPS
6	25421 23262	   	385.31	DCR|2MDPS|1VULN|1CDMG|1DUR	1MLV|2CDMG|3AEFRZ|4DUR|5VULN|6AEWIND|7AME|8RCR|9aMDPS
7	22411 66316	 * 	378.36	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1SELL	1MLV|2MBVNT|3SELL|48VULN|5DUR|6CDMG|7DMG|9RCR|aMDPS
8	32461 32421	 * 	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR|1MSE	1FEWX|24VULN|34CDMG|4BPWR|5MSLTOX|6RCR|7DUR|8MSE|9BELT|aMDPS
9	32461 32431	 * 	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR|1MSE	1FEWX|24VULN|34CDMG|4BPWR|5MSLTOX|6RCR|7DUR|8MSE|9MDPS|aSPLJET
10	32461 32432	 * 	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR|1MSE	1FEWX|24VULN|34CDMG|4BPWR|5MSLTOX|6RCR|7DUR|8MSE|9MDPS|aMBVNT
11	32461 32433	 * 	371.00	DCR|2VULN|1MDPS|2CDMG|2DUR|1MSE	1FEWX|24VULN|34CDMG|4BPWR|5MSLTOX|6RCR|7aDUR|8MSE|9MDPS
12	25221 63315	 * 	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	1MLV|2CDMG|38VULN|45DUR|6NUKE|7RPLT|9RCR|aMDPS
