0	Index      	 *	Score 	Summary	Detail	
1	23344 14333	 * 	430.58	DCR|3VULN|1MDPS|2TLV|2DUR	179VULN|27TLV|34DUR|5RAT|67ERES|7BPWR|8RCR|aMDPS
2	22221 64122	 * 	426.40	DCR|4VULN|1MDPS|2DUR	1467VULN|2BBNT|38DUR|5RCVC|9RCR|aMDPS
3	32321 64122	   	426.40	DCR|4VULN|1MDPS|2DUR	18DUR|2BBNT|3467VULN|5RCVC|9RCR|aMDPS
4	33321 64122	   	426.40	DCR|4VULN|1MDPS|2DUR	18DUR|2TBNT|3467VULN|5RCVC|9RCR|aMDPS
5	31632 14333	   	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	17DUR|27RAT|3TLV|459VULN|67ERES|7BPWR|8RCR|aMDPS
6	31632 15333	   	413.59	DCR|3VULN|1MDPS|2DUR|1TLV	17DUR|2RAT|3TLV|459VULN|6ERES|8RCR|aMDPS
7	23146 32335	 * 	411.72	DCR|2MDPS|1VULN|1CDMG|1TLV	1VULN|2TLV|3RPLT|4RMIN|5ASPD|6RCR|7DUR|8CDMG|9aMDPS
8	22223 25342	   	407.65	DCR|3VULN|1MDPS|2DUR|1DMG	147VULN|2BBNT|37DUR|5RPLT|67ZMB|7BPWR|8DMG|9RCR|aMDPS
9	32323 25342	   	407.65	DCR|3VULN|1MDPS|2DUR|1DMG	17DUR|2BBNT|347VULN|5RPLT|67ZMB|7BPWR|8DMG|9RCR|aMDPS
10	33323 25342	   	407.65	DCR|3VULN|1MDPS|2DUR|1DMG	17DUR|2TBNT|347VULN|5RPLT|67ZMB|7BPWR|8DMG|9RCR|aMDPS
11	22224 25342	   	407.45	DCR|3VULN|1MDPS|2DUR|1DMG	147VULN|2BBNT|37DUR|57ASPD|6RPLT|7BPWR|8DMG|9RCR|aMDPS
12	32324 25342	   	407.45	DCR|3VULN|1MDPS|2DUR|1DMG	17DUR|2BBNT|347VULN|57ASPD|6RPLT|7BPWR|8DMG|9RCR|aMDPS
13	33324 25342	   	407.45	DCR|3VULN|1MDPS|2DUR|1DMG	17DUR|2TBNT|347VULN|57ASPD|6RPLT|7BPWR|8DMG|9RCR|aMDPS
14	31632 12333	   	401.03	DCR|3VULN|1MDPS|1TLV	1DUR|2RAT|3TLV|459VULN|67ERES|8RCR|aMDPS
