0	Index      	 *	Score 	Summary	Detail	
1	15611 33613	 * 	307.62	DCR|2LIT|3MLV|2VULN|2DMG|1SELL	1SELL|247MLV|37DMG|5RCVC|67VULN|7BPWR|89LIT|aRCR
2	15611 33633	 * 	306.52	DCR|3MLV|3VULN|1LIT|2DMG|1SELL	1SELL|247MLV|37DMG|5RCVC|679VULN|7BPWR|8LIT|aRCR
3	36215 31222	 * 	288.74	DCR|2LIT|2FLTARM|2VULN|1CDMG	19FEWX|2RPLT|39FLTARM|46VULN|5CDMG|7RCR|89LIT|9BPWR|aZMB
4	26215 31222	   	288.54	DCR|2LIT|2FLTARM|2VULN|1CDMG	19DUST|2RPLT|39FLTARM|46VULN|5CDMG|7RCR|89LIT|9BPWR|aZMB
5	36215 31223	   	281.80	DCR|2LIT|2FLTARM|2VULN|1CDMG	19FEWX|2RPLT|39FLTARM|46VULN|5CDMG|7RCR|89LIT|9BPWR|aLWND
6	36215 31225	   	281.80	DCR|2LIT|2FLTARM|2VULN|1CDMG	19FEWX|2RPLT|39FLTARM|46VULN|5CDMG|7RCR|89LIT|9BPWR|aLHND
7	31553 11223	 * 	281.77	DCR|3LIT|2VULN|2ASPD|1DMG	1FEWX|29ASPD|3CANARM|4ZMB|59VULN|6DMG|7RCR|89aLIT|9BPWR
8	36215 31221	   	281.70	DCR|2LIT|2FLTARM|2VULN|1CDMG	19FEWX|2RPLT|39FLTARM|46VULN|5CDMG|7RCR|89LIT|9BPWR|aERES
9	21553 11223	   	281.67	DCR|3LIT|2VULN|2ASPD|1DMG	1DUST|29ASPD|3CANARM|4ZMB|59VULN|6DMG|7RCR|89aLIT|9BPWR
10	26215 31223	   	281.60	DCR|2LIT|2FLTARM|2VULN|1CDMG	19DUST|2RPLT|39FLTARM|46VULN|5CDMG|7RCR|89LIT|9BPWR|aLWND
11	26215 31225	   	281.60	DCR|2LIT|2FLTARM|2VULN|1CDMG	19DUST|2RPLT|39FLTARM|46VULN|5CDMG|7RCR|89LIT|9BPWR|aLHND
12	26215 31221	   	281.50	DCR|2LIT|2FLTARM|2VULN|1CDMG	19DUST|2RPLT|39FLTARM|46VULN|5CDMG|7RCR|89LIT|9BPWR|aERES
