0	Index      	 *	Score 	Summary	Detail	
1	24334 51232	 * 	290.47	DCR|3LIT|3ASPD|1VULN|1MLV|1DMG	1DMG|256LIT|3RMIN|456ASPD|56BPWR|7BEXP|8RCR|9VULN|aMLV
2	25631 22142	 * 	287.84	DCR|2MLV|1LIT|3DMG|1FLTARM|1VULN	139DMG|2VULN|49CGEN|5FLTARM|6DUST|7RCR|89MLV|9BPWR|aLIT
3	22251 14213	 * 	287.16	DCR|2LIT|1FLTARM|2DMG|1MLV|1VULN	17DMG|2FEWX|3FLTARM|4RCVC|56LIT|8VULN|9MLV|aRCR
4	13712 24635	 * 	284.65	DCR|2LIT|2MLV|3VULN	1AART|2MBVNT|39LHND|47aVULN|59LIT|69MLV|8RCR|9BPWR
5	13122 25635	   	284.50	DCR|2LIT|2MLV|3VULN	1AART|2MBVNT|3LEGI|49aVULN|59LIT|69MLV|7DMSP|8RCR|9BPWR
6	24134 24211	 * 	282.55	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	15DMG|26LIT|3ZMB|45ASPD|5BPWR|7VULN|8FRZICY|9MLV|aRCR
7	24134 26211	   	282.55	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	15DMG|26LIT|3ZMB|45ASPD|5BPWR|7VENTOX|8VULN|9MLV|aRCR
8	25631 22122	   	281.30	DCR|1LIT|3DMG|1FLTARM|1VULN|1MLV	139DMG|2VULN|4CGEN|5FLTARM|6DUST|7RCR|8MLV|aLIT
9	26224 32111	 * 	280.92	DCR|2LIT|2VULN|2DMG|1MLV|1DUR	18DMG|2RMIN|3DUR|46VULN|5MLV|7RCR|9aLIT
10	24234 13161	 * 	280.82	DCR|3LIT|2VULN|1MLV|1DMG	1DMG|245LIT|35FEWX|5BPWR|6RMIN|7RCR|8aVULN|9MLV
11	24334 16121	   	280.72	DCR|3LIT|1VULN|1MLV|2ASPD|1DMG	1DMG|25aLIT|3RMIN|45ASPD|5BPWR|6MLV|7RCR|8CGEN|9VULN
12	65133 36333	 * 	280.28	DCR|3VULN|1LIT|1FLTARM|1MLV|1DUR	1LWND|269VULN|3DUR|4BELT|5LIT|7RCR|8FLTARM|aMLV
13	22533 34151	 * 	280.07	DCR|3LIT|2VULN|2DMG|1ASPD	19DMG|2FEWX|39VULN|4RCVC|569LIT|7RCR|8RMIN|9BPWR|aASPD
14	13712 24636	 * 	277.38	DCR|3LIT|2MLV|2VULN	1AART|2MBVNT|39LHND|47VULN|59aLIT|69MLV|8RCR|9BPWR
15	13122 25636	   	277.23	DCR|3LIT|2MLV|2VULN	1AART|2MBVNT|3LEGI|49VULN|59aLIT|69MLV|7DMSP|8RCR|9BPWR
16	25522 33311	 * 	277.22	DCR|2MLV|1LIT|2VULN|1DMG|2CDMG	1DMG|2aVULN|3LIT|4ERES|5aCDMG|6RMIN|7BEXP|8RCR|9aMLV|aBPWR
17	24221 23562	   	276.58	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG	1DMG|28LIT|3FEWX|45ERES|6RCR|7VULN|9FLTARM|aMLV
18	32251 14623	   	276.51	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1ZMB|2FEWX|3FLTARM|4RCVC|56LIT|7DMG|8VULN|9MLV|aRCR
19	24521 23362	 * 	275.96	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DMG|2LIT|37VULN|45ERES|6RCR|8LWND|9FLTARM|aMLV
20	25521 23362	   	275.96	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DMG|27VULN|3LIT|45ERES|6RCR|8LWND|9FLTARM|aMLV
21	24521 23272	   	275.86	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DMG|2LIT|37VULN|45ERES|6RCR|8MBVNT|9FLTARM|aMLV
22	25521 23272	   	275.86	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DMG|27VULN|3LIT|45ERES|6RCR|8MBVNT|9FLTARM|aMLV
23	13522 12335	 * 	275.85	ACR|2LIT|3VULN|1MLV|2ASPD	1AART|2MBVNT|3RCR|49aVULN|59LIT|6ZMB|7MLV|89ASPD|9BPWR
24	25133 34251	 * 	275.01	DCR|2LIT|2VULN|3DMG|2ZMB	19aDMG|29VULN|3FEWX|4RCVC|56LIT|7RCR|89ZMB|9BPWR
25	24336 33242	   	274.57	DCR|3LIT|2VULN|2DMG|1ASPD	19DMG|269LIT|3RMIN|4ASPD|5DLOT|7LHND|89VULN|9BPWR|aRCR
26	12663 35213	 * 	274.52	DCR|2LIT|2VULN|1FLTARM|1CDMG|1ASPD	1AART|2LHND|3FLTARM|46LIT|59VULN|7CDMG|8RCR|aASPD
27	24336 32242	   	274.47	DCR|3LIT|2VULN|2DMG|1ASPD	19DMG|269LIT|3RMIN|4ASPD|5DLOT|7DUST|89VULN|9BPWR|aRCR
