0	Index      	 *	Score 	Summary	Detail	
1	53225 33162	 * 	288.53	DCR|2MLV|3VULN|1LIT|2CDMG|1ASPD	179VULN|2DLOT|3RCVC|49MLV|5LIT|6ASPD|89CDMG|9BPWR|aRCR
2	53553 31113	 * 	287.08	DCR|3MLV|1LIT|2VULN|2DMG|1ASPD	18VULN|2DLOT|358MLV|4LIT|6ASPD|78DMG|8BPWR|9AART|aRCR
3	53111 61333	 * 	282.80	DCR|3LIT|3VULN|1MLV	168VULN|2DLOT|3DUST|489LIT|58LWND|7RCR|8BPWR|aMLV
4	53113 51333	   	282.80	DCR|3LIT|3VULN|1MLV	158VULN|2DLOT|3DUST|489LIT|68LHND|7RCR|8BPWR|aMLV
5	63113 61333	   	282.80	DCR|3LIT|3VULN|1MLV	18LHND|2DLOT|3DUST|489LIT|568VULN|7RCR|8BPWR|aMLV
6	53613 61333	   	282.70	DCR|3LIT|3VULN|1MLV	158VULN|2DLOT|3BEXP|489LIT|68DUST|7RCR|8BPWR|aMLV
7	25322 32651	 * 	282.70	DCR|2LIT|2VULN|3DMG|1NUKE|1DUR|1SELL	1SELL|2RPLT|369DMG|4DUR|59LIT|79VULN|8RCR|9BPWR|aNUKE
8	53113 41333	   	282.60	DCR|3LIT|3VULN|1MLV|2DUR	158VULN|2DLOT|3DUST|489LIT|68DUR|7RCR|8BPWR|aMLV
9	53223 21151	 * 	279.37	DCR|2LIT|4VULN|1MLV	1589VULN|2DLOT|3RCVC|4MLV|68LIT|78FEWX|8BPWR|aRCR
10	53226 21151	 * 	279.30	DCR|2LIT|2MLV|3VULN	189VULN|2DLOT|3RCVC|45MLV|68LIT|78FEWX|8BPWR|aRCR
11	53223 23124	   	279.15	DCR|2LIT|2MLV|3VULN	158VULN|2DLOT|3RCVC|48MLV|68LIT|7MBVNT|8BPWR|9RPLT|aRCR
12	53223 23364	   	279.15	DCR|2LIT|2MLV|3VULN	159VULN|2DLOT|3RCVC|49MLV|69LIT|7MBVNT|8RPLT|9BPWR|aRCR
13	53225 63124	   	279.15	DCR|2LIT|2MLV|3VULN	168VULN|2DLOT|3RCVC|48MLV|58LIT|7MBVNT|8BPWR|9RPLT|aRCR
14	51511 13211	 * 	278.38	DCR|3VULN|1LIT|1FLTARM|1MLV|1DUR	156VULN|2ERES|3DUR|4MLV|7LIT|8RCR|9RPLT|aFLTARM
15	53553 13331	 * 	275.88	DCR|2LIT|2MLV|2VULN|1DMG	17VULN|2DLOT|35MLV|48LIT|6DMG|9TLV|aRCR
16	32234 21363	 * 	274.95	DCR|3LIT|2MLV|3DMG	1RCVC|247DMG|378LIT|57MLV|6NUKE|7BPWR|9ZMB|aRCR
17	32212 31261	 * 	274.57	DCR|3LIT|2VULN|2DMG|1CDMG	1RCVC|29DMG|389LIT|4AART|5ERES|6CDMG|79VULN|9BPWR|aRCR
18	32212 35261	   	274.57	DCR|3LIT|2VULN|2DMG|1CDMG	1RCVC|29DMG|379LIT|4AART|5ERES|6CDMG|89VULN|9BPWR|aRCR
19	32212 45261	   	274.57	DCR|3LIT|2VULN|2DMG|1CDMG	1RCVC|29DMG|369LIT|4AART|56ERES|69BPWR|7CDMG|89VULN|aRCR
20	32522 31261	   	274.57	DCR|3LIT|2VULN|2DMG|1CDMG	1RCVC|29DMG|3AART|489LIT|5ERES|6CDMG|79VULN|9BPWR|aRCR
21	32522 35261	   	274.57	DCR|3LIT|2VULN|2DMG|1CDMG	1RCVC|29DMG|3AART|479LIT|5ERES|6CDMG|89VULN|9BPWR|aRCR
22	51311 13211	   	274.44	DCR|3VULN|1LIT|1FLTARM|1MLV	156VULN|2ERES|3DUST|4MLV|7LIT|8RCR|9RPLT|aFLTARM
23	53553 11113	 * 	273.10	DCR|3MLV|1LIT|2VULN|2ASPD|1DMG	18VULN|2DLOT|358MLV|4LIT|6DMG|78ASPD|8BPWR|9AART|aRCR
24	53111 61332	 * 	270.77	DCR|3LIT|3VULN|1DMG	168VULN|2DLOT|3DUST|489LIT|58LWND|7RCR|8BPWR|aDMG
25	53113 51332	   	270.77	DCR|3LIT|3VULN|1DMG	158VULN|2DLOT|3DUST|489LIT|68LHND|7RCR|8BPWR|aDMG
26	63113 61332	   	270.77	DCR|3LIT|3VULN|1DMG	18LHND|2DLOT|3DUST|489LIT|568VULN|7RCR|8BPWR|aDMG
27	53613 61332	   	270.67	DCR|3LIT|3VULN|1DMG	158VULN|2DLOT|3BEXP|489LIT|68DUST|7RCR|8BPWR|aDMG
28	53113 41332	   	270.57	DCR|3LIT|3VULN|1DMG|2DUR	158VULN|2DLOT|3DUST|489LIT|68DUR|7RCR|8BPWR|aDMG
29	53111 61334	 * 	269.97	DCR|3LIT|4VULN	168aVULN|2DLOT|3aDUST|489LIT|58aLWND|7RCR|8aBPWR
30	53113 51334	   	269.97	DCR|3LIT|4VULN	158aVULN|2DLOT|3aDUST|489LIT|68aLHND|7RCR|8aBPWR
31	63113 61334	   	269.97	DCR|3LIT|4VULN	18aLHND|2DLOT|3aDUST|489LIT|568aVULN|7RCR|8aBPWR
32	53113 41334	 * 	269.67	DCR|3LIT|4VULN|3DUR	158aVULN|2DLOT|3aDUST|489LIT|68aDUR|7RCR|8aBPWR
33	25322 32652	 * 	269.57	DCR|2LIT|2VULN|3DMG|1DUR|1SELL	1SELL|2RPLT|369DMG|4DUR|59LIT|79VULN|8RCR|9BPWR|aZMB
34	32116 53263	 * 	267.54	DCR|4VULN|2MLV|2DMG	1RCVC|29DMG|3BEXP|4RMIN|579aVULN|6RCR|89MLV|9BPWR
35	23334 51631	   	266.74	DCR|2LIT|3VULN|1DMG|1ASPD|2SELL	13SELL|248VULN|5RMIN|68LIT|7RCR|8BPWR|9DMG|aASPD
36	53611 61322	   	265.50	DCR|2LIT|3VULN|1MLV	168VULN|2DLOT|3BEXP|48LIT|58LWND|7RCR|8BPWR|9DUST|aMLV
37	53613 51322	   	265.50	DCR|2LIT|3VULN|1MLV	158VULN|2DLOT|3BEXP|48LIT|68LHND|7RCR|8BPWR|9DUST|aMLV
38	63613 61322	   	265.50	DCR|2LIT|3VULN|1MLV	18LHND|2DLOT|3BEXP|48LIT|568VULN|7RCR|8BPWR|9DUST|aMLV
39	53111 61362	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	168VULN|2DLOT|3DUST|48LIT|58LWND|7RCR|8BPWR|9DUR|aMLV
40	53113 51362	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	158VULN|2DLOT|3DUST|48LIT|68LHND|7RCR|8BPWR|9DUR|aMLV
41	63113 61362	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	18LHND|2DLOT|3DUST|48LIT|568VULN|7RCR|8BPWR|9DUR|aMLV
42	53613 41322	   	265.30	DCR|2LIT|3VULN|1MLV|2DUR	158VULN|2DLOT|3BEXP|48LIT|68DUR|7RCR|8BPWR|9DUST|aMLV
43	53225 33152	   	265.17	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	17VULN|2DLOT|3RCVC|4MLV|59LIT|6ASPD|8CDMG|aRCR
44	53225 33342	   	265.17	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	17VULN|2DLOT|3RCVC|4MLV|58LIT|6ASPD|9CDMG|aRCR
45	32231 51212	 * 	265.07	DCR|2LIT|3DMG|1VULN|1MLV	1RCVC|247DMG|38LIT|5LWND|6VULN|9MLV|aRCR
46	32235 51212	   	265.07	DCR|2LIT|3DMG|1VULN|1MLV	1RCVC|247DMG|38LIT|5BEXP|6VULN|9MLV|aRCR
47	23334 51622	   	265.01	DCR|2LIT|3VULN|1MLV|2SELL	13SELL|248VULN|5RMIN|68LIT|7RCR|8BPWR|9DUST|aMLV
48	23654 21131	 * 	263.39	DCR|3VULN|1LIT|1MLV|3CDMG|1SELL	1SELL|278VULN|378CDMG|4MLV|5CGEN|678LWND|78BPWR|9LIT|aRCR
49	25322 32653	 * 	262.63	DCR|2LIT|2VULN|3DMG|1DUR|1SELL	1SELL|2RPLT|369DMG|4DUR|59LIT|79VULN|8RCR|9BPWR|aBEXP
50	23165 12263	 * 	261.22	DCR|1LIT|2VULN|1FLTARM|1DMG|2DUR|1ASPD|1SELL	1SELL|23VULN|45DUR|6RCR|7LIT|8ASPD|9FLTARM|aDMG
51	23153 12224	 * 	260.97	DCR|2LIT|3VULN|2ASPD|1SELL	1SELL|23aVULN|459DUST|6RCR|7aLIT|8aASPD|aBPWR
52	52153 12224	 * 	260.97	DCR|2LIT|3VULN|2ASPD|1SELL	13aVULN|2SELL|459DUST|6RCR|7aLIT|8aASPD|aBPWR
53	53314 31224	 * 	260.80	DCR|3VULN|1LIT|1MLV|1DMG	179VULN|2DLOT|3FRZICY|4LWND|5MLV|6LIT|8RCR|aDMG
54	63334 31224	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	1LHND|2DLOT|3BASHEA|479VULN|5MLV|6LIT|8RCR|aDMG
55	53114 61333	   	260.66	DCR|3LIT|2VULN|1MLV	18VULN|2DLOT|3DUST|489LIT|58BEXP|6RCVC|7RCR|8BPWR|aMLV
56	51311 13226	   	260.60	DCR|3VULN|1LIT|1MLV|1DMG	156VULN|2ERES|3DUST|4MLV|7LIT|8RCR|9BLASTR|aDMG
57	51311 13246	   	260.60	DCR|3VULN|1LIT|1MLV|1DMG	156VULN|2ERES|3DUST|4MLV|7LIT|8RCR|9SPLREG|aDMG
58	53115 51333	   	260.56	DCR|3LIT|2VULN|1MLV	18VULN|2DLOT|35DUST|489LIT|68LHND|7RCR|8BPWR|aMLV
59	43613 61333	   	260.56	DCR|3LIT|2VULN|1MLV	18DUST|2DLOT|3FEWX|489LIT|58VULN|6RCVC|7RCR|8BPWR|aMLV
60	53111 61133	   	260.46	DCR|3LIT|2VULN|1MLV	16VULN|2DLOT|3DUST|489LIT|5LWND|7RCR|aMLV
61	53113 51133	   	260.46	DCR|3LIT|2VULN|1MLV	15VULN|2DLOT|3DUST|489LIT|6LHND|7RCR|aMLV
62	53613 61133	   	260.46	DCR|3LIT|2VULN|1MLV	15VULN|2DLOT|3BEXP|489LIT|6DUST|7RCR|aMLV
63	63113 61133	   	260.46	DCR|3LIT|2VULN|1MLV	1LHND|2DLOT|3DUST|489LIT|56VULN|7RCR|aMLV
64	53113 41133	   	260.36	DCR|3LIT|2VULN|1MLV|1DUR	15VULN|2DLOT|3DUST|489LIT|6DUR|7RCR|aMLV
65	53115 41333	   	260.36	DCR|3LIT|2VULN|1MLV|2DUR	18VULN|2DLOT|35DUST|489LIT|68DUR|7RCR|8BPWR|aMLV
66	32134 46323	 * 	260.33	DCR|3VULN|3DMG|1MLV	1RCVC|279DMG|3BEXP|45aVULN|6MLV|8RCR
67	32156 16323	   	260.33	DCR|3VULN|3DMG|1MLV	1RCVC|279DMG|3BEXP|4MLV|56aVULN|8RCR
68	53613 61312	 * 	260.31	DCR|2LIT|3VULN|1NUKE	158VULN|2DLOT|3BEXP|48LIT|68DUST|7RCR|8BPWR|9ZMB|aNUKE
69	53223 21141	   	260.20	DCR|2LIT|3VULN|1MLV	158VULN|2DLOT|3RCVC|4MLV|68LIT|78FEWX|8BPWR|9DMSP|aRCR
70	53223 22151	   	260.20	DCR|2LIT|3VULN|1MLV	158VULN|2DLOT|3RCVC|4MLV|68LIT|789LHND|8BPWR|aRCR
71	53225 22151	   	260.20	DCR|2LIT|3VULN|1MLV	178VULN|2DLOT|3RCVC|4MLV|58LIT|689LHND|8BPWR|aRCR
72	23161 51234	   	260.07	DCR|2LIT|3VULN|1DMG|1DUR|1SELL	1SELL|23aVULN|4DUR|5ZMB|68LIT|7RCR|9DMG
73	43125 62122	   	259.90	DCR|2LIT|3VULN|1MLV	138DUST|2DLOT|4MLV|58LIT|678VULN|8BPWR|9BEXP|aRCR
74	51311 13216	   	259.80	DCR|4VULN|1LIT|1MLV	156aVULN|2ERES|3DUST|4MLV|7LIT|8RCR|9RPLT
75	51311 13221	   	259.70	DCR|4VULN|1LIT|1MLV	156aVULN|2ERES|3DUST|4MLV|7LIT|8RCR|9BLASTR
76	51311 13241	   	259.70	DCR|4VULN|1LIT|1MLV	156aVULN|2ERES|3DUST|4MLV|7LIT|8RCR|9SPLREG
77	51511 13221	   	259.70	DCR|4VULN|1LIT|1MLV|1DUR	156aVULN|2ERES|3DUR|4MLV|7LIT|8RCR|9BLASTR
78	51511 13241	   	259.70	DCR|4VULN|1LIT|1MLV|1DUR	156aVULN|2ERES|3DUR|4MLV|7LIT|8RCR|9SPLREG
