0	Index      	 *	Score 	Summary	Detail	
1	46224 13112	 * 	279.15	DCR|2LIT|2MLV|3VULN	1LEGI|2RMIN|39MLV|4NUKE|59LIT|679VULN|8DMSP|9BPWR|aRCR
2	13633 15133	 * 	278.15	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1RCVC|2LHND|389VULN|4CDMG|5MLV|6RCR|7DMG|aLIT
3	23633 15133	   	278.15	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1DMSP|2LHND|389VULN|4CDMG|5MLV|6RCR|7DMG|aLIT
4	13633 43133	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1RCVC|2LHND|389VULN|4CDMG|5MLV|6DMG|7RCR|aLIT
5	23633 43133	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1DMSP|2LHND|389VULN|4CDMG|5MLV|6DMG|7RCR|aLIT
6	13632 43633	 * 	268.98	DCR|3VULN|1LIT|2DMG|1CDMG	1RCVC|28LHND|389VULN|4CDMG|5ZMB|68DMG|7RCR|8BPWR|aLIT
7	23632 43633	   	268.98	DCR|3VULN|1LIT|2DMG|1CDMG	1DMSP|28LHND|389VULN|4CDMG|5ZMB|68DMG|7RCR|8BPWR|aLIT
8	13632 14133	   	265.02	DCR|3VULN|1LIT|1MLV|1CDMG	1RCVC|2LHND|389VULN|4CDMG|5ZMB|6RCR|7MLV|aLIT
9	23632 14133	   	265.02	DCR|3VULN|1LIT|1MLV|1CDMG	1DMSP|2LHND|389VULN|4CDMG|5ZMB|6RCR|7MLV|aLIT
10	14313 15133	   	264.25	DCR|3VULN|1LIT|1MLV|1DMG|1SELL	1RCVC|2SELL|3LWND|489VULN|5MLV|6RCR|7DMG|aLIT
11	24313 15133	   	264.25	DCR|3VULN|1LIT|1MLV|1DMG|1SELL	1DMSP|2SELL|3LWND|489VULN|5MLV|6RCR|7DMG|aLIT
12	14313 43133	   	262.45	DCR|3VULN|1LIT|1MLV|1DMG|1SELL	1RCVC|2SELL|3LWND|489VULN|5MLV|6DMG|7RCR|aLIT
13	24313 43133	   	262.45	DCR|3VULN|1LIT|1MLV|1DMG|1SELL	1DMSP|2SELL|3LWND|489VULN|5MLV|6DMG|7RCR|aLIT
14	13633 15121	 * 	262.03	DCR|3VULN|2DMG|1MLV|1CDMG	1RCVC|2aLHND|38aVULN|4CDMG|5MLV|6RCR|7aDMG|9MBVNT|aBPWR
15	13633 15161	   	262.03	DCR|3VULN|2DMG|1MLV|1CDMG	1RCVC|2aLHND|38aVULN|4CDMG|5MLV|6RCR|7aDMG|9LEGI|aBPWR
16	23633 15121	   	262.03	DCR|3VULN|2DMG|1MLV|1CDMG	1DMSP|2aLHND|38aVULN|4CDMG|5MLV|6RCR|7aDMG|9MBVNT|aBPWR
17	23633 15161	   	262.03	DCR|3VULN|2DMG|1MLV|1CDMG	1DMSP|2aLHND|38aVULN|4CDMG|5MLV|6RCR|7aDMG|9LEGI|aBPWR
18	13633 43121	   	260.23	DCR|3VULN|2DMG|1MLV|1CDMG	1RCVC|2aLHND|38aVULN|4CDMG|5MLV|6aDMG|7RCR|9MBVNT|aBPWR
19	13633 43161	   	260.23	DCR|3VULN|2DMG|1MLV|1CDMG	1RCVC|2aLHND|38aVULN|4CDMG|5MLV|6aDMG|7RCR|9LEGI|aBPWR
20	23633 43121	   	260.23	DCR|3VULN|2DMG|1MLV|1CDMG	1DMSP|2aLHND|38aVULN|4CDMG|5MLV|6aDMG|7RCR|9MBVNT|aBPWR
21	23633 43161	   	260.23	DCR|3VULN|2DMG|1MLV|1CDMG	1DMSP|2aLHND|38aVULN|4CDMG|5MLV|6aDMG|7RCR|9LEGI|aBPWR
22	42152 21315	 * 	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1LEGI|27DUST|37LHND|4DMG|5MLV|67VULN|7BPWR|8aLIT|9RCR
23	61152 21315	 * 	259.73	DCR|2LIT|2VULN|1MLV|1DMG|2DUR	17DUR|27LWND|3LEGI|4DMG|5MLV|67VULN|7BPWR|8aLIT|9RCR
24	12112 14133	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1RCVC|2FEWX|3CGEN|489VULN|5CDMG|6RCR|7MLV|aLIT
25	13212 14133	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1RCVC|2LHND|3RMIN|489VULN|5CDMG|6RCR|7MLV|aLIT
26	22112 14133	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1DMSP|2FEWX|3CGEN|489VULN|5CDMG|6RCR|7MLV|aLIT
27	23212 14133	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1DMSP|2LHND|3RMIN|489VULN|5CDMG|6RCR|7MLV|aLIT
28	11112 14133	   	257.98	DCR|3VULN|1LIT|1MLV|1CDMG	1RCVC|2DUST|3CGEN|489VULN|5CDMG|6RCR|7MLV|aLIT
29	21112 14133	   	257.98	DCR|3VULN|1LIT|1MLV|1CDMG	1DMSP|2DUST|3CGEN|489VULN|5CDMG|6RCR|7MLV|aLIT
30	62212 14133	   	257.98	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1DUR|23TLV|489VULN|5CDMG|6RCR|7MLV|aLIT
