0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21224 36122	1	 * 	279.33	DCR|5VULN|3TLV|1CDMG|1AART	1CDMG|24567VULN|345TLV|45BPWR|8AART|9LIT|aRCR
2	22234 35311	3	 * 	273.85	DCR|2VULN|3DUR|2TLV|3CDMG|1DMG	137CDMG|27TLV|4DMG|589DUR|67VULN|7BPWR|aRCR
3	63331 66321	1	 * 	273.01	DCR|2VULN|3DMG|3DUR|1TLV	17VULN|238DUR|47ZMB|567DMG|7BPWR|9TLV|aRCR
4	63113 16135	3	 * 	271.93	DCR|3VULN|3DMG|2DUR|1CDMG	178VULN|2BELT|367DMG|47DUR|5RCVC|7BPWR|9RCR|aCDMG
5	22233 35354	3	 * 	270.81	ACR|3VULN|2DMG|2TLV|2DUR|3CDMG	137CDMG|2aTLV|47DMG|5RCR|67aVULN|7aBPWR|8aDUR|9DMSP
6	63633 14331	3	 * 	270.81	ACR|4VULN|3DMG|2DUR|3ASPD	1379VULN|2BELT|4RCR|57aASPD|679DMG|79BPWR|89DUR
7	22233 35364	3	 * 	270.71	ACR|3VULN|2DMG|3TLV|2DUR|3CDMG	137CDMG|29aTLV|47DMG|5RCR|67aVULN|7aBPWR|8aDUR
8	63163 53333	5	 * 	269.93	DCR|3VULN|3DMG|2TLV	157VULN|2BELT|367DMG|47TLV|7BPWR|8ERES|9RCR|aASPD
9	21224 33162	1	   	269.67	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7CGEN|8RCR|aASPD
10	15311 26133	1	 * 	269.66	DCR|4VULN|2DUR|3ASPD|1DMG	137ASPD|2BELT|47DUR|5678VULN|7BPWR|9RCR|aDMG
11	61513 22361	10	 * 	268.51	DCR|4VULN|2TLV|2DUR	159aVULN|2DUST|3aDUR|4LWND|6ASPD|7aTLV|8RCR|aBPWR
12	21224 33112	1	   	267.58	DCR|4VULN|3TLV|1DUR|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9LIT|aDUR
13	64613 32233	7	 * 	267.52	DCR|5VULN|2DUR|2LIT	1459aVULN|2RCVC|3ASPD|69DUR|7RCR|89LIT|9BPWR
14	21224 31112	1	   	267.48	DCR|4VULN|3TLV|1DUR|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9LIT|aDUR
15	22516 38431	4	 * 	267.15	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR|1AART	19CDMG|29TLV|3DUR|4MBVNT|56VULN|7AART|89DMG|9BPWR|aRCR
16	13424 43322	10	   	266.59	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	17ASPD|2DMG|37aVULN|4CDMG|5LIT|67TLV|7BPWR|8LHND|9RCR
17	21224 13421	1	 * 	266.59	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9ASPD|aDUR
18	63113 16133	3	   	266.58	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|47DUR|5RCVC|7BPWR|9RCR|aASPD
19	63114 16133	5	   	266.58	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|4DMSP|57DUR|7BPWR|9RCR|aASPD
20	63116 16133	4	   	266.58	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|4DMSP|57DUR|7BPWR|9RCR|aASPD
21	63111 14112	3	 * 	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	179VULN|2BELT|3DMG|49DUR|5TBNT|69LIT|8RCR|9BPWR|aTLV
22	22636 31324	9	 * 	264.09	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	1aCDMG|2TLV|3RPLT|4aDMG|5BEXP|69DUR|7aVULN|8RCR|aBPWR
23	22516 32418	4	 * 	264.02	DCR|3VULN|3DUR|1TLV|2CDMG|1SELL	1aCDMG|2TLV|38aDUR|4MBVNT|56aVULN|7SELL|9RCR|aBPWR
24	63633 14332	3	   	263.38	ACR|4VULN|3DMG|2DUR|2ASPD	1379VULN|2BELT|4RCR|57ASPD|679DMG|79BPWR|89DUR|aBEXP
25	63633 14333	3	   	263.38	ACR|4VULN|3DMG|2DUR|2ASPD	1379VULN|2BELT|4RCR|57ASPD|679DMG|79BPWR|89DUR|aLHND
26	13633 21263	10	 * 	263.31	DCR|3VULN|3DMG|3LIT|2ASPD|1SELL	19ASPD|259DMG|345LIT|59BPWR|679VULN|8SELL|aRCR
27	15311 26135	1	   	263.25	DCR|4VULN|2DUR|3ASPD|1CDMG	137ASPD|2BELT|47DUR|5678VULN|7BPWR|9RCR|aCDMG
28	21224 13451	1	 * 	262.98	DCR|4VULN|3TLV|1DMG|1CDMG	1CDMG|245aVULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9DUST
