0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53516 23231	8	 * 	269.92	ACR|4VULN|3DMG|3DUR|1AART	1RCR|268aVULN|34aDUR|57aDMG|9AART|aBPWR
2	23126 45822	10	 * 	269.79	DCR|3VULN|3DMG|1TLV|1DUR	19MLV|279VULN|3TLV|4MBVNT|5DUR|6RCR|89aDMG|9BPWR
3	23126 45824	10	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19MLV|279VULN|3TLV|4MBVNT|5DUR|6RCR|89DMG|9BPWR|aCDMG
4	23121 58345	10	 * 	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1MLV|256aVULN|36TLV|4MBVNT|6BPWR|7RCR|8DUR|9DMG
5	53334 21141	3	 * 	264.73	ACR|4VULN|2DMG|2TLV|1DUR|1CDMG	1RCR|245aVULN|3aDMG|6DUR|7DMSP|8CDMG|9aTLV|aBPWR
6	52162 11473	6	   	264.63	ACR|4VULN|2DMG|2TLV|1DUR|1CDMG	1RCR|28DMG|38TLV|4MBVNT|5DUR|6CDMG|789aVULN|8BPWR
7	23126 45823	9	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	19MLV|279VULN|3TLV|4MBVNT|5DUR|6RCR|89DMG|9BPWR|aAART
8	23126 45823	10	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	19MLV|279VULN|3TLV|4MBVNT|5DUR|6RCR|89DMG|9BPWR|aAART
9	23121 58342	10	 * 	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1MLV|256VULN|36TLV|4MBVNT|6BPWR|7RCR|8DUR|9aDMG
10	52312 35325	2	   	261.89	ACR|4VULN|3DMG|2DUR|2LIT	1RCR|245DMG|39LIT|679aVULN|89DUR|9BPWR
11	32452 21343	1	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1BELT|2349VULN|5CDMG|6RCR|7DUR|8AART|aTLV
12	23121 58383	10	 * 	260.10	DCR|4VULN|2TLV|2DUR	1MLV|2569VULN|36TLV|4MBVNT|6BPWR|7RCR|8aDUR
13	23121 54125	6	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1MLV|256VULN|36TLV|4MBVNT|6BPWR|79DMG|8CDMG|aRCR
14	63121 54125	6	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CGEN|256VULN|36TLV|4MBVNT|6BPWR|79DMG|8CDMG|aRCR
15	23325 44222	10	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1MLV|279VULN|3BEXP|4DMG|59DUR|6LHND|89TLV|9BPWR|aRCR
16	23325 54222	10	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1MLV|279VULN|3BEXP|4DMG|59DUR|6LWND|89TLV|9BPWR|aRCR
17	23121 56723	7	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	1MLV|256aVULN|36TLV|4MBVNT|6BPWR|7CDMG|8RCR|9DUR
