0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21222 54241	4	 * 	291.56	DCR|3VULN|3DMG|3DUR|2CDMG	1RCVC|249DMG|34aDUR|49BPWR|59CDMG|689VULN|7RCR
2	21222 54242	4	   	278.34	DCR|3VULN|3DMG|2DUR|2CDMG	1RCVC|249DMG|34DUR|49BPWR|59CDMG|689VULN|7RCR|aLHND
3	21222 54243	4	   	278.34	DCR|3VULN|3DMG|2DUR|2CDMG	1RCVC|249DMG|34DUR|49BPWR|59CDMG|689VULN|7RCR|aLWND
4	62126 43223	10	 * 	274.06	DCR|4VULN|3DMG|1DUR|1AART|1SELL	1SELL|27aERES|3DUR|47aDMG|579aVULN|6RCR|7aBPWR|8AART
5	21221 24122	4	   	273.13	DCR|3VULN|3DMG|2DUR|2LIT	1RCVC|248DMG|34DUR|48BPWR|5TBNT|689VULN|78LIT|aRCR
6	21251 24122	3	   	273.13	DCR|3VULN|3DMG|2DUR|2LIT	1RCVC|248DMG|34DUR|48BPWR|5TBNT|689VULN|78LIT|aRCR
7	32146 13631	2	 * 	272.46	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2TLV|3DUR|4578VULN|5BPWR|6DMG|9RCR|aCGEN
8	32146 13633	2	   	272.46	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2TLV|3DUR|4578VULN|5BPWR|6DMG|9RCR|aBEXP
9	32146 21631	2	   	272.46	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2TLV|3DUR|4568VULN|5BPWR|7DMG|9RCR|aCGEN
10	32146 21633	2	   	272.46	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2TLV|3DUR|4568VULN|5BPWR|7DMG|9RCR|aBEXP
11	32146 13632	2	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2TLV|3DUR|4578VULN|5BPWR|6DMG|9RCR|aTBNT
12	32146 21632	2	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2TLV|3DUR|4568VULN|5BPWR|7DMG|9RCR|aTBNT
13	32146 11324	2	 * 	272.17	DCR|2VULN|2DMG|2TLV|2DUR|3LIT	157LIT|27TLV|38DUR|45VULN|57BPWR|67DMG|9FEWX|aRCR
14	32146 11334	2	   	272.17	DCR|2VULN|2DMG|2TLV|2DUR|3LIT	157LIT|27TLV|38DUR|45VULN|57BPWR|67DMG|9BEXP|aRCR
15	21222 23615	10	   	271.43	DCR|2VULN|3DMG|3DUR|2LIT|1AART	1RCVC|24aDMG|349DUR|4aBPWR|5AART|6RCR|7aVULN|8aLIT
16	21222 21415	10	   	271.43	DCR|2VULN|3DMG|3DUR|2LIT|1AART	1RCVC|24aDMG|349DUR|4aBPWR|5AART|6RCR|7aLIT|8aVULN
17	21222 22436	6	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1RCVC|24DMG|34DUR|4BPWR|5AART|6RCR|78VULN|9CDMG|aTLV
18	21222 23436	7	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1RCVC|24DMG|34DUR|4BPWR|5AART|6RCR|78VULN|9CDMG|aTLV
19	32324 24123	2	 * 	267.23	DCR|3VULN|3DUR|2TLV|2LIT	1aLIT|2aTLV|3TBNT|456DUR|7RCR|89aVULN|aBPWR
20	32146 12631	2	 * 	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|37DUR|458VULN|5BPWR|6DMG|9RCR|aCGEN
21	32146 12633	2	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|37DUR|458VULN|5BPWR|6DMG|9RCR|aBEXP
22	32146 13431	2	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|38DUR|457VULN|5BPWR|6DMG|9RCR|aCGEN
23	32146 13433	2	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|38DUR|457VULN|5BPWR|6DMG|9RCR|aBEXP
24	32146 21431	2	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|38DUR|456VULN|5BPWR|7DMG|9RCR|aCGEN
25	32146 21433	2	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|38DUR|456VULN|5BPWR|7DMG|9RCR|aBEXP
26	32146 12632	2	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|37DUR|458VULN|5BPWR|6DMG|9RCR|aTBNT
27	32146 13432	2	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|38DUR|457VULN|5BPWR|6DMG|9RCR|aTBNT
28	32146 21432	2	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	15LIT|2TLV|38DUR|456VULN|5BPWR|7DMG|9RCR|aTBNT
29	31226 51236	1	 * 	264.60	DCR|3VULN|2TLV|3LIT|1DMG|2ASPD	16aLIT|24aVULN|34ASPD|4aBPWR|5DMG|7RCR|8RMIN|9aTLV
30	33621 31626	4	 * 	264.29	DCR|4VULN|2TLV|1DMG|2LIT|1NUKE	1aLIT|2RMIN|3DMG|4NUKE|589aVULN|6RCR|7aTLV|aBPWR
31	31653 33262	1	 * 	264.15	DCR|5VULN|1TLV|2LIT|1AART	17LIT|24578VULN|3AART|6RCR|7BPWR|9BELT|aTLV
32	31653 34233	1	 * 	263.66	DCR|4VULN|3DUR|2LIT|1AART	19LIT|2459VULN|3AART|6RCR|7TBNT|89aDUR|9BPWR
33	21222 22466	6	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RCVC|24DMG|34DUR|4BPWR|5AART|6RCR|78VULN|9ASPD|aTLV
34	21222 23466	7	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RCVC|24DMG|34DUR|4BPWR|5AART|6RCR|78VULN|9ASPD|aTLV
35	21222 23656	9	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RCVC|24DMG|34DUR|4BPWR|5AART|6RCR|7aVULN|8LIT|9TLV
36	21222 53662	10	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RCVC|24DMG|34DUR|4BPWR|5AART|6TLV|78VULN|9LIT|aRCR
37	21222 21456	9	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RCVC|24DMG|34DUR|4BPWR|5AART|6RCR|7LIT|8aVULN|9TLV
38	31221 31424	1	   	262.00	DCR|4VULN|1TLV|2ASPD|1DUR	1LIT|2459VULN|34ASPD|4BPWR|6ZMB|7RCR|8DUR|aTLV
39	31221 34634	1	   	262.00	DCR|4VULN|1TLV|2ASPD|1DUR	1LIT|2458VULN|34ASPD|4BPWR|6ZMB|7DUR|9RCR|aTLV
40	31221 55134	1	   	262.00	DCR|4VULN|1TLV|2ASPD|1DUR	1LIT|2456VULN|34ASPD|4BPWR|7ZMB|8DUR|9RCR|aTLV
41	31653 33111	1	   	261.96	DCR|4VULN|1TLV|1DUR|2LIT|1AART	17LIT|2457VULN|3AART|6RCR|7BPWR|8DUST|9TLV|aDUR
42	31653 33133	1	   	261.96	DCR|4VULN|1TLV|1DUR|2LIT|1AART	17LIT|2457VULN|3AART|6RCR|7BPWR|8DUST|9DUR|aTLV
