0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43353 51221	5	 * 	297.85	DCR|4VULN|2DMG|2CDMG|1TLV|1DUR	18DMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9CGEN|aDUR
2	43353 51233	5	 * 	297.16	DCR|4VULN|3DMG|2CDMG|1TLV	18aDMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9DUST
3	43323 31241	8	 * 	296.83	DCR|5VULN|3DMG|1TLV	149DMG|2TLV|35789VULN|69ZMB|9BPWR|aRCR
4	12121 56231	1	 * 	291.66	DCR|4VULN|2DMG|3CDMG|3TLV	1RCVC|278TLV|3789VULN|49FEWX|59DMG|678CDMG|789BPWR|aRCR
5	12321 56231	2	   	291.66	DCR|4VULN|2DMG|3CDMG|3TLV	1RCVC|2789VULN|378TLV|49FEWX|59DMG|678CDMG|789BPWR|aRCR
6	14321 56231	1	   	291.66	DCR|4VULN|2DMG|3CDMG|3TLV	1RCVC|2789VULN|378TLV|49FEWX|59DMG|678CDMG|789BPWR|aRCR
7	43323 51221	5	   	290.87	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aDUR
8	43323 51241	5	   	290.87	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9FEWX|aDUR
9	43325 51221	4	   	290.87	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aDUR
10	43323 51211	5	   	290.77	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9DUST|aDUR
11	43323 51234	5	   	290.77	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR|1NUKE	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aDUR
12	43323 51261	5	   	290.77	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9LEGI|aDUR
13	43325 51211	4	   	290.77	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9DUST|aDUR
14	12312 42136	8	 * 	289.45	DCR|4VULN|3DUR|2DMG	1RCVC|234aVULN|5BEXP|67aDUR|8aDMG|9RCR|aBPWR
15	12151 26116	1	 * 	289.41	DCR|4VULN|3DMG|3TLV	1RCVC|257TLV|3578VULN|4RPLT|578BPWR|678DMG|9LIT|aRCR
16	12351 26116	2	   	289.41	DCR|4VULN|3DMG|3TLV	1RCVC|2578VULN|357TLV|4RPLT|578BPWR|678DMG|9LIT|aRCR
17	43353 51211	5	   	287.64	DCR|4VULN|2DMG|3CDMG|1TLV	18DMG|2TLV|3458VULN|68aCDMG|7RCR|8BPWR|9LHND
18	43353 51231	5	   	287.54	DCR|4VULN|2DMG|3CDMG|1TLV	18DMG|2TLV|3458VULN|68aCDMG|7RCR|8BPWR|9DUST
19	12323 54125	7	 * 	286.20	DCR|5VULN|3DUR|2LIT	1RCVC|23569VULN|489DUR|79LIT|9BPWR|aRCR
20	43323 51236	5	   	285.52	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD|1NUKE	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aASPD
21	43353 51213	5	   	281.60	DCR|4VULN|2DMG|2CDMG|1TLV	18DMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9LHND|aRMIN
22	43353 51223	5	   	281.60	DCR|4VULN|2DMG|2CDMG|1TLV	18DMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9CGEN|aBEXP
23	43353 51212	5	   	281.50	DCR|4VULN|2DMG|2CDMG|1TLV	18DMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9LHND|aDUST
24	43353 51222	5	   	281.50	DCR|4VULN|2DMG|2CDMG|1TLV	18DMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9CGEN|aBBNT
25	43353 51232	5	   	281.40	DCR|4VULN|2DMG|2CDMG|1TLV	18DMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9aDUST
26	43351 31221	9	   	281.36	DCR|4VULN|2DMG|2TLV|1DUR|1SELL	19DMG|29TLV|3479VULN|5RMIN|6SELL|8RCR|9BPWR|aDUR
27	12323 55136	8	   	281.18	DCR|5VULN|2DMG|1DUR	1RCVC|2356aVULN|4DUR|7aFEWX|8aDMG|9RCR|aBPWR
28	12151 26135	1	   	281.11	DCR|4VULN|3DMG|3TLV	1RCVC|257TLV|3578VULN|4RPLT|578BPWR|678DMG|9BEXP|aRCR
29	12351 26135	2	   	281.11	DCR|4VULN|3DMG|3TLV	1RCVC|2578VULN|357TLV|4RPLT|578BPWR|678DMG|9BEXP|aRCR
30	43323 51226	5	 * 	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	148DMG|2TLV|358VULN|68aCDMG|7RCR|8BPWR|9BEXP
31	12163 32126	10	   	280.59	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD|1SELL	1RCVC|259VULN|39DUR|4ASPD|6SELL|7TLV|89DMG|9BPWR|aRCR
32	43323 51216	5	   	280.56	DCR|3VULN|3DMG|3CDMG|1TLV	148DMG|2TLV|358VULN|68aCDMG|7RCR|8BPWR|9DUST
33	44323 31241	8	   	280.48	DCR|5VULN|3DMG	149DMG|2ERES|35789VULN|69ZMB|9BPWR|aRCR
34	43222 14413	8	   	279.41	DCR|3VULN|3DMG|1TLV|1DUR	18aDMG|2TLV|38aMLV|4DUR|5RMIN|6LIT|78aVULN|8aBPWR|9RCR
35	43335 51221	2	   	278.93	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	18DMG|23TLV|458VULN|68CDMG|7RCR|8BPWR|9CGEN|aDUR
36	43352 21221	4	   	278.93	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	18DMG|26TLV|348VULN|58CDMG|7RCR|8BPWR|9CGEN|aDUR
37	43353 34221	9	   	278.93	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	19DMG|29TLV|345VULN|6ZMB|79CDMG|8RCR|9BPWR|aDUR
38	43323 51224	5	 * 	278.33	DCR|3VULN|3DMG|2TLV|2CDMG	148DMG|2aTLV|358VULN|68CDMG|7RCR|8BPWR|9BEXP
39	43323 51214	5	   	278.23	DCR|3VULN|3DMG|2TLV|2CDMG	148DMG|2aTLV|358VULN|68CDMG|7RCR|8BPWR|9DUST
40	43323 51235	5	   	278.23	DCR|3VULN|3DMG|2TLV|2CDMG|1NUKE	148DMG|2aTLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE
41	43335 51233	2	   	278.23	DCR|3VULN|3DMG|2TLV|2CDMG	18aDMG|23TLV|458VULN|68CDMG|7RCR|8BPWR|9DUST
42	43352 21233	4	   	278.23	DCR|3VULN|3DMG|2TLV|2CDMG	18aDMG|26TLV|348VULN|58CDMG|7RCR|8BPWR|9DUST
43	43312 31251	9	   	277.65	DCR|4VULN|2DMG|1TLV|1DUR|1SELL	19DMG|2TLV|3579VULN|49CGEN|6SELL|8RCR|9BPWR|aDUR
44	12133 55136	8	   	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|256aVULN|34DUR|7aFEWX|8aDMG|9RCR|aBPWR
45	12312 41136	8	   	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|234aVULN|57BEXP|6aDUR|8aDMG|9RCR|aBPWR
