0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63511 23231	7	 * 	284.23	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG	17TLV|27CDMG|3DMG|49DUR|567VULN|7BPWR|8LIT|aRCR
2	21614 14131	6	 * 	283.49	ACR|4VULN|2DMG|2DUR|1TLV|1CDMG|1AART	17DUR|2AART|3TLV|4RCR|5789VULN|67DMG|7BPWR|aCDMG
3	26621 31213	1	 * 	281.62	DCR|4VULN|3DUR|1DMG|1AART	137DUR|2367VULN|37BPWR|47LHND|5AART|8RCR|9FEWX|aDMG
4	26621 31233	1	   	281.62	DCR|4VULN|3DUR|1DMG|1AART	137DUR|2367VULN|37BPWR|47LHND|5AART|8RCR|9LWND|aDMG
5	41621 31213	1	   	281.62	DCR|4VULN|3DUR|1DMG|1AART	1367VULN|237DUR|37BPWR|47LHND|5AART|8RCR|9FEWX|aDMG
6	41621 31233	1	   	281.62	DCR|4VULN|3DUR|1DMG|1AART	1367VULN|237DUR|37BPWR|47LHND|5AART|8RCR|9LWND|aDMG
7	66341 23312	8	 * 	281.60	DCR|4VULN|2DMG|2TLV|1DUR	17TLV|2RCVC|37DMG|4RPLT|567aVULN|7BPWR|8DUR|9RCR
8	66341 23312	7	   	281.60	DCR|4VULN|2DMG|2TLV|1DUR	17TLV|2RCVC|37DMG|4RPLT|567aVULN|7BPWR|8DUR|9RCR
9	26621 31253	1	   	281.52	DCR|4VULN|3DUR|1DMG|1AART	137DUR|2367VULN|37BPWR|47LHND|5AART|8RCR|9DUST|aDMG
10	41621 31253	1	   	281.52	DCR|4VULN|3DUR|1DMG|1AART	1367VULN|237DUR|37BPWR|47LHND|5AART|8RCR|9DUST|aDMG
11	26621 31211	1	 * 	281.30	DCR|5VULN|3DUR|1AART	137DUR|2367aVULN|37aBPWR|47aLHND|5AART|8RCR|9aFEWX
12	26621 31231	1	   	281.30	DCR|5VULN|3DUR|1AART	137DUR|2367aVULN|37aBPWR|47aLHND|5AART|8RCR|9aLWND
13	41621 31211	1	   	281.30	DCR|5VULN|3DUR|1AART	1367aVULN|237DUR|37aBPWR|47aLHND|5AART|8RCR|9aFEWX
14	41621 31231	1	   	281.30	DCR|5VULN|3DUR|1AART	1367aVULN|237DUR|37aBPWR|47aLHND|5AART|8RCR|9aLWND
15	22131 31253	2	   	281.20	DCR|5VULN|3DUR|1AART	179DUR|27LWND|34679VULN|5AART|79BPWR|89CGEN|aRCR
16	24131 31253	1	   	281.20	DCR|5VULN|3DUR|1AART	179DUR|27LWND|34679VULN|5AART|79BPWR|89CGEN|aRCR
17	25131 31253	2	   	281.20	DCR|5VULN|3DUR|1AART	179DUR|27FEWX|34679VULN|5AART|79BPWR|89CGEN|aRCR
18	25131 31253	1	   	281.20	DCR|5VULN|3DUR|1AART	179DUR|27BEXP|34679VULN|5AART|79BPWR|89CGEN|aRCR
19	26131 31253	2	   	281.20	DCR|5VULN|3DUR|1AART	179DUR|27BEXP|34679VULN|5AART|79BPWR|89CGEN|aRCR
20	42211 31253	4	   	281.20	DCR|5VULN|3DUR|1AART	14679VULN|27LWND|379DUR|5AART|79BPWR|89CGEN|aRCR
21	42231 31253	3	   	281.20	DCR|5VULN|3DUR|1AART	14679VULN|27LWND|379DUR|5AART|79BPWR|89CGEN|aRCR
22	42251 31253	5	   	281.20	DCR|5VULN|3DUR|1AART	15679VULN|27LWND|379DUR|4AART|79BPWR|89CGEN|aRCR
23	42631 31253	2	   	281.20	DCR|5VULN|3DUR|1AART	14679VULN|27LWND|379DUR|5AART|79BPWR|89CGEN|aRCR
24	26621 31221	1	   	281.10	DCR|5VULN|3DUR|1AART	137DUR|2367aVULN|37BPWR|47LHND|5AART|8RCR|9MLV
25	26621 31251	1	   	281.10	DCR|5VULN|3DUR|1AART	137DUR|2367aVULN|37aBPWR|47aLHND|5AART|8RCR|9aDUST
