0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21366 61322	5	 * 	287.49	DCR|5VULN|2DMG|3LIT|1DUR	1568aVULN|2DUR|38LHND|456LIT|568BPWR|78DMG|9RCR
2	23334 22222	7	 * 	283.68	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	138VULN|2RCVC|48LIT|5TLV|69DUR|78DMG|8BPWR|aRCR
3	23634 22222	7	   	283.68	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	138VULN|2RCVC|38BPWR|48LIT|5TLV|69DUR|78DMG|aRCR
4	24523 11523	6	 * 	280.58	DCR|5VULN|2DUR|1DMG|2ASPD	14789VULN|28ASPD|38DUR|5RPLT|6RCR|8BPWR|aDMG
5	24523 12523	7	   	280.58	DCR|5VULN|2DUR|1DMG|2ASPD	14789VULN|28ASPD|38DUR|5RPLT|6RCR|8BPWR|aDMG
6	21656 32231	10	 * 	279.17	DCR|4VULN|3DUR|1DMG|2CDMG	1678VULN|234DUR|58CDMG|8BPWR|9RCR|aDMG
7	21656 32232	10	 * 	277.45	DCR|5VULN|3DUR|2CDMG	1678aVULN|234DUR|58CDMG|8BPWR|9RCR
8	24523 11523	7	   	275.46	DCR|4VULN|3DUR|1DMG|2ASPD	1489VULN|28ASPD|378DUR|5RPLT|6RCR|8BPWR|aDMG
9	23335 23222	6	 * 	274.17	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	138VULN|2RCVC|48LIT|5DMG|69DUR|78TLV|8BPWR|aRCR
10	23635 23222	6	   	274.17	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	138VULN|2RCVC|38BPWR|48LIT|5DMG|69DUR|78TLV|aRCR
11	23335 53631	5	 * 	273.90	DCR|4VULN|2DMG|1TLV|2LIT	1367VULN|2RCVC|47LIT|57DMG|7BPWR|8TLV|9CGEN|aRCR
12	23335 53621	5	   	273.80	DCR|4VULN|2DMG|1TLV|2LIT	1367VULN|2RCVC|47LIT|57DMG|7BPWR|8TLV|9ERES|aRCR
13	24126 12353	2	 * 	273.41	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	16VULN|25ASPD|3TLV|46DMG|6BPWR|79aDUR|8RCR
14	23335 23346	8	 * 	271.98	DCR|4VULN|2DMG|2DUR	1389VULN|2RCVC|4LIT|58DMG|68DUR|7RPLT|8BPWR|aRCR
15	21112 13533	8	 * 	271.50	DCR|3VULN|3DMG|3DUR	18aVULN|28aDUR|3CGEN|46DUST|58aDMG|7RCR|8aBPWR|9RPLT
16	21212 13533	8	   	271.40	DCR|3VULN|3DMG|3DUR	18aVULN|28aDUR|3ERES|46DUST|58aDMG|7RCR|8aBPWR|9RPLT
17	25223 56331	1	 * 	271.39	DCR|5VULN|3TLV|3ASPD	14578VULN|248TLV|3RCVC|48BPWR|689ASPD|aRCR
