0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12334 31523	9	 * 	302.39	DCR|5VULN|2DMG|2ASPD|1DUR	18DMG|2578aVULN|38ASPD|4RPLT|6RCR|8BPWR|9DUR
2	12353 35332	4	   	302.27	DCR|4VULN|2DMG|2CDMG|1DUR|1ASPD	19DMG|269aVULN|3ASPD|4DUR|59CDMG|7AART|8RCR|9BPWR
3	12356 35332	5	   	302.27	DCR|4VULN|2DMG|2CDMG|1DUR|1ASPD	19DMG|269aVULN|3ASPD|4DUR|59CDMG|7AART|8RCR|9BPWR
4	12313 28624	8	 * 	298.15	DCR|4VULN|3DMG|3CDMG|1ASPD	18aDMG|268aVULN|3ASPD|4MBVNT|5LWND|78aCDMG|8aBPWR|9RCR
5	12314 28624	8	   	298.15	DCR|4VULN|3DMG|3CDMG|1ASPD	18aDMG|258aVULN|3ASPD|4MBVNT|6LWND|78aCDMG|8aBPWR|9RCR
6	12245 11131	9	   	297.26	DCR|4VULN|3DMG|2TLV|1DUR	139DMG|249aVULN|5CGEN|6DUR|7RCR|89TLV|9BPWR
7	12252 11131	9	   	297.26	DCR|4VULN|3DMG|2TLV|1DUR	139DMG|259aVULN|4CGEN|6DUR|7RCR|89TLV|9BPWR
8	12334 31332	7	   	295.80	DCR|5VULN|2DMG|2ASPD	19DMG|2579aVULN|39ASPD|4RPLT|6RCR|8AART|9BPWR
9	12353 35335	4	   	295.28	DCR|3VULN|3DMG|2CDMG|1DUR|1ASPD	19aDMG|269VULN|3ASPD|4DUR|59CDMG|7AART|8RCR|9BPWR
10	12116 14261	2	   	294.83	DCR|5VULN|2DMG|1DUR|1CDMG	19DMG|2369aVULN|4DUR|5CDMG|7RCR|89CGEN|9BPWR
11	13116 14261	1	   	294.83	DCR|5VULN|2DMG|1DUR|1CDMG	19DMG|2369aVULN|4DUR|5CDMG|7RCR|89CGEN|9BPWR
12	12353 15332	4	 * 	294.21	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	19DMG|29aVULN|3ASPD|46DUR|59CDMG|7AART|8RCR|9BPWR
13	12356 15332	5	   	294.21	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	19DMG|29aVULN|3ASPD|46DUR|59CDMG|7AART|8RCR|9BPWR
14	12212 11231	9	   	293.54	DCR|4VULN|3DMG|1TLV|1DUR	139DMG|259aVULN|4TLV|6DUR|7RCR|89CGEN|9BPWR
15	12334 31523	10	   	292.51	DCR|4VULN|2DMG|2ASPD|1DUR	18DMG|2578VULN|38ASPD|4RPLT|6RCR|8BPWR|9DUR|aAART
16	12314 58623	8	   	292.51	DCR|4VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|258aVULN|3ASPD|4MBVNT|6DUR|78CDMG|8BPWR|9RCR
