0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35236 11314	9	 * 	295.94	DCR|5VULN|2DMG|1TLV|2LIT	1349aVULN|2LEGI|5TLV|6RCR|79LIT|89DMG|9BPWR
2	32322 12451	1	 * 	295.42	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	148VULN|234DMG|48BPWR|58LIT|6RCR|7AART|9TLV|aDUR
3	32323 14136	1	 * 	293.44	DCR|4VULN|3DMG|1TLV|1DUR	149aVULN|234DMG|4BPWR|5BEXP|6RCR|7DUR|8TLV
4	32324 14136	1	   	293.44	DCR|4VULN|3DMG|1TLV|1DUR	149aVULN|234DMG|4BPWR|5FEWX|6RCR|7DUR|8TLV
5	35236 11315	10	   	292.05	DCR|4VULN|3DMG|1TLV|2LIT	1349VULN|2LEGI|5TLV|6RCR|79LIT|89aDMG|9BPWR
6	32413 36314	6	 * 	291.98	DCR|4VULN|3DMG|2DUR	1268VULN|368DMG|4DMSP|5RMIN|68BPWR|78DUR|9LWND|aRCR
7	52236 11314	9	   	289.49	DCR|5VULN|2DMG|1TLV	19LHND|2349aVULN|5TLV|6RCR|7LIT|89DMG|9BPWR
8	32451 11523	2	 * 	287.74	DCR|5VULN|2DUR|1DMG	12357VULN|45DUR|5BPWR|6AART|8RCR|9CGEN|aDMG
9	32651 11523	3	   	287.74	DCR|5VULN|2DUR|1DMG	12357VULN|45DUR|5BPWR|6AART|8RCR|9CGEN|aDMG
10	33451 11523	2	   	287.74	DCR|5VULN|2DUR|1DMG	12357VULN|25BPWR|45DUR|6AART|8RCR|9CGEN|aDMG
11	33651 11523	3	   	287.74	DCR|5VULN|2DUR|1DMG	12357VULN|25BPWR|45DUR|6AART|8RCR|9CGEN|aDMG
12	32133 13245	10	 * 	286.20	DCR|5VULN|3DUR|2LIT	12689VULN|3LWND|479DUR|59LIT|9BPWR|aRCR
13	32353 13245	10	   	286.20	DCR|5VULN|3DUR|2LIT	12689VULN|3BEXP|479DUR|59LIT|9BPWR|aRCR
14	33133 13245	10	   	286.20	DCR|5VULN|3DUR|2LIT	12689VULN|29BPWR|3LWND|479DUR|59LIT|aRCR
15	33353 13245	10	   	286.20	DCR|5VULN|3DUR|2LIT	12689VULN|29BPWR|3BEXP|479DUR|59LIT|aRCR
16	35236 11326	9	   	286.06	DCR|4VULN|2DMG|1TLV|2LIT	134aVULN|2LEGI|5TLV|6RCR|7aLIT|8aDMG|9AART|aBPWR
17	35231 13351	6	 * 	286.04	DCR|5VULN|2DMG|2ASPD	13458VULN|2LEGI|68ASPD|78DMG|8BPWR|9RPLT|aRCR
18	52236 11315	10	   	285.60	DCR|4VULN|3DMG|1TLV	19LHND|2349VULN|5TLV|6RCR|7LIT|89aDMG|9BPWR
19	32322 11335	1	   	285.50	DCR|4VULN|3DMG|1TLV	148aVULN|234DMG|4BPWR|5LIT|6RCR|7CGEN|9TLV
20	32322 14415	1	   	285.50	DCR|4VULN|3DMG|1TLV	147aVULN|234DMG|4BPWR|5LIT|6RCR|8TLV|9MLV
21	32322 14425	1	   	285.50	DCR|4VULN|3DMG|1TLV	147aVULN|234DMG|4BPWR|5LIT|6RCR|8TLV|9CGEN
22	32322 43142	1	   	285.50	DCR|4VULN|3DMG|1DUR	148aVULN|234DMG|4BPWR|5LIT|6BELT|7RCR|9DUR
23	32322 14435	1	   	285.40	DCR|4VULN|3DMG|1TLV	147aVULN|234DMG|4BPWR|5LIT|6RCR|8TLV|9BBNT
24	32323 14146	1	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	14aVULN|234DMG|4BPWR|5BEXP|6RCR|79DUR|8TLV
25	32323 14133	1	   	284.45	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	149VULN|234DMG|4BPWR|5BEXP|6RCR|7DUR|8TLV|aCDMG
26	32324 14133	1	   	284.45	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	149VULN|234DMG|4BPWR|5FEWX|6RCR|7DUR|8TLV|aCDMG
27	32321 14133	1	   	284.35	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	149VULN|234DMG|4BPWR|5DUST|6RCR|7DUR|8TLV|aCDMG
28	32451 11513	2	   	283.92	DCR|5VULN|2DUR|1TLV	12357VULN|45DUR|5BPWR|6AART|8RCR|9RPLT|aTLV
29	32651 11513	3	   	283.92	DCR|5VULN|2DUR|1TLV	12357VULN|45DUR|5BPWR|6AART|8RCR|9RPLT|aTLV
30	33451 11513	2	   	283.92	DCR|5VULN|2DUR|1TLV	12357VULN|25BPWR|45DUR|6AART|8RCR|9RPLT|aTLV
31	33651 11513	3	   	283.92	DCR|5VULN|2DUR|1TLV	12357VULN|25BPWR|45DUR|6AART|8RCR|9RPLT|aTLV
32	32451 11112	2	   	280.90	DCR|5VULN|3DUR	12357VULN|458DUR|5BPWR|6AART|9RMIN|aRCR
33	32651 11112	3	   	280.90	DCR|5VULN|3DUR	12357VULN|458DUR|5BPWR|6AART|9RMIN|aRCR
34	33451 11112	2	   	280.90	DCR|5VULN|3DUR	12357VULN|25BPWR|458DUR|6AART|9RMIN|aRCR
35	33651 11112	3	   	280.90	DCR|5VULN|3DUR	12357VULN|25BPWR|458DUR|6AART|9RMIN|aRCR
