0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31253 23625	7	 * 	309.17	DCR|5VULN|2DMG|2DUR|1CDMG|1SELL	1SELL|2358aVULN|48DMG|68DUR|7RCR|8BPWR|9CDMG
2	31253 23436	8	 * 	301.30	DCR|4VULN|3DMG|2DUR|1SELL	1SELL|2359VULN|49aDMG|69DUR|7RCR|8AART|9BPWR
3	31253 23636	7	 * 	295.52	DCR|5VULN|2DMG|2DUR|1SELL	1SELL|2358aVULN|48DMG|68DUR|7RCR|8BPWR|9CGEN
4	31663 23621	7	 * 	293.55	DCR|3VULN|3DMG|2DUR|1TLV|1SELL	1SELL|258VULN|348DMG|68DUR|7RCR|8BPWR|9LIT|aTLV
5	31253 23433	8	 * 	293.41	DCR|4VULN|2DMG|2DUR|2AART|1SELL	1SELL|2359VULN|49DMG|69DUR|7RCR|8aAART|9BPWR
6	31253 23661	7	 * 	291.63	DCR|4VULN|3DMG|2DUR|1SELL	1SELL|2358VULN|489DMG|68DUR|7RCR|8BPWR|aMLV
7	31253 23662	7	 * 	291.63	DCR|4VULN|3DMG|2DUR|1SELL	1SELL|2358VULN|489DMG|68DUR|7RCR|8BPWR|aRCVC
8	31253 23622	7	 * 	289.63	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1SELL|2358VULN|48DMG|68DUR|7RCR|8BPWR|9CDMG|aRCVC
9	31253 23624	7	 * 	289.63	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1SELL|2358VULN|48DMG|68DUR|7RCR|8BPWR|9CDMG|aLWND
10	31253 23621	7	 * 	289.53	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1SELL|2358VULN|48DMG|68DUR|7RCR|8BPWR|9CDMG|aBBNT
11	31253 23626	7	 * 	289.53	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1SELL|2358VULN|48DMG|68DUR|7RCR|8BPWR|9CDMG|aERES
12	31663 23622	7	 * 	288.30	DCR|3VULN|3DMG|2DUR|1ASPD|1SELL	1SELL|258VULN|348DMG|68DUR|7RCR|8BPWR|9LIT|aASPD
13	31244 24231	7	 * 	286.98	DCR|4VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|2348VULN|5ASPD|68DUR|78DMG|8BPWR|9LWND|aRCR
14	31253 23431	8	 * 	285.64	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2359VULN|49DMG|69DUR|7RCR|8AART|9BPWR|aBEXP
15	31253 23432	8	 * 	285.64	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2359VULN|49DMG|69DUR|7RCR|8AART|9BPWR|aLWND
16	31253 23435	8	 * 	285.54	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2359VULN|49DMG|69DUR|7RCR|8AART|9BPWR|aBBNT
17	31253 62333	8	 * 	284.55	DCR|5VULN|2DMG|2CDMG|1SELL	1SELL|23578VULN|4aDMG|6RCR|9aCDMG|aBPWR
18	31253 62433	7	 * 	284.55	DCR|5VULN|2DMG|2CDMG|1SELL	1SELL|23578VULN|4aDMG|6RCR|9aCDMG|aBPWR
19	31253 31264	10	 * 	282.61	DCR|4VULN|2DMG|2ASPD|1TLV|1SELL	1SELL|2359VULN|49DMG|6TLV|7BEXP|89ASPD|9BPWR|aRCR
