0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42532 11215	7	 * 	301.14	DCR|5VULN|2DMG|2CDMG|1DUR	12478VULN|3RMIN|57CDMG|67DMG|7BPWR|9RCR|aDUR
2	42125 36312	8	 * 	300.96	DCR|5VULN|3DUR|2TLV	1269aVULN|3AART|49TLV|589DUR|7RCR|9BPWR
3	42332 11514	8	 * 	296.09	DCR|4VULN|2DMG|2DUR|2CDMG|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|89DUR|aRCR
4	42332 11514	7	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|89DUR|aRCR
5	51133 22211	6	 * 	295.66	DCR|5VULN|2DMG|2DUR	15DMG|28DUR|3BEXP|45679VULN|5BPWR|aRCR
6	42332 11624	7	   	292.51	DCR|4VULN|2DMG|2CDMG|1TLV|1ASPD|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8TLV|9ASPD|aRCR
7	41521 26231	1	   	291.40	DCR|5VULN|3DUR|1DMG	1348aVULN|246DUR|48BPWR|58FEWX|7RCR|9DMG
8	41521 21631	1	   	291.30	DCR|5VULN|3DUR|1DMG	1347aVULN|246DUR|4BPWR|5FEWX|8RCR|9DMG
9	42532 11213	7	 * 	290.93	DCR|5VULN|2DMG|3CDMG	12478VULN|3RMIN|57aCDMG|67DMG|7BPWR|9RCR
10	42123 33121	9	   	290.84	DCR|5VULN|2DMG|1TLV	1268aVULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR
11	42123 33123	10	   	290.84	DCR|5VULN|2DMG|1TLV	1268aVULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR
12	42125 36111	8	   	287.74	DCR|5VULN|2DUR|2TLV	12689VULN|3AART|49TLV|59DUR|7RCR|9BPWR|aCGEN
13	42125 36112	8	   	287.64	DCR|5VULN|2DUR|2TLV	12689VULN|3AART|49TLV|59DUR|7RCR|9BPWR|aTBNT
14	42532 11211	7	   	284.89	DCR|5VULN|2DMG|2CDMG	12478VULN|3RMIN|57CDMG|67DMG|7BPWR|9RCR|aBELT
15	42532 11214	7	   	284.89	DCR|5VULN|2DMG|2CDMG	12478VULN|3RMIN|57CDMG|67DMG|7BPWR|9RCR|aZMB
16	42532 11216	7	   	284.89	DCR|5VULN|2DMG|2CDMG	12478VULN|3RMIN|57CDMG|67DMG|7BPWR|9RCR|aBEXP
17	42532 11153	9	   	284.79	DCR|5VULN|2DMG|2CDMG	12479VULN|3RMIN|57CDMG|67DMG|7BPWR|8ERES|aRCR
18	42532 11212	7	   	284.79	DCR|5VULN|2DMG|2CDMG	12478VULN|3RMIN|57CDMG|67DMG|7BPWR|9RCR|aTBNT
19	42332 11153	9	   	284.69	DCR|5VULN|2DMG|2CDMG|1NUKE	12479VULN|3NUKE|57CDMG|67DMG|7BPWR|8ERES|aRCR
20	42125 36123	8	   	282.89	DCR|5VULN|1TLV|1DUR|1CDMG	1268aVULN|3AART|4TLV|5DUR|7RCR|9CDMG
21	42341 63121	3	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR|1NUKE	1278VULN|3NUKE|4BELT|57CDMG|67DMG|7BPWR|9RCR|aDUR
22	42332 11525	7	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8DUR|9ZMB|aRCR
23	42332 11525	8	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8DUR|9ZMB|aRCR
24	42332 11614	7	   	281.50	DCR|4VULN|2DMG|2CDMG|1TLV|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8TLV|9MLV|aRCR
25	42125 36311	8	   	281.42	DCR|4VULN|3DUR|2TLV	1269VULN|3AART|49TLV|589DUR|7RCR|9BPWR|aCGEN
26	42125 36313	8	   	281.42	DCR|4VULN|3DUR|2TLV	1269VULN|3AART|49TLV|589DUR|7RCR|9BPWR|aFEWX
27	42332 11634	7	   	281.40	DCR|4VULN|2DMG|2CDMG|1TLV|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8TLV|9ERES|aRCR
28	42332 11643	7	   	281.40	DCR|4VULN|2DMG|2CDMG|1TLV|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8TLV|9DUST|aRCR
