0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21222 55114	10	 * 	296.19	DCR|4VULN|2DMG|2DUR|2TLV	1DMSP|27DMG|36TLV|4789VULN|57DUR|7BPWR|aRCR
2	21222 26651	5	 * 	292.57	DCR|2VULN|3DMG|3DUR|1TLV|1ASPD	1DMSP|269DMG|3TLV|49VULN|569DUR|69BPWR|7RCR|8AART|aASPD
3	16313 51151	6	 * 	289.55	DCR|4VULN|3DUR|2DMG	17aBEXP|237DUR|478aVULN|5LEGI|6RCR|7aBPWR|9aDMG
4	16313 52351	6	   	289.55	DCR|4VULN|3DUR|2DMG	18aBEXP|238DUR|478aVULN|5LEGI|6RCR|8aBPWR|9aDMG
5	13622 32361	6	   	289.55	DCR|4VULN|3DUR|2DMG	138BEXP|248aVULN|58aDUR|6MBVNT|7RCR|8aBPWR|9aDMG
6	21322 42233	3	   	289.35	DCR|4VULN|3DUR|2DMG	1DMSP|27DMG|347DUR|5BBNT|678aVULN|7BPWR|9RCR
7	21622 42233	1	   	289.35	DCR|4VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678aVULN|7BPWR|9RCR
8	24522 42233	3	   	289.35	DCR|4VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678aVULN|7BPWR|9RCR
9	24622 42233	2	   	289.35	DCR|4VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678aVULN|7BPWR|9RCR
10	21222 36651	5	   	287.80	DCR|3VULN|2DMG|2DUR|1TLV	1DMSP|29DMG|3TLV|469VULN|59DUR|7RCR|8AART|9BPWR|aLIT
11	21222 36653	5	   	287.27	DCR|3VULN|2DMG|2DUR|2AART|1TLV	1DMSP|29DMG|3TLV|469VULN|59DUR|7RCR|8aAART|9BPWR
12	21222 55233	7	 * 	286.77	DCR|3VULN|3DUR|2DMG|2TLV	1DMSP|27DMG|36TLV|479VULN|57aDUR|7BPWR|8RCR
13	21222 55242	7	   	286.77	DCR|3VULN|3DUR|2DMG|2TLV	1DMSP|27DMG|36TLV|47aVULN|579DUR|7BPWR|8RCR
14	21222 55223	7	   	284.55	DCR|3VULN|2DMG|2DUR|2TLV|1ASPD	1DMSP|27DMG|36TLV|47aVULN|57DUR|7BPWR|8RCR|9ASPD
15	43111 21143	5	   	284.53	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|239VULN|4LIT|59aDUR|6AART|79DMG|8RCR|9BPWR
16	43111 61143	6	   	284.53	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|239VULN|4LIT|59aDUR|6AART|79DMG|8RCR|9BPWR
